"","Region","year","RptArea","Log_rfharv","Gui_Nonpelharv","gui_pDSRinNonpel","gui_var_pDSRinNonpel","GuiDSR","var_GuiDSR","sqrt_GuiDSR","GuiDSR_UPRLWR95","blank","PRIV_rfharv","var_PRIV_rfharv","priv_pDSR","priv_var_pDSR","Priv_DSR","var_PrivDSR","sqrt_PrivDSR","PrivDSR_UPRLWR95","blank2","TotalDSRharv","var_totalDSRharv","sqrt_totalDSR","TotalDSR_UPRLWR95"
"289","SE",2020,"NSEI",17585,283,0.363636363636364,0.000352751461398911,102.909090909091,28.2515117919774,5.31521512189087,10.4178216389061,NA,4858.39789044496,1472700.4379099,0.0727762803234501,0.000182378090123602,353.576126797881,12373.4376365206,111.235954783157,218.022471374989,NA,456.485217706972,12401.6891483126,111.362871498146,218.271228136366
"290","SE",2021,"NSEI",33151,1940,0.0169491525423729,9.14482918247434e-06,32.8813559322034,34.4174791111604,NA,NA,NA,7926.48998058092,3864104.35741784,0.0476190476190476,0.000108237407930555,377.451903837186,15980.8564888403,126.415412386466,247.774208277474,NA,410.33325976939,16015.2739679515,126.551467664154,248.040876621742
"291","SE",2022,"NSEI",34168,2848,0.124031007751938,3.75033886323703e-05,353.240310077519,304.193885549573,17.4411549373765,34.184663677258,NA,23959.7262735353,56313844.1152217,0.070362473347548,4.65231832802017e-05,1685.86560133617,308130.345075876,555.094897360691,1087.98599882695,NA,2039.10591141369,308434.538961425,555.368831463762,1088.52290966897
"292","SE",1998,"NSEO",1123,522,0.915492906,0.003095375,477.887296932,843.4401615,29.0420412763979,56.9224009017399,NA,595.655338971554,93360.3427904111,0.328283627,0.022094531,195.543895119496,19963.4664989593,141.292131765924,276.932578261212,NA,673.431192051496,20806.9066604593,144.245993568138,282.722147393551
"293","SE",1999,"NSEO",1071,587,0.915492906,0.003095375,537.394335822,1066.570268375,32.6583874123478,64.0104393282018,NA,568.073791663877,84914.5019697874,0.328283627,0.022094531,186.48932473106,18157.4720559378,134.749664400094,264.109342224183,NA,723.88366055306,19224.0423243128,138.650792728757,271.755553748364
"294","SE",2000,"NSEO",2883,1426,0.915492906,0.003095375,1305.492883956,6294.3707735,79.3370706133016,155.500658402071,NA,1529.18463246214,615307.501617431,0.328283627,0.022094531,502.006277497335,131572.682018468,362.729488763277,710.949797976023,NA,1807.49916145333,137867.052791968,371.304528375252,727.756875615494
"295","SE",2001,"NSEO",2839,1604,0.915492906,0.003095375,1468.450621224,7963.830326,89.2402954163645,174.910979016074,NA,1505.84640012488,596669.323616881,0.328283627,0.022094531,494.344717937889,127587.235618052,357.193554838343,700.099367483152,NA,1962.79533916189,135551.065944052,368.172603467521,721.618302796341
"296","SE",2002,"NSEO",2029,1342,0.915492906,0.003095375,1228.591479852,5574.6589415,74.6636386837663,146.340731820182,NA,1076.21075937069,304766.353777939,0.328283627,0.022094531,353.302371502634,65168.9219620215,255.282043947516,500.352806137132,NA,1581.89385135463,70743.5809035215,265.976654809255,521.31424342614
"297","SE",2003,"NSEO",3083,1659,0.915492906,0.003095375,1518.802731054,8519.341800375,92.3002806083221,180.908549992311,NA,1635.26750672244,703639.116398725,0.328283627,0.022094531,536.83154822209,150460.843520232,387.892824785703,760.269936579979,NA,2055.63427927609,158980.185320607,398.723193858355,781.497459962376
"298","SE",2004,"NSEO",2923,1924,0.915492906,0.003095375,1761.408351144,11458.384886,107.043845624118,209.805937423271,NA,1550.4012073142,632500.03783668,0.328283627,0.022094531,508.971331642286,135249.003362057,367.762155967762,720.813825696814,NA,2270.37968278629,146707.388248057,383.024004793507,750.727049395274
"299","SE",2005,"NSEO",2796,1608,0.915492906,0.003095375,1472.112592848,8003.599704,89.4628397939614,175.347165996164,NA,1483.03858215892,578731.683724506,0.328283627,0.022094531,486.857284732067,123751.586965115,351.783437593521,689.495537683302,NA,1958.96987758007,131755.186669115,362.980972874771,711.44270683455
"300","SE",2006,"NSEO",3058,1651,0.988095238,2.80741e-05,1631.345237938,76.5244098541,8.74782314945267,17.1457333729272,NA,1622.0071474399,692273.786898811,0.560606061,0.003789645,909.30703784013,230160.897370649,479.750870109319,940.311705414266,NA,2540.65227577813,230237.421780503,479.830617802265,940.468010892439
"301","SE",2007,"NSEO",4266,1748,0.986970684,2.09781e-05,1725.224755632,64.0986684624,8.00616440390778,15.6920822316592,NA,2262.74770797208,1347238.94107506,0.639344262,0.003843053,1446.6747634456,575552.898289327,758.652027143754,1486.95797320176,NA,3171.8995190776,575616.99695779,758.694271072208,1487.04077130153
"302","SE",2008,"NSEO",5010,1963,0.946317104,6.35013e-05,1857.620475152,244.6939408797,15.6426960873022,30.6596843311123,NA,2657.37600022038,1858139.76212869,0.277227723,0.002003725,736.698297695943,160680.52251438,400.849750547983,785.665511074046,NA,2594.31877284794,160925.21645526,401.154853460929,786.263512783421
"303","SE",2009,"NSEO",2818,864,0.970845481,8.27618e-05,838.810495584,61.7813526528,7.86011149111767,15.4058185225906,NA,1494.70769832755,587874.879398666,0.448717949,0.003212599,670.702172748049,127433.350172711,356.978080801484,699.677038370909,NA,1509.51266833205,127495.131525364,357.064604133991,699.846624102622
"304","SE",2010,"NSEO",4613,1642,0.947169811,9.4592e-05,1555.252829662,255.035545088,15.9698323437662,31.3008713937817,NA,2446.80149481369,1575323.79981807,0.425925926,0.001518714,1042.15619241671,297268.810523428,545.223633496778,1068.63832165368,NA,2597.40902207871,297523.846068516,545.457464948933,1069.09663129991
"305","SE",2011,"NSEO",8950,2118,0.922302158,0.000103258,1953.435970644,463.207540392,21.5222568610264,42.1836234476118,NA,2109.86387208297,736850.511553881,0.375757576,0.001430267,792.797334263872,111459.454355798,333.85543930839,654.356661044444,NA,2746.23330490787,111922.66189619,334.548444767257,655.714951743823
