"","Region","year","RptArea","Log_rfharv","Gui_pelharv","gui_pPel","gui_var_pPel","GuiPel","var_GuiPel","sqrt_GuiPel","GuiPel_UPRLWR95","blank","PRIV_rfharv","var_PRIV_rfharv","priv_pPel","priv_var_pPel","Priv_Pel","var_PrivPel","sqrt_PrivPel","PrivPel_UPRLWR95","blank2","TotalPelharv","var_totalPelharv","sqrt_totalPel","TotalPel_UPRLWR95"
"318","SE",2014,"NSEI",19857,13571,NA,NA,13571,0,0,0,NA,12419.1199241513,9528568.36911342,0.497773820124666,0.000222811982284459,6181.91276723116,2397465.39027738,1548.37508061754,3034.81515801038,NA,19752.9127672312,2397465.39027738,1548.37508061754,3034.81515801038
"319","SE",2015,"NSEI",22095,13976,NA,NA,13976,0,0,0,NA,9668.88570014844,4304414.60669642,0.492598684210526,0.000205716230884432,4762.88037367509,1064598.46682208,1031.79381022668,2022.31586804429,NA,18738.8803736751,1064598.46682208,1031.79381022668,2022.31586804429
"320","SE",2016,"NSEI",25877,16646,NA,NA,16646,0,0,0,NA,14189.2918187014,6762576.62555134,0.440884820747521,0.000188172057696143,6255.84338002242,1353664.09491594,1163.47071081138,2280.40259319031,NA,22901.8433800224,1353664.09491594,1163.47071081138,2280.40259319031
"321","SE",2017,"NSEI",24305,19203,NA,NA,19203,0,0,0,NA,16806.2283606367,14540377.8749319,0.687445127304653,0.000188808720781847,11553.359794889,6927577.69623307,2632.02919745072,5158.77722700341,NA,30756.359794889,6927577.69623307,2632.02919745072,5158.77722700341
"322","SE",2018,"NSEI",34673,28268,NA,NA,28268,0,0,0,NA,15349.2690105927,8197994.46042361,0.56642800318218,0.000195531306045564,8694.25579597616,2677920.29201803,1636.43523917631,3207.41306878557,NA,36962.2557959762,2677920.29201803,1636.43523917631,3207.41306878557
"323","SE",2019,"NSEI",36293,30096,NA,NA,30096,0,0,0,NA,23183.36121673,24125308.8190178,0.644373673036093,0.000121697420357975,14938.7476205468,10085593.2237535,3175.78230106433,6224.53331008609,NA,45034.7476205468,10085593.2237535,3175.78230106433,6224.53331008609
"324","SE",2020,"NSEI",17585,17302,NA,NA,17302,0,0,0,NA,4858.39789044496,1472700.4379099,0.69811320754717,0.000569597721609114,3391.71173483893,732021.953826384,855.582815293987,1676.94231797621,NA,20693.7117348389,732021.953826384,855.582815293987,1676.94231797621
"325","SE",2021,"NSEI",33151,31211,NA,NA,31211,0,0,0,NA,7926.48998058092,3864104.35741784,0.769047619047619,0.000423898278484027,6095.84824697056,2313634.82061795,1521.06371353009,2981.28487851898,NA,37306.8482469706,2313634.82061795,1521.06371353009,2981.28487851898
"326","SE",2022,"NSEI",34168,31320,NA,NA,31320,0,0,0,NA,23959.7262735353,56312393.2057588,0.857853589196873,8.67288824316613e-05,20553.9371799269,41495682.0894528,6441.71421979063,12625.7598707896,NA,51873.9371799269,41495682.0894528,6441.71421979063,12625.7598707896
"327","SE",2023,"NSEI",31783,29468,NA,NA,29468,0,0,0,NA,15106.2697195537,11460905.6924948,0.878787878787879,5.87209166942554e-05,13275.2067232442,8864965.34687551,2977.40916685556,5835.72196703689,NA,42743.2067232442,8864965.34687551,2977.40916685556,5835.72196703689
"328","SE",2024,"NSEI",37144,34672,NA,NA,34672,0,0,0,NA,21829.9540670672,25454057.1127231,0.843304843304843,6.27751945669534e-05,18409.30599388,18133498.3210773,4258.34455170989,8346.35532135138,NA,53081.30599388,18133498.3210773,4258.34455170989,8346.35532135138
"329","SE",1998,"NSEO",1123,601,0.710663947554132,0.00835200555810994,601,3016.75275959487,54.9249739152862,107.652948873961,NA,595.655338971554,93360.3427904111,0.649849958295162,0.0237205162937612,387.086597188955,50057.2566274251,223.734790829288,438.520190025404,NA,988.086597188955,53074.00938702,230.37797070688,451.540822585485
"330","SE",1999,"NSEO",1071,484,0.710663947554132,0.00835200555810994,484,1956.5074140206,44.2324249168029,86.6955528369336,NA,568.073791663877,84914.5019697874,0.649849958295162,0.0237205162937612,369.162729821345,45528.8282952643,213.374853943159,418.214713728591,NA,853.162729821345,47485.3357092849,217.911302389951,427.106152684305
"331","SE",2000,"NSEO",2883,1457,0.710663947554132,0.00835200555810994,1457,17730.0466470281,133.154221288805,260.982273726058,NA,1529.18463246214,615307.501617431,0.649849958295162,0.0237205162937612,993.740569631127,329911.015669568,574.378808513657,1125.78246468677,NA,2450.74056963113,347641.062316596,589.610941483107,1155.63744530689
"332","SE",2001,"NSEO",2839,1235,0.710663947554132,0.00835200555810994,1235,12738.6876773682,112.865794983991,221.216958168622,NA,1505.84640012488,596669.323616881,0.649849958295162,0.0237205162937612,978.574220320073,319917.73553203,565.612708071547,1108.60090782023,NA,2213.57422032007,332656.423209398,576.763749909265,1130.45694982216
"333","SE",2002,"NSEO",2029,687,0.710663947554132,0.00835200555810994,687,3941.88771125559,62.7844543757098,123.057530576391,NA,1076.21075937069,304766.353777939,0.649849958295162,0.0237205162937612,699.375517093846,163407.364695686,404.236768114537,792.304065504492,NA,1386.37551709385,167349.252406941,409.08342964112,801.803522096596
"334","SE",2003,"NSEO",3083,1424,0.710663947554132,0.00835200555810994,1424,16935.9964226019,130.138374135387,255.071213305358,NA,1635.26750672244,703639.116398725,0.649849958295162,0.0237205162937612,1062.67852104501,377272.006185085,614.224719614153,1203.88045044374,NA,2486.67852104501,394208.002607687,627.859859051116,1230.60532374019
"335","SE",2004,"NSEO",2923,999,0.710663947554132,0.00835200555810994,999,8335.30989899928,91.2979183716654,178.943920008464,NA,1550.4012073142,632500.03783668,0.649849958295162,0.0237205162937612,1007.5281599139,339129.182311643,582.347990733756,1141.40206183816,NA,2006.5281599139,347464.492210642,589.461188044338,1155.3439285669
"336","SE",2005,"NSEO",2796,1188,0.710663947554132,0.00835200555810994,1188,11787.5529324051,108.570497523062,212.798175145201,NA,1483.03858215892,578731.683724506,0.649849958295162,0.0237205162937612,963.752560766088,310300.064725071,557.045837184941,1091.80984088248,NA,2151.75256076609,322087.617657477,567.527636029715,1112.35416661824
"337","SE",2006,"NSEO",3058,1407,NA,NA,1407,0,0,0,NA,1622.0071474399,692273.786898811,0.378787878787879,0.00362011725648089,614.396646757539,111357.925726991,333.703349888776,654.058565782002,NA,2021.39664675754,111357.925726991,333.703349888776,654.058565782002
"338","SE",2007,"NSEO",4266,2518,NA,NA,2518,0,0,0,NA,2262.74770797208,1347238.94107506,0.344262295081967,0.00376242945444773,778.978719137929,184002.714014569,428.955375318423,840.75253562411,NA,3296.97871913793,184002.714014569,428.955375318423,840.75253562411
"339","SE",2008,"NSEO",5010,3047,NA,NA,3047,0,0,0,NA,2657.37600022038,1858139.76212869,0.643564356435644,0.00229389275561219,1710.19247538935,790056.220964686,888.851067932466,1742.14809314763,NA,4757.19247538935,790056.220964686,888.851067932466,1742.14809314763
"340","SE",2009,"NSEO",2818,1954,NA,NA,1954,0,0,0,NA,1494.70769832755,587874.879398666,0.5,0.00324675324675325,747.353849163775,156131.141871869,395.134333957287,774.463294556283,NA,2701.35384916377,156131.141871869,395.134333957287,774.463294556283
"341","SE",2010,"NSEO",4613,2971,NA,NA,2971,0,0,0,NA,2446.80149481369,1575323.79981807,0.574074074074074,0.00151871448167744,1404.64530257823,530650.117743299,728.457354787018,1427.77641538255,NA,4375.64530257823,530650.117743299,728.457354787018,1427.77641538255
"342","SE",2011,"NSEO",8950,6832,NA,NA,6832,0,0,0,NA,2109.86387208297,736850.511553881,0.587878787878788,0.00147730072342046,1240.34421570938,262321.411123665,512.173223747264,1003.85951854464,NA,8072.34421570938,262321.411123665,512.173223747264,1003.85951854464
"343","SE",2012,"NSEO",8600,6467,NA,NA,6467,0,0,0,NA,4056.14035087719,2425591.28382108,0.696498054474708,0.000825736385108026,2825.09386306232,1192265.61233737,1091.90915937974,2140.14195238429,NA,9292.09386306232,1192265.61233737,1091.90915937974,2140.14195238429
"344","SE",2013,"NSEO",6970,5295,NA,NA,5295,0,0,0,NA,3563.46380325597,1983952.15972031,0.709150326797386,0.000676249641969006,2527.03152060963,1007646.85679043,1003.81614690661,1967.47964793696,NA,7822.03152060963,1007646.85679043,1003.81614690661,1967.47964793696
"345","SE",2014,"NSEO",8688,6428,NA,NA,6428,0,0,0,NA,9722.2508839872,9687106.4801496,0.818396226415094,0.00035135660284782,7956.65343571594,6524771.01020746,2554.36313201695,5006.55173875323,NA,14384.6534357159,6524771.01020746,2554.36313201695,5006.55173875323
"346","SE",2015,"NSEO",9156,6577,NA,NA,6577,0,0,0,NA,4529.48035542233,3708908.49097668,0.635782747603834,0.000742189248247287,2879.765465588,1517193.49486419,1231.74408659599,2414.21840972814,NA,9456.765465588,1517193.49486419,1231.74408659599,2414.21840972814
"347","SE",2016,"NSEO",5839,4347,NA,NA,4347,0,0,0,NA,1660.62785079242,405106.185098781,0.731075697211155,0.000392423197920915,1214.04466382633,217758.933899799,466.646476360637,914.627093666849,NA,5561.04466382633,217758.933899799,466.646476360637,914.627093666849
"348","SE",2017,"NSEO",9211,7495,NA,NA,7495,0,0,0,NA,6867.01714719272,4662505.66568143,0.820662768031189,0.000287451932028468,5635.50530013281,3155034.02743776,1776.24154535293,3481.43342889174,NA,13130.5053001328,3155034.02743776,1776.24154535293,3481.43342889174
"349","SE",2018,"NSEO",11024,9189,NA,NA,9189,0,0,0,NA,7836.88364070585,7422148.53560271,0.794055201698514,0.000347939443306482,6222.91822000847,4703792.05091849,2168.82273386243,4250.89255837036,NA,15411.9182200085,4703792.05091849,2168.82273386243,4250.89255837036
