"Region","year","RptArea","Log_rfharv","Gui_nonpelharv","Gui_Yeh","gui_pYEinNonpel","gui_var_pYEinNonpel","GuiYE","var_GuiYE","sqrt_GuiYE","GuiYE_UPRLWR95","blank","PRIV_rfharv","var_PRIV_rfharv","priv_pYE","priv_var_pYE","gui_pYE","var_gui_pYE","Priv_YE","var_PrivYE","sqrt_PrivYE","PrivYE_UPRLWR95","blank2","TotalYEharv","var_totalYEharv","sqrt_totalYE","TotalYE_UPRLWR95"
"SC",1998,"AFOGNAK",416,87,NA,0.733745210088736,0.0192146006518495,63.8358332777201,145.435312333849,12.0596563936892,23.6369265316308,NA,113.501596084661,3943.57521179245,NA,NA,0.123474137950748,0.00109502742022143,14.0145117325875,78.548343112698,8.8627503131194,17.370990613714,NA,77.8503450103076,223.983655446547,14.966083503928,29.3335236676989
"SC",1999,"AFOGNAK",506,87,NA,0.733745210088736,0.0192146006518495,63.8358332777201,145.435312333849,12.0596563936892,23.6369265316308,NA,138.057229852978,5834.51150452161,NA,NA,0.123474137950748,0.00109502742022143,17.0464974439647,116.212113866048,10.7801722558616,21.1291376214887,NA,80.8823307216847,261.647426199896,16.1755193486916,31.7040179234355
"SC",2000,"AFOGNAK",1412,188,NA,0.733745210088736,0.0192146006518495,137.944099496682,679.120845438968,26.0599471495813,51.0774964131793,NA,385.25060978736,45433.1512172934,NA,NA,0.123474137950748,0.00109502742022143,47.5684869384942,904.939948865586,30.0822198127995,58.961150833087,NA,185.512586435177,1584.06079430455,39.8002612341245,78.008512018884
"SC",2001,"AFOGNAK",535,58,NA,0.733745210088736,0.0192146006518495,42.5572221851467,64.6379165928217,8.03977092912613,15.7579510210872,NA,145.969600733879,6522.45408997836,NA,NA,0.123474137950748,0.00109502742022143,18.0234706176306,129.91459127353,11.3980082151896,22.3400961017716,NA,60.5806928027773,194.552507866352,13.9482080521604,27.3384877822343
"SC",2002,"AFOGNAK",345,54,NA,0.733745210088736,0.0192146006518495,39.6222413447918,56.0297755007931,7.48530396849675,14.6711957782536,NA,94.129929445212,2712.3245630524,NA,NA,0.123474137950748,0.00109502742022143,11.6226118936123,54.0242264873155,7.35011744717835,14.4062301964696,NA,51.244853238404,110.054001988109,10.4906626095833,20.5616987147832
"SC",2003,"AFOGNAK",567,83,NA,0.733745210088736,0.0192146006518495,60.9008524373651,132.369383890591,11.5051894330598,22.5501712887972,NA,154.700492740392,7326.0450447482,NA,NA,0.123474137950748,0.00109502742022143,19.1015099816758,145.92055911935,12.0797582392757,23.6763261489804,NA,80.0023624190409,278.289943009941,16.6820245476963,32.6967681134847
"SC",2004,"AFOGNAK",468,130,NA,0.733745210088736,0.0192146006518495,95.3868773115357,324.726751016256,18.0201762204551,35.319545392092,NA,127.689295595244,4991.08737742482,NA,NA,0.123474137950748,0.00109502742022143,15.766325699161,99.4127467520084,9.97059410225932,19.5423644404283,NA,111.153203010697,424.139497768265,20.5946473086641,40.3655087249816
"SC",2005,"AFOGNAK",1385,206,NA,0.733745210088736,0.0192146006518495,151.15151327828,815.390793261885,28.5550484724135,55.9678950059305,NA,377.883919656866,43712.2351183465,NA,NA,0.123474137950748,0.00109502742022143,46.6588912250811,870.662649473899,29.5069932299768,57.8337067307546,NA,197.810404503361,1686.05344273578,41.0615811037006,80.4806989632532
"SC",2006,"AFOGNAK",925,159,133,NA,NA,133,0,0,0,NA,252.37734706325,19497.8593090671,NA,NA,0.123474137950748,0.00109502742022143,31.1620753669314,388.359410108879,19.706836633739,38.6253998021285,NA,164.162075366931,388.359410108879,19.706836633739,38.6253998021285
"SC",2007,"AFOGNAK",2488,304,217,NA,NA,217,0,0,0,NA,678.826853506341,141060.110229208,NA,NA,0.123474137950748,0.00109502742022143,83.8175605545139,2809.64286028227,53.0060643726949,103.891886170482,NA,300.817560554514,2809.64286028227,53.0060643726949,103.891886170482
"SC",2008,"AFOGNAK",2670,601,509,NA,NA,509,0,0,0,NA,728.48380179338,162452.346797263,NA,NA,0.123474137950748,0.00109502742022143,89.9489094375209,3235.73457849547,56.8835176346846,111.491694563982,NA,598.948909437521,3235.73457849547,56.8835176346846,111.491694563982
"SC",2009,"AFOGNAK",3763,557,466,NA,NA,466,0,0,0,NA,1026.69833189082,322679.892423215,NA,NA,0.123474137950748,0.00109502742022143,126.77069146569,6427.15544763423,80.1695418948757,157.132302113956,NA,592.77069146569,6427.15544763423,80.1695418948757,157.132302113956
"SC",2010,"AFOGNAK",3032,1061,348,NA,NA,348,0,0,0,NA,827.252017617052,209489.307321405,NA,NA,0.123474137950748,0.00109502742022143,102.144229743282,4172.61928737095,64.5958147821587,126.607796973031,NA,450.144229743282,4172.61928737095,64.5958147821587,126.607796973031
"SC",2011,"AFOGNAK",3052,487,385,NA,NA,385,0,0,0,NA,852.740819584886,200039.386792782,NA,NA,0.123474137950748,0.00109502742022143,105.291437593658,4065.08934831062,63.7580532035807,124.965784279018,NA,490.291437593658,4065.08934831062,63.7580532035807,124.965784279018
"SC",2012,"AFOGNAK",3025,564,411,NA,NA,411,0,0,0,NA,1110.75418994413,261396.564199334,NA,NA,0.123474137950748,0.00109502742022143,137.149416078533,5622.46985809526,74.9831304900993,146.966935760595,NA,548.149416078533,5622.46985809526,74.9831304900993,146.966935760595
"SC",2013,"AFOGNAK",2487,473,382,NA,NA,382,0,0,0,NA,731.128956927867,125971.007753653,NA,NA,0.123474137950748,0.00109502742022143,90.2755176874977,2643.82481794555,51.4181370524599,100.779548622821,NA,472.275517687498,2643.82481794555,51.4181370524599,100.779548622821
"SC",2014,"AFOGNAK",2843,580,434,NA,NA,434,0,0,0,NA,1234.160730187,268862.961985166,NA,NA,0.123474137950748,0.00109502742022143,152.386932252505,6061.35411104615,77.8546987088522,152.59520946935,NA,586.386932252505,6061.35411104615,77.8546987088522,152.59520946935
"SC",2015,"AFOGNAK",3919,630,421,NA,NA,421,0,0,0,NA,1736.49589725294,1075446.44057946,NA,NA,0.123474137950748,0.00109502742022143,214.412333968317,20875.7175563099,144.484315952666,283.189259267226,NA,635.412333968317,20875.7175563099,144.484315952666,283.189259267226
"SC",2016,"AFOGNAK",5287,760,544,NA,NA,544,0,0,0,NA,467.586544220403,63684.1140884378,NA,NA,0.123474137950748,0.00109502742022143,57.7348454649834,1280.06881660855,35.7780493684123,70.1249767620882,NA,601.734845464983,1280.06881660855,35.7780493684123,70.1249767620882
"SC",2017,"AFOGNAK",4756,539,416,NA,NA,416,0,0,0,NA,537.74758244483,89663.7846843908,NA,NA,0.123474137950748,0.00109502742022143,66.397919177474,1781.83783264631,42.2118210060442,82.7351691718465,NA,482.397919177474,1781.83783264631,42.2118210060442,82.7351691718465
"SC",2018,"AFOGNAK",5694,602,449,NA,NA,449,0,0,0,NA,1496.40161725067,412259.260321395,NA,NA,0.123474137950748,0.00109502742022143,184.766899718132,9188.68818251987,95.8576454046304,187.880984993076,NA,633.766899718132,9188.68818251987,95.8576454046304,187.880984993076
"SC",2019,"AFOGNAK",6782,1020,719,NA,NA,719,0,0,0,NA,4435.37642585551,3560251.27696312,NA,NA,0.122227122704698,0.00102896313209219,542.123298644565,77093.9758672239,277.658019634269,544.209718483166,NA,1261.12329864456,77093.9758672239,277.658019634269,544.209718483166
"SC",2020,"AFOGNAK",5835,831,605,NA,NA,605,0,0,0,NA,1752.41998205205,564645.391568006,NA,NA,0.12099095862607,0.000986194682728145,212.026973543957,11851.1680540583,108.863070203161,213.371617598195,NA,817.026973543957,11851.1680540583,108.863070203161,213.371617598195
"SC",2021,"AFOGNAK",9007,1077,817,NA,NA,817,0,0,0,NA,1406.68271488962,336808.639803129,NA,NA,0.119098225443926,0.000967968620429835,167.533415105998,7018.81835620034,83.7783883600081,164.205641185616,NA,984.533415105998,7018.81835620034,83.7783883600081,164.205641185616
"SC",2022,"AFOGNAK",9245,931,672,NA,NA,672,0,0,0,NA,3529.40526896988,2030529.17798386,NA,NA,0.116363693904003,0.000981210225830996,410.694634381587,41709.4180719824,204.228837513174,400.288521525821,NA,1082.69463438159,41709.4180719824,204.228837513174,400.288521525821
"SC",2023,"AFOGNAK",11425,1172,800,NA,NA,800,0,0,0,NA,1660.22536001497,1065094.87280733,0.114557823129252,3.04801209928518e-05,0.116368208619385,0.000980790820861575,193.197451049415,18171.0824350258,134.800157399855,264.208308503717,NA,993.197451049415,18171.0824350258,134.800157399855,264.208308503717
"SC",2024,"AFOGNAK",9951,1443,763,NA,NA,763,0,0,0,NA,1843.38686899038,686476.278525986,0.114557823129252,3.03545206366068e-05,0.11379341268709,0.00104242957683717,209.765282724985,13146.9978872337,114.660358830913,224.734303308589,NA,972.765282724985,13146.9978872337,114.660358830913,224.734303308589
"SC",2022,"BSAI",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SC",2023,"BSAI",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SC",2024,"BSAI",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SC",1998,"CI",994,271,NA,0.380392618209488,0.0176072907227328,103.086399534771,1293.09703796822,35.9596584795826,70.4809306199819,NA,692.475895164088,44240.1365971878,0.016675856,0.000330941,NA,NA,11.5476283112274,185.637133452183,13.6248718692024,26.7047488636367,NA,114.634027845999,1478.7341714204,38.4543127804984,75.3704530497768
"SC",1999,"CI",911,102,NA,0.380392618209488,0.0176072907227328,38.8000470573678,183.186252679312,13.5346316048613,26.5278779455282,NA,634.653461262057,37160.4054962316,0,0,NA,NA,0,0,0,0,NA,38.8000470573678,183.186252679312,13.5346316048613,26.5278779455282
"SC",2000,"CI",1400,175,NA,0.380392618209488,0.0176072907227328,66.5687081866605,539.223278383691,23.2211816750072,45.5135160830141,NA,975.318162202941,87760.635979345,0.016675856,0.000330941,NA,NA,16.2642652270809,368.254579353665,19.1899603791583,37.6123223431503,NA,82.8329734137413,907.477857737356,30.1243731509447,59.0437713758516
"SC",2001,"CI",763,69,NA,0.380392618209488,0.0176072907227328,26.2470906564547,83.8283111309307,9.15578020328856,17.9453291984456,NA,531.548398400603,26067.1029017649,0,0,NA,NA,0,0,0,0,NA,26.2470906564547,83.8283111309307,9.15578020328856,17.9453291984456
"SC",2002,"CI",2378,271,NA,0.380392618209488,0.0176072907227328,103.086399534771,1293.09703796822,35.9596584795826,70.4809306199819,NA,1656.64756408471,253202.15113746,0.016675856,0.000330941,NA,NA,27.6260162214274,1062.46782077233,32.595518415456,63.8872160942938,NA,130.712415756199,2355.56485874055,48.5341617702475,95.126957069685
"SC",2003,"CI",4623,376,NA,0.380392618209488,0.0176072907227328,143.027624446768,2489.24833321707,49.8923674845869,97.7890402697904,NA,3220.63990276014,956954.914935001,0.016675856,0.000330941,NA,NA,53.7069272462821,4015.50223203432,63.367990594892,124.201261565988,NA,196.73455169305,6504.75056525139,80.6520338568804,158.077986359486
"SC",2004,"CI",4736,266,NA,0.380392618209488,0.0176072907227328,101.184436443724,1245.82146237768,35.296196146011,69.1805444461815,NA,3299.36201156652,1004308.36009356,0.016675856,0.000330941,NA,NA,55.0196857967536,4214.20319668907,64.9168945397812,127.237113297971,NA,156.204122240478,5460.02465906675,73.8919796667186,144.828280146768
"SC",2005,"CI",3615,155,NA,0.380392618209488,0.0176072907227328,58.9608558224707,423.015159613655,20.5673323407207,40.3119713878125,NA,2518.41082597402,585140.682204681,0.016675856,0.000330941,NA,NA,41.9966562827839,2455.32331646635,49.551219121898,97.1203894789201,NA,100.957512105255,2878.33847608001,53.650148891499,105.154291827338
"SC",2006,"CI",2463,213,98,NA,NA,98,0,0,0,NA,1715.86330964703,271626.735472134,0.016675856,0.000330941,NA,NA,28.6134894673573,1139.77967566281,33.7606231527621,66.1708213794136,NA,126.613489467357,1139.77967566281,33.7606231527621,66.1708213794136
