"Region","year","RptArea","Log_rfharv","Gui_pelharv","gui_pBRFinPel","gui_var_pBRFinPel","GuiBRF","var_GuiBRF","sqrt_GuiBRF","GuiBRF_UPRLWR95","blank","PRIV_rfharv","var_PRIV_rfharv","priv_pBRF","priv_var_pBRF","PRIV_BRF","var_PrivBRF","sqrt_PrivBRF","PrivBRF_UPRLWR95","blank2","TotalBRFharv","var_totalBRFharv","sqrt_totalBRF","TotalBRF_UPRLWR95"
"SE",2024,"EWYKT",6995,6907,0.962439024390244,1.83317184183567e-05,6647.56634146342,874.544856151378,29.5727045795845,57.9625009759856,NA,1698.80836355394,511065.800593477,0.961240310077519,5.78530688813567e-05,1632.96307814487,472412.605536037,687.322781185112,1347.15265112282,NA,8280.52941960829,473287.150392189,687.958683637461,1348.39901992942
"SE",1998,"NSEI",5285,2544,0.712220235,0.065559436,1811.88827784,424296.473988096,651.380437216298,1276.70565694394,NA,3144.40151429046,781648.066122264,0.233365786,0.006119225,733.795730881984,107853.68762888,328.410851874417,643.685269673857,NA,2545.68400872198,532150.161616976,729.486231273063,1429.7930132952
"SE",1999,"NSEI",6363,3857,0.712220235,0.065559436,2747.033446395,975291.606122764,987.568532367635,1935.63432344056,NA,3785.77612780137,1133039.68373943,0.233365786,0.006119225,883.470621684402,156339.551541913,395.397966031583,774.980013421902,NA,3630.5040680794,1131631.15766468,1063.7815366252,2085.0118117854
"SE",2000,"NSEI",9746,5582,0.712220235,0.065559436,3975.61335177,2042748.37191966,1429.24748448954,2801.32506959949,NA,5798.55007725163,2658116.97277721,0.233365786,0.006119225,1353.18319643819,366773.398526,605.618195339275,1187.01166286498,NA,5328.79654820819,2409521.77044566,1552.26343461594,3042.43633184724
"SE",2001,"NSEI",7242,3909,0.712220235,0.065559436,2784.068898615,1001766.60428152,1000.88291237363,1961.73050825231,NA,4308.75227369755,1467703.45107877,0.233365786,0.006119225,1005.51536103072,202517.266280447,450.01918434712,882.037601320354,NA,3789.58425964572,1204283.87056196,1097.39868350657,2150.90141967289
"SE",2002,"NSEI",4958,3120,0.712220235,0.065559436,2222.1271332,638181.7737984,798.862800359611,1565.77108870484,NA,2949.847248411,687914.271302955,0.233365786,0.006119225,688.39342170537,94920.0722783498,308.091012978876,603.858385438597,NA,2910.52055490537,733101.84607675,856.213668471107,1678.17879020337
"SE",2003,"NSEI",6069,3551,0.712220235,0.065559436,2529.094054485,826678.329745036,909.21852694775,1782.06831281759,NA,3610.85577866203,1030755.23560437,0.233365786,0.006119225,842.650196920107,142226.096399395,377.128753079628,739.172356036072,NA,3371.74425140511,968904.426144431,984.32942968522,1929.28568218303
"SE",2004,"NSEI",6052,3328,0.712220235,0.065559436,2370.26894208,726109.040410624,852.120320383585,1670.15582795183,NA,3600.74133670499,1024988.78405915,0.233365786,0.006119225,840.289832222851,141430.427490791,376.072370017781,737.10184523485,NA,3210.55877430285,867539.467901414,931.417987748473,1825.57925598701
"SE",2005,"NSEI",7678,4465,0.712220235,0.065559436,3180.063349275,1307007.6669691,1143.24436013002,2240.75894585484,NA,4568.15796153684,1649747.54215939,0.233365786,0.006119225,1066.0517732662,227636.149554216,477.112302874508,935.140113634035,NA,4246.1151225412,1534643.81652332,1238.80741704404,2428.06253740631
"SE",2006,"NSEI",6437,3476,0.923303835,0.000209508,3209.40413046,2531.396332608,50.3129837378782,98.6134481262413,NA,3829.80369867317,1159546.82935267,0.321052632,0.001153322,1229.56855750236,137773.610630932,371.178677500381,727.510207900747,NA,4438.97268796236,140305.00696354,374.573099626148,734.163275267249
"SE",2007,"NSEI",7499,4164,0.967479675,8.54966e-05,4028.5853667,1482.4166557536,38.5021642996027,75.4642420272213,NA,4461.65883740098,1573721.87507113,0.167464115,0.000670288,747.167748637284,58531.6855766073,241.933225449931,474.189121881866,NA,4775.75311533728,60014.1022323609,244.977758648333,480.156406950733
"SE",2008,"NSEI",10923,6828,0.955242967,5.47424e-05,6522.398978676,2552.1773999616,50.5190795636817,99.0173959448161,NA,6498.82644098292,3338913.29750725,0.127906977,0.00065232,831.245244113794,84353.8807039943,290.437395498573,569.257295177202,NA,7353.6442227898,86906.0581039559,294.798334635655,577.804735885885
"SE",2009,"NSEI",9325,5994,0.834061135,0.000302852,4999.36244319,10880.877558672,104.311445003279,204.450432206426,NA,5548.06889702149,2433430.54662668,0.14479638,0.000562865,803.340292279305,69714.5635465059,264.035155891229,517.50890554681,NA,5802.7027354693,80595.4411051779,283.89336220697,556.430989925661
"SE",2010,"NSEI",11942,7473,0.831903945,0.000240275,6216.818180985,13418.332535475,115.837526456132,227.041551854018,NA,7105.09799123117,3990941.92530611,0.202933985,0.00039645,1441.86584917604,185951.740938005,431.22122041709,845.193592017496,NA,7658.68403016104,199370.07347348,446.508760802607,875.157171173109
"SE",2011,"NSEI",13281,8325,0.931166348,0.000122788,7751.9598471,8509.8990825,92.2491142640405,180.808263957519,NA,7853.14412595882,2883554.54717307,0.206896552,0.000472883,1624.78844201993,153961.128383982,392.378807256435,769.062462222612,NA,9376.74828911993,162471.027466482,403.076949807952,790.030821623586
"SE",2012,"NSEI",15243,9183,0.862129145,0.000207802,7916.931938535,17523.420869178,132.376058519575,259.457074698367,NA,15088.8378409091,11116596.9906183,0.346303502,0.000441281,5225.31738541694,1438543.61887163,1199.39302102006,2350.81032119932,NA,13142.2493239519,1456067.03974081,1206.67602932221,2365.08501747153
"SE",2013,"NSEI",14770,9583,0.7568438,0.000296825,7252.8341354,27258.594102425,165.10176892579,323.599467094549,NA,8172.23880597015,2814788.85737179,0.368260427,0.000236909,3009.51215223254,398218.611508236,631.045649306162,1236.84947264008,NA,10262.3462876325,425477.205610661,652.286137834203,1278.48083015504
"SE",2014,"NSEI",19857,13571,0.706422018,0.000272165,9586.853206278,50125.183538765,223.886541665114,438.817621663624,NA,12419.1199241513,9528568.36911342,0.298308103,0.00018656,3704.72410550309,878477.260591257,937.271177723532,1837.05150833812,NA,13291.5773117811,928602.444130022,963.640204708179,1888.73480122803
"SE",2015,"NSEI",22095,13976,0.802681992,0.000151854,11218.283520192,29661.425579904,172.224927289588,337.560857487593,NA,9668.88570014844,4304414.60669642,0.257401316,0.000157322,2488.78390347179,300575.668954487,548.247817099609,1074.56572151523,NA,13707.0674236638,330237.094534391,574.662591904494,1126.33868013281
"SE",2016,"NSEI",25877,16646,0.512549538,0.00033048,8531.899609548,91572.47715168,302.609446567155,593.114515271624,NA,14189.2918187014,6762576.62555134,0.152555301,9.86887e-05,2164.65168437882,177923.23461815,421.809476681298,826.746574295344,NA,10696.5512939268,269495.71176983,519.129763902851,1017.49433724959
"SE",2017,"NSEI",24305,19203,0.398607485,0.000208815,7654.459534455,77001.618967335,277.491655671544,543.883645116227,NA,16806.2283606367,14540377.8749319,0.273924495,0.000174771,4603.63761654208,1142937.04383675,1069.08233725787,2095.40138102542,NA,12258.0971509971,1219938.66280408,1104.50833532576,2164.83633723849
"SE",2018,"NSEI",34673,28268,0.262548263,8.30973e-05,7421.714298484,66401.3758588752,257.684644204646,505.061902641107,NA,15349.2690105927,8197994.46042361,0.186157518,0.000120623,2857.38182212626,313506.047771809,559.916107798132,1097.43557128434,NA,10279.0961206103,379907.423630684,616.366306372018,1208.07796048915
"SE",2019,"NSEI",36293,30096,0.261643316925407,7.31765498612417e-05,7874.41726618705,66281.0661974018,257.451094768311,504.604145745889,NA,23183.36121673,24125308.8190178,0.218152866242038,9.05800282487635e-05,5057.51669855416,1199008.84349918,1094.99262257751,2146.18554025193,NA,12931.9339647412,1265289.90969658,1124.85106111724,2204.70807978979
"SE",2020,"NSEI",17585,17302,0.532051282051282,0.000379531578229983,9205.55128205128,113616.271151791,337.070127943417,660.657450769097,NA,4858.39789044496,1472700.4379099,0.0646900269541779,0.000163527641532015,314.289890487005,10263.694780794,101.309894782267,198.567393773243,NA,9519.84117253829,123879.965932585,351.965859044006,689.853083726253
"SE",2021,"NSEI",33151,31211,0.391788856304985,0.00013078504301878,12228.1219941349,127401.178954719,356.933017462268,699.588714226045,NA,7926.48998058092,3864104.35741784,0.019047619047619,4.45938120673886e-05,150.980761534874,4376.05324059201,66.1517440479993,129.657418334079,NA,12379.1027556698,131777.232195312,363.011338934904,711.502224312411
"SE",2022,"NSEI",34168,31320,0.635247381726255,7.99821007028625e-05,19895.9479956663,78457.8338205076,280.103255640679,549.002381055731,NA,23959.7262735353,56313844.1152217,0.458422174840085,0.000176579860921032,10983.6698268872,11945717.3054895,3456.25770241305,6774.26509672958,NA,30879.6178225535,12024175.1393101,3467.58924028064,6796.47491095005
"SE",2023,"NSEI",31783,29468,0.379915305505142,0.000135157582414272,11195.3442226255,117365.846981786,342.586991845555,671.470504017288,NA,15106.2697195537,11460905.6924948,0.413223140495868,0.000133665808519625,6242.26021469162,1989022.58616508,1410.32712026859,2764.24115572643,NA,17437.6044373171,2106388.43314687,1451.34021964075,2844.62683049588
"SE",2024,"NSEI",37144,34672,0.297969543147208,0.000356968761951966,10331.2,429129.134744027,655.07948734793,1283.95579520194,NA,21829.9540670672,25454057.1127231,0.401709401709402,0.000114175277096283,8769.29778762529,4164848.58092306,2040.79606549088,3999.96028836213,NA,19100.4977876253,4593977.71566709,2143.35664686657,4200.97902785847
"SE",1998,"NSEO",1123,601,0.944970865,0.001054104,567.927489865,380.743418904,19.5126476651427,38.2447894236797,NA,595.655338971554,93360.3427904111,0.604064345,0.022998473,359.814152181604,44373.7290263542,210.650727571386,412.875426039916,NA,927.741642046605,44754.4724452582,211.552528808469,414.642956464599
"SE",1999,"NSEO",1071,484,0.944970865,0.001054104,457.36589866,246.930186624,15.7140124291665,30.7994643611664,NA,568.073791663877,84914.5019697874,0.604064345,0.022998473,343.153122873106,40359.4608609574,200.896642234153,393.75741877894,NA,800.519021533106,40606.3910475814,201.510275290322,394.960139569031
"SE",2000,"NSEO",2883,1457,0.944970865,0.001054104,1376.822550305,2237.703622296,47.3043721266439,92.716569368222,NA,1529.18463246214,615307.501617431,0.604064345,0.022998473,923.725913392311,292452.743087605,540.789000523869,1059.94644102678,NA,2300.54846369731,294690.446709901,542.853982862704,1063.9938064109
"SE",2001,"NSEO",2839,1235,0.944970865,0.001054104,1167.039018275,1607.7457734,40.0967052686377,78.5895423265299,NA,1505.84640012488,596669.323616881,0.604064345,0.022998473,909.628119362044,283594.105303915,532.535543700057,1043.76966565211,NA,2076.66713763704,285201.851077315,534.042929994692,1046.7241427896
"SE",2002,"NSEO",2029,687,0.944970865,0.001054104,649.194984255,497.504410776,22.3048068984244,43.7174215209118,NA,1076.21075937069,304766.353777939,0.604064345,0.022998473,650.100547441207,144854.005401973,380.596906716244,745.969937163837,NA,1299.29553169621,145351.509812749,381.24993090196,747.249864567841
"SE",2003,"NSEO",3083,1424,0.944970865,0.001054104,1345.63851176,2137.486792704,46.2329621882916,90.6166058890515,NA,1635.26750672244,703639.116398725,0.604064345,0.022998473,987.806795348074,334436.341493673,578.304713359379,1133.47723818438,NA,2333.44530710807,336573.828286377,580.149832617727,1137.09367193075
"SE",2004,"NSEO",2923,999,0.944970865,0.001054104,944.025894135,1051.996846104,32.4345008610276,63.5716216876141,NA,1550.4012073142,632500.03783668,0.604064345,0.022998473,936.542089783464,300624.27417529,548.292143090971,1074.6526004583,NA,1880.56798391846,301676.271021394,549.250644989511,1076.53126417944
"SE",2005,"NSEO",2796,1188,0.944970865,0.001054104,1122.62538762,1487.703355776,38.5707577806815,75.5986852501357,NA,1483.03858215892,578731.683724506,0.604064345,0.022998473,895.850729741555,275068.429967189,524.469665440422,1027.96054426323,NA,2018.47611736155,276556.133322965,525.886045948136,1030.73665005835
"SE",2006,"NSEO",3058,1407,0.95814978,8.85183e-05,1348.11674046,175.2351640767,13.2376419379246,25.9457781983322,NA,1622.0071474399,692273.786898811,0.378787879,0.003620117,614.396647101601,111357.924985906,333.703348778381,654.058563605626,NA,1962.5133875616,111533.160149982,333.965806857502,654.572981440704
"SE",2007,"NSEO",4266,2518,0.97456765,2.52399e-05,2453.9613427,160.0291437276,12.6502625952033,24.7945146865985,NA,2262.74770797208,1347238.94107506,0.327868852,0.003672848,741.884493378437,168578.755757223,410.583433369179,804.74352940359,NA,3195.84583607844,168738.78490095,410.778267318209,805.12540394369
"SE",2008,"NSEO",5010,3047,0.993179881,5.77953e-06,3026.219097407,53.65836444177,7.32518699022557,14.3573665008421,NA,2657.37600022038,1858139.76212869,0.633663366,0.002321341,1683.88182102726,766803.353486577,875.673085966776,1716.31924849488,NA,4710.10091843426,766857.011851019,875.703723785059,1716.37929861872
"SE",2009,"NSEO",2818,1954,0.978873239,2.91684e-05,1912.718309006,111.3683347344,10.5531196683445,20.6841145499553,NA,1494.70769832755,587874.879398666,0.358974359,0.002988465,536.561737899497,84188.6056806432,290.152728197829,568.699347267745,NA,2449.2800469055,84299.9740153776,290.344578071259,569.075373019668
"SE",2010,"NSEO",4613,2971,0.965957447,3.50199e-05,2869.859575037,309.1150891359,17.5816691225805,34.4600714802577,NA,2446.80149481369,1575323.79981807,0.549382716,0.001537648,1344.23045073361,487094.327594474,697.921433683243,1367.92601001916,NA,4214.09002577061,487403.442683609,698.142852633764,1368.35999116218
"SE",2011,"NSEO",8950,6832,0.976523702,1.03546e-05,6671.609932064,483.3136290304,21.9843951254157,43.0894144458147,NA,2109.86387208297,736850.511553881,0.551515152,0.001508208,1163.62189411115,231952.206197252,481.61416735521,943.963768016212,NA,7835.23182617515,232435.519826283,482.115670587757,944.946714352004
