"","Region","year","RptArea","Log_rfrel","Gui_pelrel","gui_pBRFinPel","gui_var_pBRFinPel","GuiBRF","var_GuiBRF","sqrt_GuiBRF","GuiBRF_UPRLWR95","blank","PRIV_rfrel","var_PRIV_rfrel","priv_pBRF","priv_var_pBRF","PRIV_BRF","var_PrivBRF","sqrt_PrivBRF","PrivBRF_UPRLWR95","blank2","TotalBRFrel","var_totalBRFrel","sqrt_totalBRF","TotalBRF_UPRLWR95"
"127","SC",2022,"NORTHEAST",594,562,0.905511811023622,0.000679048977145574,508.897637795276,214.473545137567,14.644915333916,28.7040340544753,NA,551.119186046512,204848.802013724,0.946428571428571,0.000456770546056261,521.594943936877,183720.916136343,428.626779537097,840.108487892711,NA,1030.49258173215,183935.389681481,428.876893387229,840.59871103897
"128","SC",2023,"NORTHEAST",624,596,0.782608695652174,0.000675128274372131,466.434782608696,239.816365109371,15.4860054600717,30.3525707017406,NA,476.895867768596,212726.702410435,0.872093023255814,0.000652320362832446,415.89755910052,162075.616887269,402.586160824324,789.068875215676,NA,882.332341709215,162315.433252378,402.883895498912,789.652435177867
"129","SC",1999,"PWSI",1069,926,0.937273046,0.000470338,867.914840596,403.303546888,20.0824188505269,39.3615409470328,NA,4538.31966520129,4601365.12224497,0.455908631,0.001285264,2069.0591056023,988791.781685775,994.380099200389,1948.98499443276,NA,2936.9739461983,989195.085232663,994.582869967437,1949.38242513618
"130","SC",2000,"PWSI",913,787,0.693761396,0.001672886,545.990218652,1036.133728934,32.1890311897392,63.0905011318887,NA,3876.03915278651,3356393.26471993,0.640256182,0.001308683,2481.6580292456,1399933.19514129,1183.18772607786,2319.0479431126,NA,3027.6482478976,1400969.32887023,1183.62550195162,2319.90598382518
"131","SC",2001,"PWSI",1120,889,0.849536675,0.001317774,755.238104075,1041.464465454,32.2717285786491,63.2525880141523,NA,4754.83444810612,5050883.26373064,0.064680016,0.000249986,307.542768180855,28044.8389525367,167.465933707536,328.23323006677,NA,1062.78087225586,29086.3034179907,170.547070974528,334.272259110075
"132","SC",2002,"PWSI",1080,922,0.823394244,0.001795261,759.169492968,1526.122651924,39.0656198200413,76.5686148472809,NA,4585.01893210233,4696548.34089239,0.263467937,0.001010691,1208.00547914694,352006.473059281,593.30133411217,1162.87061485985,NA,1967.17497211494,353532.595711205,594.586070902443,1165.38869896879
"133","SC",2003,"PWSI",1926,1610,0.894678305,0.000551047,1440.43207105,1428.3689287,37.7937683844837,74.0757860335881,NA,8176.61709558249,14936328.3207992,0.57733726,0.000643849,4720.66571003275,5031214.33601108,2243.03685569611,4396.35223716437,NA,6161.09778108275,5032642.70493978,2243.3552337826,4396.9762582139
"134","SC",2004,"PWSI",1703,1434,0.864183687,0.00056428,1239.239407158,1160.36056368,34.0640655776729,66.7655685322389,NA,7229.89559386136,11677787.8662476,0.461259188,0.001026856,3334.85577094927,2550233.19347922,1596.94495630852,3130.0121143647,NA,4574.09517810727,2551393.5540429,1597.30822136584,3130.72411387704
"135","SC",2005,"PWSI",2399,2068,0.969646368,0.00020874,2005.228689024,892.70249376,29.8781273469406,58.5611296000036,NA,10184.6855723273,23173507.9801545,0.007200906,2.58089e-05,73.3389634458851,4476.80069262126,66.9088984561939,131.14144097414,NA,2078.56765246989,5369.50318638126,73.2768939460541,143.622712134266
"136","SC",2006,"PWSI",974,731,0.927193457,0.000655396,677.778417067,350.218061956,18.7141139773167,36.6796633955407,NA,4135.00781469229,3819875.423392,0.498337176,0.000750742,2060.62811711168,964331.78227677,982.003962454719,1924.72776641125,NA,2738.40653417868,964682.000338726,982.182264316927,1925.07723806118
