"","Region","year","RptArea","Log_rfrel","Gui_nonpelrel","Gui_Yer","gui_pYEinNonpel","gui_var_pYEinNonpel","GuiYE","var_GuiYE","sqrt_GuiYE","GuiYE_UPRLWR95","blank","PRIV_rfrel","var_PRIV_rfrel","priv_pYE","priv_var_pYE","gui_pYE","var_gui_pYE","Priv_YE","var_PrivYE","sqrt_PrivYE","PrivYE_UPRLWR95","blank2","TotalYErel","var_totalYErel","sqrt_totalYE","TotalYE_UPRLWR95"
"266","SE",1999,"NSEI",6691,1645,NA,0.30371495,0.016418268,499.61109275,44428.2436647,210.780083652844,413.128963959575,NA,9629.93849401197,20762404.0573427,0.124478471,0.004260168,NA,NA,1198.72001955865,805232.218223476,897.347323071438,1758.80075322002,NA,1698.33111230865,849660.461888176,921.770286941479,1806.6697624053
"267","SE",2000,"NSEI",7565,2164,NA,0.30371495,0.016418268,657.2391518,76885.041544128,277.28152037979,543.471779944389,NA,10887.8321188463,26540765.4231815,0.124478471,0.004260168,NA,NA,1355.30069465868,1029335.49294352,1014.56172456067,1988.54098013891,NA,2012.53984645868,1106220.53448764,1051.77019091037,2061.46957418433
"268","SE",2001,"NSEI",5344,1327,NA,0.30371495,0.016418268,403.02973865,28911.404250972,170.033538606276,333.265735668301,NA,7691.28550470781,13244283.7842448,0.124478471,0.004260168,NA,NA,957.399459650492,513655.546867996,716.697667687007,1404.72742866653,NA,1360.42919830049,542566.951118968,736.591441111671,1443.71922457887
"269","SE",2002,"NSEI",5038,1129,NA,0.30371495,0.016418268,342.89417855,20927.397541788,144.663048294262,283.539574656754,NA,7250.8788122601,11770960.5766218,0.124478471,0.004260168,NA,NA,902.578307956433,456515.376040096,675.659215907025,1324.29206317777,NA,1245.47248650643,477442.773581884,690.972339230656,1354.30578489209
"270","SE",2003,"NSEI",6124,1422,NA,0.30371495,0.016418268,431.8826589,33199.117030512,182.206248604465,357.124247264751,NA,8813.89079918238,17392657.4227307,0.124478471,0.004260168,NA,NA,1097.13965024319,674542.701251084,821.305485949707,1609.75875246143,NA,1529.02230914319,707741.818281596,841.273925830104,1648.896894627
"271","SE",2004,"NSEI",4849,1124,NA,0.30371495,0.016418268,341.3756038,20742.445752768,144.022379346989,282.283863520098,NA,6978.86291398357,10904354.1264616,0.124478471,0.004260168,NA,NA,868.718184851279,422905.615230991,650.311936866448,1274.61139625824,NA,1210.09378865128,443648.060983759,666.069111266811,1305.49545808295
"272","SE",2005,"NSEI",6055,1305,NA,0.30371495,0.016418268,396.34800975,27960.7208607,167.214595238275,327.740606667018,NA,8714.58340774809,17002934.1866719,0.124478471,0.004260168,NA,NA,1084.77801799845,659427.99175029,812.051717411083,1591.62136612572,NA,1481.12602774845,687388.71261099,829.089086052271,1625.01460866245
"273","SE",2006,"NSEI",4774,1141,122,NA,NA,122,0,0,0,NA,6870.92009720717,10569645.1744349,0.152631579,0.000684313,NA,NA,1048.71938361956,285773.71988504,534.578076509914,1047.77302995943,NA,1170.71938361956,285773.71988504,534.578076509914,1047.77302995943
"274","SE",2007,"NSEI",2342,452,100,NA,NA,100,0,0,0,NA,3370.69435853774,2543720.32608506,0.234449761,0.000862899,NA,NA,790.258486763222,151818.75785381,389.639266314125,763.692961975685,NA,890.258486763222,151818.75785381,389.639266314125,763.692961975685
"275","SE",2008,"NSEI",2770,734,108,NA,NA,108,0,0,0,NA,3986.68803294174,3558402.87922,0.209302326,0.000967806,NA,NA,834.42307833107,174710.448798749,417.983790114819,819.248228625046,NA,942.42307833107,174710.448798749,417.983790114819,819.248228625046
