"","Region","year","RptArea","Log_rfrel","Gui_pelrel","gui_pPel","gui_var_pPel","GuiPel","var_GuiPel","sqrt_GuiPel","GuiPel_UPRLWR95","blank","PRIV_rfrel","var_PRIV_rfrel","priv_pPel","priv_var_pPel","Priv_Pel","var_PrivPel","sqrt_PrivPel","PrivPel_UPRLWR95","blank2","TotalPelrel","var_totalPelrel","sqrt_totalPel","TotalPel_UPRLWR95"
"179","SC",2009,"PWSI",721,603,NA,NA,603,0,0,0,NA,3060.92467596831,2093157.05253587,0.570204621109564,0.00051270148781352,1745.35339510543,686431.878915276,828.511845971605,1623.88321810434,NA,2348.35339510543,686431.878915276,828.511845971605,1623.88321810434
"180","SC",2010,"PWSI",749,588,NA,NA,588,0,0,0,NA,3179.79553717097,2258889.15962703,0.685040243621592,0.000464000232775187,2178.28790945045,1065791.48833165,1032.37177815535,2023.44868518449,NA,2766.28790945045,1065791.48833165,1032.37177815535,2023.44868518449
"181","SC",2011,"PWSI",376,303,NA,NA,303,0,0,0,NA,1849.23851478918,1977358.22853037,0.643810135702339,0.000460479206564809,1190.55849915241,822083.385356237,906.688141179886,1777.10875671258,NA,1493.55849915241,822083.385356237,906.688141179886,1777.10875671258
"182","SC",2012,"PWSI",895,682,NA,NA,682,0,0,0,NA,3391.79151624549,8025139.90987966,0.437941173007567,0.000543374618084599,1485.40515522166,1549773.18817395,1244.89886664498,2440.00177862416,NA,2167.40515522166,1549773.18817395,1244.89886664498,2440.00177862416
"183","SC",2013,"PWSI",534,456,NA,NA,456,0,0,0,NA,2868.07121661721,7105054.96489599,0.483999041370078,0.000384221491266036,1388.14371942384,1670285.61914628,1292.39530297285,2533.09479382678,NA,1844.14371942384,1670285.61914628,1292.39530297285,2533.09479382678
"184","SC",2014,"PWSI",714,524,NA,NA,524,0,0,0,NA,2887.67368421053,7498565.55502285,0.244058137635942,0.000373469156051857,704.76026146874,452562.082282778,672.7273461684,1318.54559849006,NA,1228.76026146874,452562.082282778,672.7273461684,1318.54559849006
"185","SC",2015,"PWSI",563,464,NA,NA,464,0,0,0,NA,3102.53114100648,6796012.90221313,0.162920272550286,0.000277189547443956,505.465219088525,184938.600839986,430.044882355303,842.887969416394,NA,969.465219088525,184938.600839986,430.044882355303,842.887969416394
"186","SC",2016,"PWSI",901,720,NA,NA,720,0,0,0,NA,2899.70160167131,5851468.8366538,0.59719819414665,0.00190914691313199,1731.69656008225,2114125.03553604,1454.00310712737,2849.84608996964,NA,2451.69656008225,2114125.03553604,1454.00310712737,2849.84608996964
"187","SC",2017,"PWSI",841,589,NA,NA,589,0,0,0,NA,2812.92110376992,4853912.43058098,0.546668077960025,0.00223263144594159,1537.73417325109,1479075.00332768,1216.17227534905,2383.69765968414,NA,2126.73417325109,1479075.00332768,1216.17227534905,2383.69765968414
"188","SC",2018,"PWSI",723,364,NA,NA,364,0,0,0,NA,3495.81181959564,14276073.6687363,0.38978907125679,0.000978821198294482,1362.6292424487,2194978.28146016,1481.5459093326,2903.82998229189,NA,1726.6292424487,2194978.28146016,1481.5459093326,2903.82998229189
"189","SC",2019,"PWSI",936,444,NA,NA,444,0,0,0,NA,6636.27092511013,17989742.9391782,0.383801234753063,0.000748410908085719,2547.00897521312,2696373.88549482,1642.06391029546,3218.44526417911,NA,2991.00897521312,2696373.88549482,1642.06391029546,3218.44526417911
"190","SC",2020,"PWSI",375,141,NA,NA,141,0,0,0,NA,2763.45933562428,3878494.50871839,0.417870542013154,0.000928453252407584,1154.76825040863,687937.708951083,829.420104019117,1625.66340387747,NA,1295.76825040863,687937.708951083,829.420104019117,1625.66340387747
"191","SC",2021,"PWSI",712,322,NA,NA,322,0,0,0,NA,2375.28830313015,2735926.70504548,0.546248855369933,0.00100348600557478,1297.49851675843,824774.309999772,908.170859475117,1780.01488457123,NA,1619.49851675843,824774.309999772,908.170859475117,1780.01488457123
"192","SC",2022,"PWSI",1299,768,NA,NA,768,0,0,0,NA,4033.09928688974,10075058.4201659,0.126117994692015,0.000292340175349813,508.64639445633,167951.863650201,409.819306097457,803.245839951015,NA,1276.64639445633,167951.863650201,409.819306097457,803.245839951015
"193","SC",1999,"PWSO",748,689,0.661122484195471,0.0207544133439471,689,9852.55585705191,99.2600415930394,194.549681522357,NA,392.788175090064,125537.229387322,0.752344344040335,0.00785710708865012,295.511961934935,73255.4091359309,270.657364828543,530.488435063944,NA,984.511961934935,83107.9649929828,288.284520904232,565.037660972295
"194","SC",2000,"PWSO",1756,1670,0.661122484195471,0.0207544133439471,1670,57881.9833749341,240.586748128267,471.550026331403,NA,922.106999275605,691860.230053877,0.752344344040335,0.00785710708865012,693.741985505007,403724.890734243,635.393492832782,1245.37124595225,NA,2363.74198550501,461606.874109177,679.416568909809,1331.65647506323
"195","SC",2001,"PWSO",1756,1662,0.661122484195471,0.0207544133439471,1662,57328.7537328378,239.434236759988,469.291104049576,NA,922.106999275605,691860.230053877,0.651109204467541,0.00445423545735661,600.392354732291,300178.498776933,547.885479618627,1073.85554005251,NA,2262.39235473229,357507.252509771,597.919101977659,1171.92143987621
"196","SC",2002,"PWSO",1719,1543,0.661122484195471,0.0207544133439471,1543,49413.1242555231,222.290630156836,435.689635107398,NA,902.677637673557,663011.554676266,0.752344344040335,0.00785710708865012,679.124415195391,386890.66929945,622.005361150087,1219.13050785417,NA,2222.12441519539,436303.793554973,660.532961747537,1294.64460502517
"197","SC",2003,"PWSO",1548,1372,0.661122484195471,0.0207544133439471,1372,39067.7756080325,197.655699659869,387.405171333344,NA,812.882479999224,537664.368672532,0.916202068068087,0.00127959730893079,744.764609271604,452863.097284158,672.951036319997,1318.98403118719,NA,2116.7646092716,491930.872892191,701.377838894408,1374.70056423304
"198","SC",2004,"PWSO",1830,1662,0.661122484195471,0.0207544133439471,1662,57328.7537328378,239.434236759988,469.291104049576,NA,960.965722479702,751400.575322431,0.703603220031885,0.00386195794060459,676.138576676985,378454.705985913,615.186724487707,1205.7659799959,NA,2338.13857667699,435783.459718751,660.138970004613,1293.87238120904
"199","SC",2005,"PWSO",1432,1329,0.661122484195471,0.0207544133439471,1329,36657.2957790265,191.460951055369,375.263464068524,NA,751.968805787396,460103.333443813,0.864231013121311,0.00202303050139006,649.874762861264,345723.731523732,587.982764648533,1152.44621871113,NA,1978.87476286126,382381.027302759,618.369652637287,1212.00451916908
"200","SC",2006,"PWSO",1336,1123,NA,NA,1123,0,0,0,NA,701.557489198296,400481.31663851,0.752344344040335,0.00785710708865012,527.812809017477,233694.99904395,483.420106164349,947.503408082124,NA,1650.81280901748,233694.99904395,483.420106164349,947.503408082124
"201","SC",2007,"PWSO",925,678,NA,NA,678,0,0,0,NA,485.734040051216,191978.595138778,0.752344344040335,0.00785710708865012,365.439257740394,112026.293720743,334.703292067382,656.018452452069,NA,1043.43925774039,112026.293720743,334.703292067382,656.018452452069
"202","SC",2008,"PWSO",962,737,NA,NA,737,0,0,0,NA,505.163401653264,207644.048502103,0.752344344040335,0.00785710708865012,380.056828050009,121167.639288356,348.091423750078,682.259190550152,NA,1117.05682805001,121167.639288356,348.091423750078,682.259190550152
"203","SC",2009,"PWSO",1119,887,NA,NA,887,0,0,0,NA,587.606908991687,280950.310787515,0.743057483826949,0.001928515753088,436.625711274694,156330.03673954,395.385933917154,774.956430477622,NA,1323.62571127469,156330.03673954,395.385933917154,774.956430477622
"204","SC",2010,"PWSO",810,490,NA,NA,490,0,0,0,NA,425.345483720524,147210.701265803,0.718627641842346,0.00198237210022014,305.665021934372,76673.8623561533,276.900455680653,542.72489313408,NA,795.665021934372,76673.8623561533,276.900455680653,542.72489313408
"205","SC",2011,"PWSO",594,409,NA,NA,409,0,0,0,NA,725.362878455463,641484.026367597,0.865250793064619,0.00084486853743237,627.620805843224,481239.246290096,693.714095496189,1359.67962717253,NA,1036.62080584322,481239.246290096,693.714095496189,1359.67962717253
"206","SC",2012,"PWSO",621,502,NA,NA,502,0,0,0,NA,210.936393442623,52355.2625630312,0.739490782597044,0.000688014875182341,155.985518665083,28696.932088132,169.401688563403,332.027309584269,NA,657.985518665083,28696.932088132,169.401688563403,332.027309584269
"207","SC",2013,"PWSO",604,420,NA,NA,420,0,0,0,NA,774.186226964112,1012819.94475999,0.796352942526586,0.000497469121030166,616.525479906426,643110.148001194,801.941486644252,1571.80531382273,NA,1036.52547990643,643110.148001194,801.941486644252,1571.80531382273
"208","SC",2014,"PWSO",794,488,NA,NA,488,0,0,0,NA,498.33045622688,389455.655174838,0.778237371618777,0.000646381891515635,387.819384451593,236287.399464864,486.094023276221,952.744285621394,NA,875.819384451593,236287.399464864,486.094023276221,952.744285621394
"209","SC",2015,"PWSO",736,550,NA,NA,550,0,0,0,NA,196.130464954892,74505.0834467905,0.769156051325152,0.000887775100175261,150.854933969271,44177.578147583,210.18462871386,411.961872279165,NA,700.854933969271,44177.578147583,210.18462871386,411.961872279165
"210","SC",2016,"PWSO",1017,745,NA,NA,745,0,0,0,NA,262.797435897436,105363.492228585,0.599936191987267,0.00108113854743732,157.661692956326,38111.3686447735,195.221332453125,382.633811608125,NA,902.661692956326,38111.3686447735,195.221332453125,382.633811608125
"211","SC",2017,"PWSO",669,398,NA,NA,398,0,0,0,NA,403.408673894912,436676.901026332,0.776615895138175,0.00124808378817918,313.293588383402,264122.041936523,513.92805132287,1007.29898059283,NA,711.293588383402,264122.041936523,513.92805132287,1007.29898059283
"212","SC",2018,"PWSO",1046,546,NA,NA,546,0,0,0,NA,281.24095139607,349345.971691032,0.633299155602204,0.00207349406353339,178.109657039892,140999.800326946,375.499401233805,735.978826418258,NA,724.109657039892,140999.800326946,375.499401233805,735.978826418258
"213","SC",2019,"PWSO",1837,689,NA,NA,689,0,0,0,NA,729.573826458037,635636.56754389,0.729995345387075,0.000804498535103183,532.585497430605,339665.992773497,582.808710275934,1142.30507214083,NA,1221.5854974306,339665.992773497,582.808710275934,1142.30507214083
"214","SC",2020,"PWSO",854,452,NA,NA,452,0,0,0,NA,412.656330749354,185736.582909414,0.742772561836163,0.00109177990411147,306.509799948609,102861.627975181,320.72048262495,628.612145944902,NA,758.509799948609,102861.627975181,320.72048262495,628.612145944902
"215","SC",2021,"PWSO",734,360,NA,NA,360,0,0,0,NA,373.930907415937,97169.5458502767,0.724720478515419,0.00246297168562718,270.995386154183,51619.0759047738,227.198318446184,445.308704154521,NA,630.995386154183,51619.0759047738,227.198318446184,445.308704154521
"216","SC",2022,"PWSO",664,337,NA,NA,337,0,0,0,NA,532.986547085202,699615.77082738,0.755133736448644,0.00165095336183709,402.47612277731,400563.801135754,632.901099016074,1240.4861540715,NA,739.47612277731,400563.801135754,632.901099016074,1240.4861540715
"217","SE",1999,"CSEO",8490,7112,0.747799087415838,0.0058048551910895,7112,293612.733406531,541.86043720365,1062.04645691915,NA,4688.87797836018,7342918.28710001,0.606261752546111,0.00136736599011768,2842.68738063551,2739016.72715796,1654.99750065006,3243.79510127413,NA,9954.68738063551,3032629.46056449,1741.4446475741,3413.23150924524
"218","SE",2000,"CSEO",6035,4890,0.747799087415838,0.0058048551910895,4890,138806.277814851,372.56714537765,730.231604940195,NA,3333.02457001221,3710290.0674539,0.606261752546111,0.00136736599011768,2020.68531709485,1383992.870412,1176.43226341851,2305.80723630028,NA,6910.68531709485,1522799.14822685,1234.01748295024,2418.67426658247
"219","SE",2001,"CSEO",5594,4504,0.747799087415838,0.0058048551910895,4504,117757.385284125,343.157959668903,672.58960095105,NA,3089.46801071223,3187852.64892282,0.606261752546111,0.00136736599011768,1873.02629060954,1189116.01460335,1090.46596214799,2137.31328581007,NA,6377.02629060954,1306873.39988747,1143.18563666951,2240.64384787224
"220","SE",2002,"CSEO",6354,5038,0.747799087415838,0.0058048551910895,5038,147335.606960747,383.843206219346,752.332684189918,NA,3509.20267073034,4112896.0748843,0.606261752546111,0.00136736599011768,2127.49536119647,1534170.84403093,1238.61650402008,2427.68834787936,NA,7165.49536119647,1681506.45099168,1296.72913555287,2541.58910568362
"221","SE",2003,"CSEO",8201,6652,0.747799087415838,0.0058048551910895,6652,256859.641055459,506.813221074055,993.353913305148,NA,4529.26835106382,6851520.13978104,0.606261752546111,0.00136736599011768,2745.92216826759,2555717.97690962,1598.66130775397,3133.37616319777,NA,9397.92216826759,2812577.61796508,1677.07412417134,3287.06528337583
"222","SE",2004,"CSEO",7046,5841,0.747799087415838,0.0058048551910895,5841,198045.875718709,445.023455245574,872.245972281324,NA,3891.38212432577,5057531.45542096,0.606261752546111,0.00136736599011768,2359.19614652035,1886533.76122431,1373.51147109309,2692.08248334246,NA,8200.19614652035,2084579.63694302,1443.80734065976,2829.86238769314
"223","SE",2005,"CSEO",8114,6379,0.747799087415838,0.0058048551910895,6379,236209.0834928,486.013460197143,952.586381986401,NA,4481.21977814069,6706923.01892104,0.606261752546111,0.00136736599011768,2716.79215623987,2501781.12002941,1581.70196940808,3100.13586003984,NA,9095.79215623987,2737990.20352221,1654.68734313229,3243.18719253929
"224","SE",2006,"CSEO",5240,4055,NA,NA,4055,0,0,0,NA,2893.96002433538,2797150.85245272,0.561776061776062,0.00047617740462561,1625.75746540848,888079.32088339,942.379605511171,1847.0640268019,NA,5680.75746540848,888079.32088339,942.379605511171,1847.0640268019
"225","SE",2007,"CSEO",5145,4075,NA,NA,4075,0,0,0,NA,2841.49319183311,2696646.83526773,0.629213483146067,0.000657194016262707,1787.90582856915,1074706.84934001,1036.68068822565,2031.89414892228,NA,5862.90582856915,1074706.84934001,1036.68068822565,2031.89414892228
"226","SE",2008,"CSEO",4496,3377,NA,NA,3377,0,0,0,NA,2483.06188347554,2059235.04187886,0.619771863117871,0.000448866096771951,1538.93188975861,794679.368769913,891.447905808249,1747.23789538417,NA,4915.93188975861,794679.368769913,891.447905808249,1747.23789538417
"227","SE",2009,"CSEO",2028,1556,NA,NA,1556,0,0,0,NA,1120.02880331148,418976.06752061,0.605128205128205,0.00061426236628926,677.761019439766,154448.648581387,392.999552902274,770.279123688458,NA,2233.76101943977,154448.648581387,392.999552902274,770.279123688458
"228","SE",2010,"CSEO",2413,1525,NA,NA,1525,0,0,0,NA,1332.65754555749,593154.676367009,0.654565456545655,0.00024901929476083,872.311594726852,254730.601874644,504.708432537682,989.228527773856,NA,2397.31159472685,254730.601874644,504.708432537682,989.228527773856
"229","SE",2011,"CSEO",3363,2305,NA,NA,2305,0,0,0,NA,1640.24034593725,1713584.96833279,0.570028011204482,0.00034375326458169,934.982942291961,558312.357295744,747.20302280956,1464.51792470674,NA,3239.98294229196,558312.357295744,747.20302280956,1464.51792470674
"230","SE",2012,"CSEO",3615,1740,NA,NA,1740,0,0,0,NA,1878.69473901666,984669.711349431,0.61136023916293,0.000355686971756849,1148.55926495937,369637.101962527,607.977879500996,1191.63664382195,NA,2888.55926495937,369637.101962527,607.977879500996,1191.63664382195
"231","SE",2013,"CSEO",3645,2144,NA,NA,2144,0,0,0,NA,1123.55561704483,578647.089839533,0.638344226579521,0.000251756679358903,717.215241381556,236252.545733706,486.058171141794,952.674015437917,NA,2861.21524138156,236252.545733706,486.058171141794,952.674015437917
