"","Region","year","RptArea","Log_rfrel","Gui_Nonpelrel","gui_pDSRinNonpel","gui_var_pDSRinNonpel","GuiDSR","var_GuiDSR","sqrt_GuiDSR","GuiDSR_UPRLWR95","blank","PRIV_rfrel","var_PRIV_rfrel","priv_pDSR","priv_var_pDSR","Priv_DSR","var_PrivDSR","sqrt_PrivDSR","PrivDSR_UPRLWR95","blank2","TotalDSRrel","var_totalDSRrel","sqrt_totalDSR","TotalDSR_UPRLWR95"
"190","SC",2004,"WKMA",318,60,NA,NA,0,0,0,0,NA,119.959180130393,29702.4087787344,NA,NA,0,0,0,0,NA,0,0,0,0
"191","SC",2005,"WKMA",421,34,NA,NA,0,0,0,0,NA,158.813883128602,52059.6953675849,NA,NA,0,0,0,0,NA,0,0,0,0
"192","SC",2006,"WKMA",547,32,NA,NA,0,0,0,0,NA,206.344879029324,87884.4589640079,NA,NA,0,0,0,0,NA,0,0,0,0
"193","SC",2007,"WKMA",396,47,NA,NA,0,0,0,0,NA,149.383129973697,46060.4103382581,NA,NA,0,0,0,0,NA,0,0,0,0
"194","SC",2008,"WKMA",575,85,NA,NA,0,0,0,0,NA,216.907322562817,97112.0495873289,NA,NA,0,0,0,0,NA,0,0,0,0
"195","SC",2009,"WKMA",695,67,NA,NA,0,0,0,0,NA,262.174937706362,141875.380724142,NA,NA,0,0,0,0,NA,0,0,0,0
"196","SC",2010,"WKMA",527,80,NA,NA,0,0,0,0,NA,198.8002765054,81575.2965439373,NA,NA,0,0,0,0,NA,0,0,0,0
"197","SC",2011,"WKMA",399,78,NA,NA,0,0,0,0,NA,0,11830.045792546,NA,NA,0,0,0,0,NA,0,0,0,0
"198","SC",2012,"WKMA",630,109,NA,NA,0,0,0,0,NA,439.174714661984,167549.060673605,NA,NA,0,0,0,0,NA,0,0,0,0
"199","SC",2013,"WKMA",951,81,NA,NA,0,0,0,0,NA,183.258394160584,131577.827353092,NA,NA,0,0,0,0,NA,0,0,0,0
"200","SC",2014,"WKMA",1124,227,NA,NA,0,0,0,0,NA,2104.6711409396,8654136.79274347,NA,NA,0,0,0,0,NA,0,0,0,0
"201","SC",2015,"WKMA",969,119,NA,NA,0,0,0,0,NA,153.040476190476,595552.418546151,NA,NA,0,0,0,0,NA,0,0,0,0
"202","SC",2016,"WKMA",1927,230,NA,NA,0,0,0,0,NA,1506.63587628866,4454979.57695473,NA,NA,0,0,0,0,NA,0,0,0,0
"203","SC",2017,"WKMA",1190,94,NA,NA,0,0,0,0,NA,1291.66990291262,8189968.77757961,NA,NA,0,0,0,0,NA,0,0,0,0
"204","SC",2018,"WKMA",1996,154,NA,NA,0,0,0,0,NA,482.923969072165,445031.134408026,NA,NA,0,0,0,0,NA,0,0,0,0
"205","SC",2019,"WKMA",1190,94,NA,NA,0,0,0,0,NA,2986.52638610554,17108577.5232715,NA,NA,0,0,0,0,NA,0,0,0,0
"206","SC",2020,"WKMA",1426,79,NA,NA,0,0,0,0,NA,254.802507836991,351595.754376875,NA,NA,0,0,0,0,NA,0,0,0,0
"207","SC",2021,"WKMA",3063,245,NA,NA,0,0,0,0,NA,376.53766040543,299372.380152434,NA,NA,0,0,0,0,NA,0,0,0,0
"208","SE",1999,"CSEO",8490,1378,0.879665017,0.004259682,1212.178393426,8088.641994888,89.9368778360023,176.276280558564,NA,4688.87797836018,7342918.28710001,0.354628448,0.001141421,1662.80952032725,956931.374957683,978.22869256513,1917.32823742765,NA,2874.98791375325,965020.016952571,982.354323527194,1925.4144741133
"209","SE",2000,"CSEO",6035,1145,0.879665017,0.004259682,1007.216444465,5584.54959405,74.7298440654736,146.470494368328,NA,3333.02457001221,3710290.0674539,0.354628448,0.001141421,1181.9853304093,483526.145453366,695.360442830455,1362.90646794769,NA,2189.2017748743,489110.695047416,699.364493699398,1370.75440765082
"210","SE",2001,"CSEO",5594,1090,0.879665017,0.004259682,958.83486853,5060.9281842,71.1402009007565,139.434793765483,NA,3089.46801071223,3187852.64892282,0.354628448,0.001141421,1095.61324578453,415441.940005706,644.547857032902,1263.31379978449,NA,2054.44811431453,420502.868189906,648.46192501172,1270.98537302297
"211","SE",2002,"CSEO",6354,1316,0.879665017,0.004259682,1157.639162372,7377.155829792,85.8903709957758,168.345127151721,NA,3509.20267073034,4112896.0748843,0.354628448,0.001141421,1244.46309683856,535993.884462994,732.116032103514,1434.94742292289,NA,2402.10225921056,543371.040292786,737.137056654179,1444.78863104219
"212","SE",2003,"CSEO",8201,1549,0.879665017,0.004259682,1362.601111333,10220.685250482,101.097404766304,198.150913341957,NA,4529.26835106382,6851520.13978104,0.354628448,0.001141421,1606.20740591328,892892.21690363,944.9297417817,1852.06229389213,NA,2968.80851724628,903112.902154112,950.32252533238,1862.63214965146
"213","SE",2004,"CSEO",7046,1205,0.879665017,0.004259682,1059.996345485,6185.16475605,78.6458184269831,154.145804116887,NA,3891.38212432577,5057531.45542096,0.354628448,0.001141421,1379.99480332459,659099.058480616,811.849159930966,1591.22435346469,NA,2439.99114880959,665284.223236666,815.649571345848,1598.67315983786
"214","SE",2005,"CSEO",8114,1735,0.879665017,0.004259682,1526.218804495,12822.60124845,113.236925286984,221.944373562489,NA,4481.21977814069,6706923.01892104,0.354628448,0.001141421,1589.16801506894,874048.275534627,934.905490161774,1832.41476071708,NA,3115.38681956394,886870.876783077,941.738220942039,1845.8069130464
"215","SE",2006,"CSEO",5240,1185,0.965051258,1.57e-05,1143.58574073,22.0463325,4.69535222320967,9.20289035749095,NA,2893.96002433538,2797150.85245272,0.405405405,0.000466251,1173.22703571949,464930.679899104,681.858254990804,1336.44217978198,NA,2316.81277644949,464952.726231604,681.8744211595,1336.47386547262
"216","SE",2007,"CSEO",5145,1070,0.956864808,2.17e-05,1023.84534456,24.84433,4.98440869110871,9.76944103457306,NA,2841.49319183311,2696646.83526773,0.356741573,0.000646414,1013.67875092334,350149.896664406,591.734650552429,1159.79991508276,NA,2037.52409548334,350174.740994406,591.755642976394,1159.84106023373
"217","SE",2008,"CSEO",4496,1119,0.919354839,3.52e-05,1028.758064841,44.0760672,6.63898088564804,13.0124025358702,NA,2483.06188347554,2059235.04187886,0.365019011,0.000441486,906.36479295804,278001.315221625,527.258300287084,1033.42626856268,NA,1935.12285779904,278045.391288825,527.300096044771,1033.50818824775
"218","SE",2009,"CSEO",2028,472,0.959098497,3.28e-05,452.694490584,7.3073152,2.70320461674658,5.29828104882329,NA,1120.02880331148,418976.06752061,0.384615385,0.000608448,430.780309396733,62996.9099158117,250.991852289694,491.944030487801,NA,883.474799980733,63004.2172310117,251.0064087449,491.972561140004
"219","SE",2010,"CSEO",2413,888,0.911933069,3.54e-05,809.796565272,27.9144576,5.28341344208458,10.3554903464858,NA,1332.65754555749,593154.676367009,0.320132013,0.0002397,426.626342698959,61357.0444944316,247.703541546001,485.498941430162,NA,1236.42290797096,61384.9589520316,247.759881643561,485.60936802138
"220","SE",2011,"CSEO",3363,1058,0.875067313,5.89e-05,925.821217154,65.9305396,8.11976228716087,15.9147340828353,NA,1640.24034593725,1713584.96833279,0.380952381,0.000330754,624.853465197058,250140.164686411,500.140145045778,980.274684289724,NA,1550.67468235106,250206.095226011,500.206052768268,980.403863425806
