"Region","year","RptArea","rfrel","pelagic_rel","nonpel_rel","ye_rel","not_ye_nonpel_rel"
"SC",2003,"SOUTHEAST",81,81,0,0,0
"SC",2003,"SOUTHWEST",56,56,0,0,0
"SE",2003,"SSEI",8078,4622,3456,NA,NA
"SE",2003,"SSEO",4577,2860,1717,NA,NA
"SC",2003,"WESTSIDE",510,456,54,NA,NA
"SC",2003,"WKMA",649,595,54,NA,NA
"SC",2004,"AFOGNAK",758,641,117,NA,NA
"SC",2004,"ALEUTIAN",17,17,0,0,0
"SC",2004,"BERING",0,0,0,0,0
"SC",2004,"CHIGNIK",140,120,20,NA,NA
"SC",2004,"CI",3521,3381,140,NA,NA
"SE",2004,"CSEO",7046,5841,1205,NA,NA
"SC",2004,"EASTSIDE",453,420,33,NA,NA
"SE",2004,"EWYKT",769,706,63,NA,NA
"SE",2004,"EYKT",21,20,1,NA,NA
"SE",2004,"IBS",748,686,62,NA,NA
"SC",2004,"MAINLAND",33,18,15,NA,NA
"SC",2004,"NG",4972,4578,394,NA,NA
"SC",2004,"NORTHEAST",1756,1598,158,NA,NA
"SE",2004,"NSEI",4849,3725,1124,NA,NA
"SE",2004,"NSEO",2356,1928,428,NA,NA
"SC",2004,"PWSI",1703,1434,269,NA,NA
"SC",2004,"PWSO",1830,1662,168,NA,NA
"SC",2004,"SAKPEN",0,0,0,0,0
"SC",2004,"SKMA",26,25,1,NA,NA
"SC",2004,"SOUTHEAST",17,17,0,0,0
"SC",2004,"SOUTHWEST",9,8,1,NA,NA
"SE",2004,"SSEI",6002,3161,2841,NA,NA
"SE",2004,"SSEO",4886,3297,1589,NA,NA
"SC",2004,"WESTSIDE",285,240,45,NA,NA
"SC",2004,"WKMA",318,258,60,NA,NA
"SC",2005,"AFOGNAK",1426,1375,51,NA,NA
"SC",2005,"ALEUTIAN",0,0,0,0,0
"SC",2005,"BERING",0,0,0,0,0
"SC",2005,"CHIGNIK",305,305,0,0,0
"SC",2005,"CI",2204,2101,103,NA,NA
"SE",2005,"CSEO",8114,6379,1735,NA,NA
"SC",2005,"EASTSIDE",744,697,47,NA,NA
"SE",2005,"EWYKT",686,649,37,NA,NA
"SE",2005,"EYKT",32,15,17,NA,NA
"SE",2005,"IBS",654,634,20,NA,NA
"SC",2005,"MAINLAND",16,14,2,NA,NA
"SC",2005,"NG",4991,4462,529,NA,NA
"SC",2005,"NORTHEAST",4080,3881,199,NA,NA
"SE",2005,"NSEI",6055,4750,1305,NA,NA
"SE",2005,"NSEO",2502,2028,474,NA,NA
"SC",2005,"PWSI",2399,2068,331,NA,NA
"SC",2005,"PWSO",1432,1329,103,NA,NA
"SC",2005,"SAKPEN",0,0,0,0,0
"SC",2005,"SKMA",112,108,4,NA,NA
"SC",2005,"SOUTHEAST",112,108,4,NA,NA
"SC",2005,"SOUTHWEST",0,0,0,0,0
"SE",2005,"SSEI",9401,4727,4674,NA,NA
"SE",2005,"SSEO",6899,4850,2049,NA,NA
"SC",2005,"WESTSIDE",405,373,32,NA,NA
"SC",2005,"WKMA",421,387,34,NA,NA
"SC",2006,"AFOGNAK",842,806,36,14,22
"SC",2006,"ALEUTIAN",0,0,0,0,0
"SC",2006,"BERING",0,0,0,0,0
"SC",2006,"CHIGNIK",169,169,0,0,0
"SC",2006,"CI",1504,1399,105,10,95
"SE",2006,"CSEO",5240,4055,1185,677,508
"SC",2006,"EASTSIDE",822,795,27,4,23
"SE",2006,"EWYKT",448,422,26,9,17
"SE",2006,"EYKT",42,35,7,7,0
"SE",2006,"IBS",406,387,19,2,17
"SC",2006,"MAINLAND",224,224,0,0,0
"SC",2006,"NG",3683,3243,440,149,291
"SC",2006,"NORTHEAST",1667,1605,62,0,62
"SE",2006,"NSEI",4774,3633,1141,122,1019
"SE",2006,"NSEO",1591,1408,183,126,57
"SC",2006,"PWSI",974,731,243,93,150
"SC",2006,"PWSO",1336,1123,213,166,47
"SC",2006,"SAKPEN",0,0,0,0,0
"SC",2006,"SKMA",80,77,3,1,2
"SC",2006,"SOUTHEAST",78,77,1,1,0
"SC",2006,"SOUTHWEST",2,0,2,0,2
"SE",2006,"SSEI",6626,3549,3077,354,2723
"SE",2006,"SSEO",2288,1550,738,222,516
"SC",2006,"WESTSIDE",323,291,32,19,13
"SC",2006,"WKMA",547,515,32,19,13
"SC",2007,"AFOGNAK",2835,2759,76,8,68
"SC",2007,"ALEUTIAN",4,4,0,0,0
"SC",2007,"BERING",0,0,0,0,0
"SC",2007,"CHIGNIK",448,448,0,0,0
"SC",2007,"CI",1262,1226,36,3,33
"SE",2007,"CSEO",5145,4075,1070,678,392
"SC",2007,"EASTSIDE",2661,2611,50,0,50
"SE",2007,"EWYKT",293,270,23,7,16
"SE",2007,"EYKT",111,92,19,7,12
"SE",2007,"IBS",182,178,4,0,4
"SC",2007,"MAINLAND",101,101,0,0,0
"SC",2007,"NG",3175,2816,359,94,265
"SC",2007,"NORTHEAST",1731,1552,179,24,155
"SE",2007,"NSEI",2342,1890,452,100,352
"SE",2007,"NSEO",1002,823,179,73,106
"SC",2007,"PWSI",2121,1791,330,77,253
"SC",2007,"PWSO",925,678,247,217,30
"SC",2007,"SAKPEN",0,0,0,0,0
"SC",2007,"SKMA",474,455,19,2,17
"SC",2007,"SOUTHEAST",474,455,19,2,17
"SC",2007,"SOUTHWEST",0,0,0,0,0
"SE",2007,"SSEI",3895,1963,1932,301,1631
"SE",2007,"SSEO",2461,1367,1094,194,900
"SC",2007,"WESTSIDE",295,248,47,23,24
"SC",2007,"WKMA",396,349,47,23,24
"SC",2008,"AFOGNAK",1487,1449,38,11,27
"SC",2008,"ALEUTIAN",48,48,0,0,0
"SC",2008,"BERING",0,0,0,0,0
"SC",2008,"CHIGNIK",287,287,0,0,0
"SC",2008,"CI",737,689,48,12,36
"SE",2008,"CSEO",4496,3377,1119,561,558
"SC",2008,"EASTSIDE",902,786,116,5,111
"SE",2008,"EWYKT",64,38,26,12,14
"SE",2008,"EYKT",34,13,21,7,14
"SE",2008,"IBS",30,25,5,5,0
"SC",2008,"MAINLAND",218,217,1,1,0
"SC",2008,"NG",2762,2366,396,165,231
"SC",2008,"NORTHEAST",1565,1448,117,8,109
"SE",2008,"NSEI",2770,2036,734,108,626
"SE",2008,"NSEO",576,463,113,65,48
"SC",2008,"PWSI",1254,979,275,55,220
"SC",2008,"PWSO",962,737,225,191,34
"SC",2008,"SAKPEN",0,0,0,0,0
"SC",2008,"SKMA",822,805,17,0,17
"SC",2008,"SOUTHEAST",822,805,17,0,17
"SC",2008,"SOUTHWEST",0,0,0,0,0
"SE",2008,"SSEI",3127,1812,1315,258,1057
"SE",2008,"SSEO",3407,1957,1450,282,1168
"SC",2008,"WESTSIDE",357,273,84,5,79
"SC",2008,"WKMA",575,490,85,6,79
"SC",2009,"AFOGNAK",1564,1522,42,19,23
"SC",2009,"ALEUTIAN",0,0,0,0,0
"SC",2009,"BERING",0,0,0,0,0
"SC",2009,"CHIGNIK",151,151,0,0,0
"SC",2009,"CI",605,538,67,1,66
"SE",2009,"CSEO",2028,1556,472,367,105
"SC",2009,"EASTSIDE",637,604,33,7,26
"SE",2009,"EWYKT",124,119,5,1,4
"SE",2009,"EYKT",85,85,0,0,0
"SE",2009,"IBS",39,34,5,1,4
"SC",2009,"MAINLAND",9,6,3,0,3
"SC",2009,"NG",1655,1435,220,91,129
"SC",2009,"NORTHEAST",1317,1278,39,1,38
"SE",2009,"NSEI",1738,1432,306,93,213
"SE",2009,"NSEO",406,360,46,25,21
"SC",2009,"PWSI",721,603,118,51,67
"SC",2009,"PWSO",1119,887,232,200,32
"SC",2009,"SAKPEN",2,2,0,0,0
"SC",2009,"SKMA",338,335,3,3,0
"SC",2009,"SOUTHEAST",326,323,3,3,0
"SC",2009,"SOUTHWEST",12,12,0,0,0
"SE",2009,"SSEI",1615,889,726,158,568
"SE",2009,"SSEO",1253,589,664,96,568
"SC",2009,"WESTSIDE",686,622,64,20,44
"SC",2009,"WKMA",695,628,67,20,47
"SC",2010,"AFOGNAK",1405,1227,178,5,173
"SC",2010,"ALEUTIAN",11,11,0,0,0
"SC",2010,"BERING",0,0,0,0,0
"SC",2010,"CHIGNIK",38,38,0,0,0
"SC",2010,"CI",690,546,144,18,126
"SE",2010,"CSEO",2413,1525,888,659,229
"SC",2010,"EASTSIDE",1209,1014,195,2,193
"SE",2010,"EWYKT",116,95,21,10,11
"SE",2010,"EYKT",13,3,10,10,0
"SE",2010,"IBS",103,92,11,0,11
"SC",2010,"MAINLAND",31,13,18,1,17
"SC",2010,"NG",1667,1370,297,76,221
"SC",2010,"NORTHEAST",975,867,108,5,103
"SE",2010,"NSEI",1607,1074,533,122,411
"SE",2010,"NSEO",591,381,210,117,93
"SC",2010,"PWSI",749,588,161,70,91
"SC",2010,"PWSO",810,490,320,257,63
"SC",2010,"SAKPEN",0,0,0,0,0
"SC",2010,"SKMA",191,110,81,0,81
"SC",2010,"SOUTHEAST",191,110,81,0,81
"SC",2010,"SOUTHWEST",0,0,0,0,0
"SE",2010,"SSEI",3026,1184,1842,209,1633
"SE",2010,"SSEO",1252,486,766,113,653
"SC",2010,"WESTSIDE",496,434,62,27,35
"SC",2010,"WKMA",527,447,80,28,52
"SC",2011,"AFOGNAK",2417,2185,232,13,219
"SC",2011,"ALEUTIAN",0,0,0,0,0
"SC",2011,"BERING",0,0,0,0,0
"SC",2011,"CHIGNIK",61,61,0,0,0
"SC",2011,"CI",862,640,222,42,180
"SE",2011,"CSEO",3363,2305,1058,647,411
"SC",2011,"EASTSIDE",491,489,2,0,2
"SE",2011,"EWYKT",79,54,25,16,9
"SE",2011,"EYKT",14,1,13,11,2
"SE",2011,"IBS",65,53,12,5,7
"SC",2011,"MAINLAND",10,10,0,0,0
"SC",2011,"NG",1572,1223,349,110,239
"SC",2011,"NORTHEAST",1219,1141,78,3,75
"SE",2011,"NSEI",1442,1013,429,51,378
"SE",2011,"NSEO",681,489,192,73,119
"SC",2011,"PWSI",376,303,73,16,57
"SC",2011,"PWSO",594,409,185,115,70
"SC",2011,"SAKPEN",2,2,0,0,0
"SC",2011,"SKMA",231,220,11,2,9
"SC",2011,"SOUTHEAST",231,220,11,2,9
"SC",2011,"SOUTHWEST",0,0,0,0,0
"SE",2011,"SSEI",1401,844,557,132,425
"SE",2011,"SSEO",781,458,323,99,224
"SC",2011,"WESTSIDE",389,311,78,28,50
"SC",2011,"WKMA",399,321,78,28,50
"SC",2012,"AFOGNAK",1340,1166,174,38,136
"SC",2012,"ALEUTIAN",4,4,0,0,0
"SC",2012,"BERING",0,0,0,0,0
"SC",2012,"CHIGNIK",151,130,21,0,21
"SC",2012,"CI",344,298,46,33,13
"SE",2012,"CSEO",3615,1740,1875,1123,752
"SC",2012,"EASTSIDE",540,524,16,0,16
"SE",2012,"EWYKT",61,43,18,9,9
"SE",2012,"EYKT",14,8,6,6,0
"SE",2012,"IBS",47,35,12,3,9
"SC",2012,"MAINLAND",0,0,0,0,0
"SC",2012,"NG",1193,860,333,128,205
"SC",2012,"NORTHEAST",898,841,57,3,54
"SE",2012,"NSEI",1202,653,549,159,390
"SE",2012,"NSEO",537,235,302,181,121
"SC",2012,"PWSI",895,682,213,43,170
"SC",2012,"PWSO",621,502,119,74,45
"SC",2012,"SAKPEN",0,0,0,0,0
"SC",2012,"SKMA",134,118,16,4,12
"SC",2012,"SOUTHEAST",134,118,16,4,12
"SC",2012,"SOUTHWEST",0,0,0,0,0
"SE",2012,"SSEI",1982,769,1213,188,1025
"SE",2012,"SSEO",863,618,245,87,158
"SC",2012,"WESTSIDE",630,521,109,74,35
"SC",2012,"WKMA",630,521,109,74,35
"SC",2013,"AFOGNAK",1722,1543,179,64,115
"SC",2013,"ALEUTIAN",0,0,0,0,0
"SC",2013,"BERING",0,0,0,0,0
"SC",2013,"CHIGNIK",43,23,20,0,20
"SC",2013,"CI",564,460,104,51,53
"SE",2013,"CSEO",3645,2144,1501,1053,448
"SC",2013,"EASTSIDE",635,628,7,0,7
"SE",2013,"EWYKT",88,63,25,13,12
"SE",2013,"EYKT",11,0,11,11,0
"SE",2013,"IBS",77,63,14,2,12
"SC",2013,"MAINLAND",0,0,0,0,0
"SC",2013,"NG",1672,1258,414,206,208
"SC",2013,"NORTHEAST",624,609,15,9,6
"SE",2013,"NSEI",940,659,281,101,180
"SE",2013,"NSEO",622,351,271,191,80
"SC",2013,"PWSI",534,456,78,19,59
"SC",2013,"PWSO",604,420,184,89,95
"SC",2013,"SAKPEN",56,0,56,0,56
"SC",2013,"SKMA",201,191,10,7,3
"SC",2013,"SOUTHEAST",201,191,10,7,3
"SC",2013,"SOUTHWEST",0,0,0,0,0
"SE",2013,"SSEI",2044,583,1461,165,1296
"SE",2013,"SSEO",1075,748,327,137,190
"SC",2013,"WESTSIDE",951,870,81,56,25
"SC",2013,"WKMA",951,870,81,56,25
"SC",2014,"AFOGNAK",2290,1973,317,85,232
"SC",2014,"ALEUTIAN",0,0,0,0,0
"SC",2014,"BERING",0,0,0,0,0
"SC",2014,"CHIGNIK",197,197,0,0,0
"SC",2014,"CI",351,287,64,4,60
"SE",2014,"CSEO",2622,1508,1114,737,377
"SC",2014,"EASTSIDE",835,825,10,4,6
"SE",2014,"EWYKT",132,82,50,31,19
"SE",2014,"EYKT",36,29,7,7,0
"SE",2014,"IBS",96,53,43,24,19
"SC",2014,"MAINLAND",0,0,0,0,0
"SC",2014,"NG",1570,1220,350,150,200
"SC",2014,"NORTHEAST",958,899,59,1,58
"SE",2014,"NSEI",1454,1026,428,75,353
"SE",2014,"NSEO",484,294,190,109,81
"SC",2014,"PWSI",714,524,190,27,163
"SC",2014,"PWSO",794,488,306,222,84
"SC",2014,"SAKPEN",0,0,0,0,0
"SC",2014,"SKMA",237,186,51,12,39
"SC",2014,"SOUTHEAST",237,186,51,12,39
"SC",2014,"SOUTHWEST",0,0,0,0,0
"SE",2014,"SSEI",2308,790,1518,184,1334
"SE",2014,"SSEO",1870,1413,457,80,377
"SC",2014,"WESTSIDE",1124,897,227,131,96
"SC",2014,"WKMA",1124,897,227,131,96
"SC",2015,"AFOGNAK",1554,1260,294,81,213
"SC",2015,"ALEUTIAN",0,0,0,0,0
"SC",2015,"BERING",0,0,0,0,0
"SC",2015,"CHIGNIK",64,48,16,0,16
"SC",2015,"CI",609,486,123,15,108
"SE",2015,"CSEO",3178,1623,1555,908,647
"SC",2015,"EASTSIDE",769,758,11,11,0
"SE",2015,"EWYKT",194,120,74,65,9
"SE",2015,"EYKT",12,0,12,8,4
"SE",2015,"IBS",182,120,62,57,5
"SC",2015,"MAINLAND",22,22,0,0,0
"SC",2015,"NG",2088,1742,346,168,178
"SC",2015,"NORTHEAST",836,823,13,0,13
"SE",2015,"NSEI",1252,848,404,73,331
"SE",2015,"NSEO",387,196,191,93,98
"SC",2015,"PWSI",563,464,99,22,77
"SC",2015,"PWSO",736,550,186,127,59
"SC",2015,"SAKPEN",0,0,0,0,0
"SC",2015,"SKMA",31,29,2,1,1
"SC",2015,"SOUTHEAST",31,29,2,1,1
"SC",2015,"SOUTHWEST",0,0,0,0,0
"SE",2015,"SSEI",3002,1053,1949,342,1607
"SE",2015,"SSEO",1521,1112,409,46,363
"SC",2015,"WESTSIDE",947,828,119,56,63
"SC",2015,"WKMA",969,850,119,56,63
"SC",2016,"AFOGNAK",1266,1106,160,82,78
"SC",2016,"ALEUTIAN",0,0,0,0,0
"SC",2016,"BERING",0,0,0,0,0
"SC",2016,"CHIGNIK",31,20,11,0,11
"SC",2016,"CI",441,355,86,25,61
"SE",2016,"CSEO",3587,1652,1935,926,1009
"SC",2016,"EASTSIDE",1006,996,10,1,9
"SE",2016,"EWYKT",568,402,166,93,73
"SE",2016,"EYKT",122,39,83,23,60
"SE",2016,"IBS",446,363,83,70,13
"SC",2016,"MAINLAND",7,3,4,0,4
"SC",2016,"NG",2900,2162,738,339,399
"SC",2016,"NORTHEAST",943,931,12,7,5
"SE",2016,"NSEI",1537,983,554,73,481
"SE",2016,"NSEO",451,146,305,142,163
"SC",2016,"PWSI",901,720,181,81,100
"SC",2016,"PWSO",1017,745,272,188,84
"SC",2016,"SAKPEN",0,0,0,0,0
"SC",2016,"SKMA",470,459,11,11,0
"SC",2016,"SOUTHEAST",442,431,11,11,0
"SC",2016,"SOUTHWEST",28,28,0,0,0
"SE",2016,"SSEI",2634,869,1765,333,1432
"SE",2016,"SSEO",1567,928,639,85,554
"SC",2016,"WESTSIDE",1920,1694,226,180,46
"SC",2016,"WKMA",1927,1697,230,180,50
"SC",2017,"AFOGNAK",1358,1185,173,26,147
"SC",2017,"ALEUTIAN",0,0,0,0,0
"SC",2017,"BERING",0,0,0,0,0
"SC",2017,"CHIGNIK",0,0,0,0,0
"SC",2017,"CI",256,228,28,9,19
"SE",2017,"CSEO",5317,2001,3316,1623,1693
"SC",2017,"EASTSIDE",745,745,0,0,0
"SE",2017,"EWYKT",310,159,151,90,61
"SE",2017,"EYKT",99,42,57,20,37
"SE",2017,"IBS",211,117,94,70,24
"SC",2017,"MAINLAND",0,0,0,0,0
"SC",2017,"NG",1281,859,422,164,258
"SC",2017,"NORTHEAST",461,452,9,8,1
"SE",2017,"NSEI",1943,1191,752,90,662
"SE",2017,"NSEO",643,183,460,206,254
"SC",2017,"PWSI",841,589,252,61,191
"SC",2017,"PWSO",669,398,271,178,93
"SC",2017,"SAKPEN",2,2,0,0,0
"SC",2017,"SKMA",205,203,2,2,0
"SC",2017,"SOUTHEAST",205,203,2,2,0
"SC",2017,"SOUTHWEST",0,0,0,0,0
"SE",2017,"SSEI",5303,1013,4290,442,3848
"SE",2017,"SSEO",1717,710,1007,178,829
"SC",2017,"WESTSIDE",1190,1096,94,48,46
"SC",2017,"WKMA",1190,1096,94,48,46
