"Region","year","RptArea","rfrel","pelagic_rel","nonpel_rel","ye_rel","not_ye_nonpel_rel"
"SE",2020,"SSEO",998,314,684,171,513
"SC",2020,"WESTSIDE",1426,1347,79,52,27
"SC",2020,"WKMA",1426,1347,79,52,27
"SC",2021,"AFOGNAK",1479,1393,86,53,33
"SC",2021,"ALEUTIAN",15,15,0,0,0
"SC",2021,"BERING",0,0,0,0,0
"SC",2021,"CHIGNIK",30,30,0,0,0
"SC",2021,"CI",445,401,44,19,25
"SE",2021,"CSEO",9236,2091,7145,3073,4072
"SC",2021,"EASTSIDE",693,678,15,12,3
"SE",2021,"EWYKT",1454,877,577,149,428
"SE",2021,"EYKT",52,20,32,7,25
"SE",2021,"IBS",1402,857,545,142,403
"SC",2021,"MAINLAND",39,37,2,2,0
"SC",2021,"NG",2146,1540,606,254,352
"SC",2021,"NORTHEAST",921,905,16,13,3
"SE",2021,"NSEI",2631,939,1692,306,1386
"SE",2021,"NSEO",1844,564,1280,559,721
"SC",2021,"PWSI",712,322,390,105,285
"SC",2021,"PWSO",734,360,374,241,133
"SC",2021,"SAKPEN",0,0,0,0,0
"SC",2021,"SKMA",103,96,7,6,1
"SC",2021,"SOUTHEAST",103,96,7,6,1
"SC",2021,"SOUTHWEST",0,0,0,0,0
"SE",2021,"SSEI",7202,2672,4530,599,3931
"SE",2021,"SSEO",1758,550,1208,265,943
"SC",2021,"WESTSIDE",3024,2781,243,143,100
"SC",2021,"WKMA",3063,2818,245,145,100
"SC",2022,"AFOGNAK",588,540,48,39,9
"SC",2022,"ALEUTIAN",5,5,0,0,0
"SC",2022,"CHIGNIK",16,16,0,0,0
"SC",2022,"CI",356,333,23,7,16
"SE",2022,"CSEO",8546,2249,6297,2234,4063
"SC",2022,"EASTSIDE",349,339,10,9,1
"SE",2022,"EWYKT",1444,625,819,218,601
"SE",2022,"EYKT",214,66,148,54,94
"SE",2022,"IBS",1230,559,671,164,507
"SC",2022,"MAINLAND",38,35,3,0,3
"SC",2022,"NG",1639,1163,476,226,250
"SC",2022,"NORTHEAST",594,562,32,14,18
"SE",2022,"NSEI",3759,1234,2525,488,2037
"SE",2022,"NSEO",2833,464,2369,1325,1044
"SC",2022,"PWSI",1367,817,550,170,380
"SC",2022,"PWSO",683,353,330,212,118
"SC",2022,"SAKPEN",4,4,0,0,0
"SC",2022,"SKMA",179,137,42,40,2
"SC",2022,"SOUTHEAST",179,137,42,40,2
"SC",2022,"SOUTHWEST",0,0,0,0,0
"SE",2022,"SSEI",9134,1796,7338,847,6491
"SE",2022,"SSEO",1506,376,1130,284,846
"SC",2022,"WESTSIDE",2590,2123,467,292,175
"SC",2022,"WKMA",2628,2158,470,292,178
