"","Region","year","RptArea","rfharv","pelagic_harv","nonpel_harv","ye_harv","not_ye_nonpel_harv"
"110","SC",2002,"ALEUTIAN",112,100,12,NA,NA
"111","SC",2002,"BERING",1,1,0,0,0
"112","SC",2002,"BSAI",113,101,12,NA,NA
"113","SC",2002,"CHIGNIK",0,0,0,0,0
"114","SC",2002,"CI",2378,2107,271,NA,NA
"115","SE",2002,"CSEO",14004,5206,8798,NA,NA
"116","SC",2002,"EASTSIDE",319,269,50,NA,NA
"117","SE",2002,"EWYKT",893,791,102,NA,NA
"118","SE",2002,"EYKT",9,9,0,NA,NA
"119","SE",2002,"IBS",884,782,102,NA,NA
"120","SC",2002,"MAINLAND",15,15,0,0,0
"121","SC",2002,"NG",17318,15088,2230,NA,NA
"122","SC",2002,"NORTHEAST",2262,2052,210,NA,NA
"123","SE",2002,"NSEI",4958,3120,1838,NA,NA
"124","SE",2002,"NSEO",2029,687,1342,NA,NA
"125","SC",2002,"PWSI",7398,4880,2518,NA,NA
"126","SC",2002,"PWSO",9018,6632,2386,NA,NA
"127","SC",2002,"SAKPEN",105,105,0,0,0
"128","SC",2002,"SKMA",99,88,11,NA,NA
"129","SC",2002,"SOKO2SAP",204,193,11,NA,NA
"130","SC",2002,"SOUTHEAST",98,87,11,NA,NA
"131","SC",2002,"SOUTHWEST",1,1,0,0,0
"132","SE",2002,"SSEI",8033,3969,4064,NA,NA
"133","SE",2002,"SSEO",7617,3492,4125,NA,NA
"134","SC",2002,"WESTSIDE",865,796,69,NA,NA
"135","SC",2002,"WKMA",880,811,69,NA,NA
"136","SC",2003,"AFOGNAK",567,484,83,NA,NA
"137","SC",2003,"ALEUTIAN",178,178,0,0,0
"138","SC",2003,"BERING",0,0,0,0,0
"139","SC",2003,"BSAI",178,178,0,0,0
"140","SC",2003,"CHIGNIK",0,0,0,0,0
"141","SC",2003,"CI",4623,4247,376,NA,NA
"142","SE",2003,"CSEO",15272,6711,8561,NA,NA
"143","SC",2003,"EASTSIDE",1012,964,48,NA,NA
"144","SE",2003,"EWYKT",1627,1184,443,NA,NA
"145","SE",2003,"EYKT",169,84,85,NA,NA
"146","SE",2003,"IBS",1458,1100,358,NA,NA
"147","SC",2003,"MAINLAND",11,11,0,0,0
"148","SC",2003,"NG",17020,13573,3447,NA,NA
"149","SC",2003,"NORTHEAST",2743,2477,266,NA,NA
"150","SE",2003,"NSEI",6069,3551,2518,NA,NA
"151","SE",2003,"NSEO",3083,1424,1659,NA,NA
"152","SC",2003,"PWSI",11932,8745,3187,NA,NA
"153","SC",2003,"PWSO",9696,7248,2448,NA,NA
"154","SC",2003,"SAKPEN",0,0,0,0,0
"155","SC",2003,"SKMA",144,104,40,NA,NA
"156","SC",2003,"SOKO2SAP",144,104,40,NA,NA
"157","SC",2003,"SOUTHEAST",138,98,40,NA,NA
"158","SC",2003,"SOUTHWEST",6,6,0,0,0
"159","SE",2003,"SSEI",11263,5648,5615,NA,NA
"160","SE",2003,"SSEO",6896,2806,4090,NA,NA
"161","SC",2003,"WESTSIDE",1096,947,149,NA,NA
"162","SC",2003,"WKMA",1107,958,149,NA,NA
"163","SC",2004,"AFOGNAK",468,338,130,NA,NA
"164","SC",2004,"ALEUTIAN",51,40,11,NA,NA
"165","SC",2004,"BERING",0,0,0,0,0
"166","SC",2004,"BSAI",51,40,11,NA,NA
"167","SC",2004,"CHIGNIK",29,23,6,NA,NA
"168","SC",2004,"CI",4736,4470,266,NA,NA
"169","SE",2004,"CSEO",21796,9789,12007,NA,NA
"170","SC",2004,"EASTSIDE",730,672,58,NA,NA
"171","SE",2004,"EWYKT",1501,1123,378,NA,NA
"172","SE",2004,"EYKT",66,27,39,NA,NA
"173","SE",2004,"IBS",1435,1096,339,NA,NA
"174","SC",2004,"MAINLAND",8,5,3,NA,NA
"175","SC",2004,"NG",19434,15959,3475,NA,NA
"176","SC",2004,"NORTHEAST",3291,3068,223,NA,NA
"177","SE",2004,"NSEI",6052,3328,2724,NA,NA
"178","SE",2004,"NSEO",2923,999,1924,NA,NA
"179","SC",2004,"PWSI",10310,7438,2872,NA,NA
"180","SC",2004,"PWSO",12216,9240,2976,NA,NA
"181","SC",2004,"SAKPEN",0,0,0,0,0
"182","SC",2004,"SKMA",200,159,41,NA,NA
"183","SC",2004,"SOKO2SAP",229,182,47,NA,NA
"184","SC",2004,"SOUTHEAST",197,157,40,NA,NA
"185","SC",2004,"SOUTHWEST",3,2,1,NA,NA
"186","SE",2004,"SSEI",13195,5266,7929,NA,NA
"187","SE",2004,"SSEO",10061,4143,5918,NA,NA
"188","SC",2004,"WESTSIDE",802,711,91,NA,NA
"189","SC",2004,"WKMA",810,716,94,NA,NA
"190","SC",2005,"AFOGNAK",1385,1179,206,NA,NA
"191","SC",2005,"ALEUTIAN",34,32,2,NA,NA
"192","SC",2005,"BERING",0,0,0,0,0
"193","SC",2005,"BSAI",34,32,2,NA,NA
"194","SC",2005,"CHIGNIK",61,61,0,NA,NA
"195","SC",2005,"CI",3615,3460,155,NA,NA
"196","SE",2005,"CSEO",27304,12886,14418,NA,NA
"197","SC",2005,"EASTSIDE",1242,1074,168,NA,NA
"198","SE",2005,"EWYKT",1676,1392,284,NA,NA
"199","SE",2005,"EYKT",47,6,41,NA,NA
"200","SE",2005,"IBS",1629,1386,243,NA,NA
"201","SC",2005,"MAINLAND",31,31,0,0,0
"202","SC",2005,"NG",22792,18621,4171,NA,NA
"203","SC",2005,"NORTHEAST",4641,4325,316,NA,NA
"204","SE",2005,"NSEI",7678,4465,3213,NA,NA
"205","SE",2005,"NSEO",2796,1188,1608,NA,NA
"206","SC",2005,"PWSI",10930,8176,2754,NA,NA
"207","SC",2005,"PWSO",9664,7477,2177,NA,NA
"208","SC",2005,"SAKPEN",14,2,12,NA,NA
"209","SC",2005,"SKMA",287,128,159,NA,NA
"210","SC",2005,"SOKO2SAP",362,191,171,NA,NA
"211","SC",2005,"SOUTHEAST",287,128,159,NA,NA
"212","SC",2005,"SOUTHWEST",0,0,0,0,0
"213","SE",2005,"SSEI",15329,5745,9584,NA,NA
"214","SE",2005,"SSEO",12666,5423,7243,NA,NA
"215","SC",2005,"WESTSIDE",1235,1102,133,NA,NA
"216","SC",2005,"WKMA",1266,1133,133,NA,NA
"217","SC",2006,"AFOGNAK",925,766,159,133,26
"218","SC",2006,"ALEUTIAN",8,3,5,5,0
"219","SC",2006,"BERING",0,0,0,0,0
"220","SC",2006,"BSAI",8,3,5,5,0
"221","SC",2006,"CHIGNIK",68,66,2,0,2
"222","SC",2006,"CI",2463,2250,213,98,115
"223","SE",2006,"CSEO",33748,20139,13609,9779,3830
"224","SC",2006,"EASTSIDE",1516,1356,160,122,38
"225","SE",2006,"EWYKT",2529,2089,440,167,273
"226","SE",2006,"EYKT",272,182,90,42,48
"227","SE",2006,"IBS",2257,1907,350,125,225
"228","SC",2006,"MAINLAND",15,15,0,0,0
"229","SC",2006,"NG",19998,15867,4131,2876,1255
"230","SC",2006,"NORTHEAST",3693,3519,174,96,78
"231","SE",2006,"NSEI",6437,3476,2961,1422,1539
"232","SE",2006,"NSEO",3058,1407,1651,931,720
"233","SC",2006,"PWSI",7578,4593,2985,1907,1078
"234","SC",2006,"PWSO",9129,6195,2934,2437,497
"235","SC",2006,"SAKPEN",16,7,9,9,0
"236","SC",2006,"SKMA",303,191,112,69,43
"237","SC",2006,"SOKO2SAP",387,264,123,78,45
"238","SC",2006,"SOUTHEAST",303,191,112,69,43
"239","SC",2006,"SOUTHWEST",0,0,0,0,0
"240","SE",2006,"SSEI",17714,6326,11388,4211,7177
"241","SE",2006,"SSEO",12007,4774,7233,4257,2976
"242","SC",2006,"WESTSIDE",722,567,155,118,37
"243","SC",2006,"WKMA",737,582,155,118,37
"244","SC",2007,"AFOGNAK",2488,2184,304,217,87
"245","SC",2007,"ALEUTIAN",27,16,11,7,4
"246","SC",2007,"BERING",0,0,0,0,0
"247","SC",2007,"BSAI",27,16,11,7,4
"248","SC",2007,"CHIGNIK",154,154,0,0,0
"249","SC",2007,"CI",2559,2365,194,94,100
"250","SE",2007,"CSEO",38443,24055,14388,9950,4438
"251","SC",2007,"EASTSIDE",3481,3310,171,108,63
"252","SE",2007,"EWYKT",2290,1956,334,108,226
"253","SE",2007,"EYKT",242,146,96,51,45
"254","SE",2007,"IBS",2048,1810,238,57,181
"255","SC",2007,"MAINLAND",31,15,16,16,0
"256","SC",2007,"NG",23861,19743,4118,2978,1140
"257","SC",2007,"NORTHEAST",5080,4652,428,156,272
"258","SE",2007,"NSEI",7499,4164,3335,1191,2144
"259","SE",2007,"NSEO",4266,2518,1748,1014,734
"260","SC",2007,"PWSI",12404,9289,3115,1944,1171
"261","SC",2007,"PWSO",12198,8339,3859,3287,572
"262","SC",2007,"SAKPEN",0,0,0,0,0
"263","SC",2007,"SKMA",1148,969,179,157,22
"264","SC",2007,"SOKO2SAP",1302,1123,179,157,22
"265","SC",2007,"SOUTHEAST",1148,969,179,157,22
"266","SC",2007,"SOUTHWEST",0,0,0,0,0
"267","SE",2007,"SSEI",20368,8353,12015,3637,8378
"268","SE",2007,"SSEO",12018,5924,6094,3554,2540
"269","SC",2007,"WESTSIDE",1614,1293,321,226,95
"270","SC",2007,"WKMA",1645,1308,337,242,95
"271","SC",2008,"AFOGNAK",2670,2069,601,509,92
"272","SC",2008,"ALEUTIAN",25,17,8,8,0
"273","SC",2008,"BERING",0,0,0,0,0
"274","SC",2008,"BSAI",25,17,8,8,0
"275","SC",2008,"CHIGNIK",113,113,0,0,0
"276","SC",2008,"CI",2163,2006,157,96,61
"277","SE",2008,"CSEO",52901,37625,15276,8863,6413
"278","SC",2008,"EASTSIDE",2311,2098,213,140,73
"279","SE",2008,"EWYKT",2857,2456,401,161,240
"280","SE",2008,"EYKT",309,177,132,56,76
"281","SE",2008,"IBS",2548,2279,269,105,164
"282","SC",2008,"MAINLAND",10,1,9,7,2
"283","SC",2008,"NG",25596,20867,4729,3376,1353
"284","SC",2008,"NORTHEAST",6260,5853,407,268,139
"285","SE",2008,"NSEI",10923,6828,4095,1308,2787
"286","SE",2008,"NSEO",5010,3047,1963,1009,954
"287","SC",2008,"PWSI",9522,6899,2623,1495,1128
"288","SC",2008,"PWSO",13387,9818,3569,2906,663
"289","SC",2008,"SAKPEN",0,0,0,0,0
"290","SC",2008,"SKMA",1130,1042,88,59,29
"291","SC",2008,"SOKO2SAP",1243,1155,88,59,29
"292","SC",2008,"SOUTHEAST",1130,1042,88,59,29
"293","SC",2008,"SOUTHWEST",0,0,0,0,0
"294","SE",2008,"SSEI",18756,8206,10550,3569,6981
"295","SE",2008,"SSEO",17754,10801,6953,3418,3535
"296","SC",2008,"WESTSIDE",1186,899,287,204,83
"297","SC",2008,"WKMA",1196,900,296,211,85
"298","SC",2009,"AFOGNAK",3763,3206,557,466,91
"299","SC",2009,"ALEUTIAN",0,0,0,0,0
"300","SC",2009,"BERING",0,0,0,0,0
"301","SC",2009,"BSAI",0,0,0,0,0
"302","SC",2009,"CHIGNIK",4,4,0,0,0
"303","SC",2009,"CI",2918,2662,256,142,114
"304","SE",2009,"CSEO",31717,22290,9427,6423,3004
"305","SC",2009,"EASTSIDE",2296,2247,49,30,19
"306","SE",2009,"EWYKT",2494,2193,301,79,222
"307","SE",2009,"EYKT",476,377,99,39,60
"308","SE",2009,"IBS",2018,1816,202,40,162
"309","SC",2009,"MAINLAND",3,1,2,2,0
"310","SC",2009,"NG",21909,18588,3321,2548,773
"311","SC",2009,"NORTHEAST",6369,6087,282,190,92
"312","SE",2009,"NSEI",9325,5994,3331,955,2376
"313","SE",2009,"NSEO",2818,1954,864,580,284
"314","SC",2009,"PWSI",8197,5973,2224,1306,918
"315","SC",2009,"PWSO",13724,10348,3376,2889,487
"316","SC",2009,"SAKPEN",38,22,16,0,16
"317","SC",2009,"SKMA",810,721,89,76,13
