"","Region","year","RptArea","rfharv","pelagic_harv","nonpel_harv","ye_harv","not_ye_nonpel_harv"
"486","SC",2015,"WKMA",2031,1664,367,285,82
"487","SC",2016,"AFOGNAK",5287,4527,760,544,216
"488","SC",2016,"ALEUTIAN",1,0,1,1,0
"489","SC",2016,"BERING",0,0,0,0,0
"490","SC",2016,"BSAI",1,0,1,1,0
"491","SC",2016,"CHIGNIK",7,0,7,0,7
"492","SC",2016,"CI",10123,9344,779,185,594
"493","SE",2016,"CSEO",54908,42288,12620,5433,7187
"494","SC",2016,"EASTSIDE",3561,3392,169,99,70
"495","SE",2016,"EWYKT",7499,6237,1262,314,948
"496","SE",2016,"EYKT",1761,1385,376,123,253
"497","SE",2016,"IBS",5738,4852,886,191,695
"498","SC",2016,"MAINLAND",1,0,1,0,1
"499","SC",2016,"NG",56991,49153,7838,4064,3774
"500","SC",2016,"NORTHEAST",13580,12861,719,425,294
"501","SE",2016,"NSEI",25877,16646,9231,1642,7589
"502","SE",2016,"NSEO",5839,4347,1492,698,794
"503","SC",2016,"PWSI",28893,22198,6695,2486,4209
"504","SC",2016,"PWSO",29349,21660,7689,5233,2456
"505","SC",2016,"SAKPEN",0,0,0,0,0
"506","SC",2016,"SKMA",804,713,91,88,3
"507","SC",2016,"SOKO2SAP",811,713,98,88,10
"508","SC",2016,"SOUTHEAST",774,684,90,87,3
"509","SC",2016,"SOUTHWEST",30,29,1,1,0
"510","SE",2016,"SSEI",32540,13373,19167,4529,14638
"511","SE",2016,"SSEO",17707,13558,4149,1399,2750
"512","SC",2016,"WESTSIDE",3336,2644,692,588,104
"513","SC",2016,"WKMA",3337,2644,693,588,105
"514","SC",2017,"AFOGNAK",4756,4217,539,416,123
"515","SC",2017,"ALEUTIAN",1,0,1,0,1
"516","SC",2017,"BERING",6,6,0,0,0
"517","SC",2017,"BSAI",7,6,1,0,1
"518","SC",2017,"CHIGNIK",0,0,0,0,0
"519","SC",2017,"CI",8376,7453,923,391,532
"520","SE",2017,"CSEO",57388,46059,11329,4871,6458
"521","SC",2017,"EASTSIDE",3933,3877,56,37,19
"522","SE",2017,"EWYKT",6324,5527,797,230,567
"523","SE",2017,"EYKT",2287,2009,278,105,173
"524","SE",2017,"IBS",4037,3518,519,125,394
"525","SC",2017,"MAINLAND",2,1,1,1,0
"526","SC",2017,"NG",38626,32335,6291,3405,2886
"527","SC",2017,"NORTHEAST",6719,6478,241,176,65
"528","SE",2017,"NSEI",24305,19203,5102,1254,3848
"529","SE",2017,"NSEO",9211,7495,1716,756,960
"530","SC",2017,"PWSI",16300,11566,4734,1833,2901
"531","SC",2017,"PWSO",28647,20918,7729,5242,2487
"532","SC",2017,"SAKPEN",61,61,0,0,0
"533","SC",2017,"SKMA",666,607,59,51,8
"534","SC",2017,"SOKO2SAP",727,668,59,51,8
"535","SC",2017,"SOUTHEAST",666,607,59,51,8
"536","SC",2017,"SOUTHWEST",0,0,0,0,0
"537","SE",2017,"SSEI",30249,16481,13768,3574,10194
"538","SE",2017,"SSEO",20760,16390,4370,1924,2446
"539","SC",2017,"WESTSIDE",2897,2300,597,492,105
"540","SC",2017,"WKMA",2899,2301,598,493,105
"541","SC",2018,"AFOGNAK",5694,5092,602,449,153
"542","SC",2018,"ALEUTIAN",92,90,2,0,2
"543","SC",2018,"BERING",13,11,2,1,1
"544","SC",2018,"BSAI",105,101,4,1,3
"545","SC",2018,"CHIGNIK",10,10,0,0,0
"546","SC",2018,"CI",13009,11978,1031,376,655
"547","SE",2018,"CSEO",55460,44943,10517,4329,6188
"548","SC",2018,"EASTSIDE",3914,3690,224,102,122
"549","SE",2018,"EWYKT",8659,7682,977,286,691
"550","SE",2018,"EYKT",2998,2663,335,134,201
"551","SE",2018,"IBS",5661,5019,642,152,490
"552","SC",2018,"MAINLAND",3,3,0,0,0
"553","SC",2018,"NG",50115,41846,8269,4260,4009
"554","SC",2018,"NORTHEAST",8479,8163,316,209,107
"555","SE",2018,"NSEI",34673,28268,6405,1370,5035
"556","SE",2018,"NSEO",11024,9189,1835,858,977
"557","SC",2018,"PWSI",12107,8741,3366,1314,2052
"558","SC",2018,"PWSO",27142,21809,5333,3304,2029
"559","SC",2018,"SAKPEN",100,65,35,34,1
"560","SC",2018,"SKMA",671,599,72,71,1
"561","SC",2018,"SOKO2SAP",781,674,107,105,2
"562","SC",2018,"SOUTHEAST",652,580,72,71,1
"563","SC",2018,"SOUTHWEST",19,19,0,0,0
"564","SE",2018,"SSEI",42049,25419,16630,3678,12952
"565","SE",2018,"SSEO",26949,22414,4535,1795,2740
"566","SC",2018,"WESTSIDE",4288,3580,708,540,168
"567","SC",2018,"WKMA",4291,3583,708,540,168
"568","SC",2019,"AFOGNAK",6782,5762,1020,719,301
"569","SC",2019,"ALEUTIAN",91,91,0,0,0
"570","SC",2019,"BERING",0,0,0,0,0
"571","SC",2019,"BSAI",91,91,0,0,0
"572","SC",2019,"CHIGNIK",8,6,0,2,0
"573","SC",2019,"CI",16061,15076,985,445,540
"574","SE",2019,"CSEO",59842,51062,8780,3968,4812
"575","SC",2019,"EASTSIDE",5680,5564,116,110,6
"576","SE",2019,"EWYKT",7908,7169,739,154,585
"577","SE",2019,"EYKT",1469,1376,93,23,70
"578","SE",2019,"IBS",6439,5793,646,131,515
"579","SC",2019,"MAINLAND",0,0,0,0,0
"580","SC",2019,"NG",64565,55039,9526,5735,3791
"581","SC",2019,"NORTHEAST",9881,9446,435,277,158
"582","SE",2019,"NSEI",36293,30096,6197,1413,4784
"583","SE",2019,"NSEO",11553,9925,1628,769,859
"584","SC",2019,"PWSI",15083,11420,3663,1633,2030
"585","SC",2019,"PWSO",33682,26059,7623,5092,2531
"586","SC",2019,"SAKPEN",38,34,4,4,0
"587","SC",2019,"SKMA",716,588,128,120,8
"588","SC",2019,"SOKO2SAP",762,628,132,126,8
"589","SC",2019,"SOUTHEAST",700,576,124,117,7
"590","SC",2019,"SOUTHWEST",16,12,4,3,1
"591","SE",2019,"SSEI",35867,21016,14851,3091,11760
"592","SE",2019,"SSEO",22912,19342,3570,1727,1843
"593","SC",2019,"WESTSIDE",6954,5644,1310,1037,273
"594","SC",2019,"WKMA",6954,5644,1310,1037,273
"595","SC",2020,"AFOGNAK",5835,5004,831,605,226
"596","SC",2020,"ALEUTIAN",16,14,2,0,2
"597","SC",2020,"BERING",0,0,0,0,0
"598","SC",2020,"BSAI",16,14,2,0,2
"599","SC",2020,"CHIGNIK",15,14,1,1,0
"600","SC",2020,"CI",9784,9134,650,250,400
"601","SE",2020,"CSEO",24728,23904,824,9,815
"602","SC",2020,"EASTSIDE",1507,1436,71,46,25
"603","SE",2020,"EWYKT",4059,3983,76,0,76
"604","SE",2020,"EYKT",924,851,73,0,73
"605","SE",2020,"IBS",3135,3132,3,0,3
"606","SC",2020,"MAINLAND",2,0,2,2,0
"607","SC",2020,"NG",43363,37152,6211,3649,2562
"608","SC",2020,"NORTHEAST",4479,4183,296,227,69
"609","SE",2020,"NSEI",17585,17302,283,21,262
"610","SE",2020,"NSEO",3314,3142,172,3,169
"611","SC",2020,"PWSI",9001,6714,2287,925,1362
"612","SC",2020,"PWSO",29279,23828,5450,3259,2191
"613","SC",2020,"SAKPEN",0,0,0,0,0
"614","SC",2020,"SKMA",302,255,47,46,1
"615","SC",2020,"SOKO2SAP",317,269,48,47,1
"616","SC",2020,"SOUTHEAST",290,243,47,46,1
"617","SC",2020,"SOUTHWEST",12,12,0,0,0
"618","SE",2020,"SSEI",11107,10782,325,8,317
"619","SE",2020,"SSEO",12619,12449,170,1,169
"620","SC",2020,"WESTSIDE",4033,3456,577,453,124
"621","SC",2020,"WKMA",4035,3456,579,455,124
"622","SC",2021,"AFOGNAK",9007,7930,1077,817,260
"623","SC",2021,"ALEUTIAN",98,63,35,0,35
"624","SC",2021,"BERING",0,0,0,0,0
"625","SC",2021,"BSAI",98,63,35,0,35
"626","SC",2021,"CHIGNIK",13,13,0,0,0
"627","SC",2021,"CI",14326,13225,1101,396,705
"628","SE",2021,"CSEO",56521,53700,2821,10,2811
"629","SC",2021,"EASTSIDE",2885,2698,187,165,22
"630","SE",2021,"EWYKT",7343,7225,118,0,118
"631","SE",2021,"EYKT",827,770,57,0,57
"632","SE",2021,"IBS",6516,6455,61,0,61
"633","SC",2021,"MAINLAND",119,102,17,17,0
"634","SC",2021,"NG",83097,73272,9825,5467,4358
"635","SC",2021,"NORTHEAST",9680,8979,701,421,280
"636","SE",2021,"NSEI",33151,31211,1940,4,1936
"637","SE",2021,"NSEO",9732,9094,638,0,638
"638","SC",2021,"PWSI",16848,13201,3647,1380,2267
"639","SC",2021,"PWSO",38638,32675,5963,3753,2210
"640","SC",2021,"SAKPEN",0,0,0,0,0
"641","SC",2021,"SKMA",1622,1428,194,162,32
"642","SC",2021,"SOKO2SAP",1635,1441,194,162,32
"643","SC",2021,"SOUTHEAST",1622,1428,194,162,32
"644","SC",2021,"SOUTHWEST",0,0,0,0,0
"645","SE",2021,"SSEI",28388,27134,1254,6,1248
"646","SE",2021,"SSEO",29399,29038,361,1,360
"647","SC",2021,"WESTSIDE",7805,6791,1014,737,277
"648","SC",2021,"WKMA",7924,6893,1031,754,277
"649","SC",2022,"AFOGNAK",9245,8314,931,672,259
"650","SC",2022,"ALEUTIAN",12,12,0,0,0
"651","SC",2022,"CHIGNIK",0,0,0,0,0
"652","SC",2022,"CI",13588,12464,1124,314,810
"653","SE",2022,"CSEO",67729,64331,3398,32,3366
"654","SC",2022,"EASTSIDE",1830,1703,127,99,28
"655","SC",2022,"EWYKT",6780,6589,191,5,186
"656","SE",2022,"EYKT",1169,1069,100,0,100
"657","SE",2022,"IBS",5611,5520,91,5,86
"658","SC",2022,"MAINLAND",164,135,29,27,2
"659","SC",2022,"NG",86557,76808,9749,4808,4941
"660","SC",2022,"NORTHEAST",10988,10366,623,362,261
"661","SE",2022,"NSEI",34168,31320,2848,3,2845
"662","SE",2022,"NSEO",10558,9674,884,0,884
"663","SC",2022,"PWSI",21689,17943,3746,1380,2366
"664","SC",2022,"PWSO",36677,31685,4992,2914,2078
"665","SC",2022,"SAKPEN",16,16,0,0,0
"666","SC",2022,"SOUTHEAST",1321,1112,209,190,19
"667","SE",2022,"SSEI",33837,29854,3983,34,3949
"668","SE",2022,"SSEO",38456,37538,918,1,917
"669","SC",2022,"WESTSIDE",10983,9590,1393,1044,349
