"Region","year","RptArea","rfharv","pelagic_harv","nonpel_harv","ye_harv","not_ye_nonpel_harv"
"SC",2017,"EASTSIDE",3933,3877,56,37,19
"SE",2017,"EWYKT",6324,5527,797,230,567
"SE",2017,"EYKT",2287,2009,278,105,173
"SE",2017,"IBS",4037,3518,519,125,394
"SC",2017,"MAINLAND",2,1,1,1,0
"SC",2017,"NG",38626,32335,6291,3405,2886
"SC",2017,"NORTHEAST",6719,6478,241,176,65
"SE",2017,"NSEI",24305,19203,5102,1254,3848
"SE",2017,"NSEO",9211,7495,1716,756,960
"SC",2017,"PWSI",16300,11566,4734,1833,2901
"SC",2017,"PWSO",28647,20918,7729,5242,2487
"SC",2017,"SAKPEN",61,61,0,0,0
"SC",2017,"SKMA",666,607,59,51,8
"SC",2017,"SOKO2SAP",727,668,59,51,8
"SC",2017,"SOUTHEAST",666,607,59,51,8
"SC",2017,"SOUTHWEST",0,0,0,0,0
"SE",2017,"SSEI",30249,16481,13768,3574,10194
"SE",2017,"SSEO",20760,16390,4370,1924,2446
"SC",2017,"WESTSIDE",2897,2300,597,492,105
"SC",2017,"WKMA",2899,2301,598,493,105
"SC",2018,"AFOGNAK",5694,5092,602,449,153
"SC",2018,"ALEUTIAN",92,90,2,0,2
"SC",2018,"BERING",13,11,2,1,1
"SC",2018,"BSAI",105,101,4,1,3
"SC",2018,"CHIGNIK",10,10,0,0,0
"SC",2018,"CI",13009,11978,1031,376,655
"SE",2018,"CSEO",55460,44943,10517,4329,6188
"SC",2018,"EASTSIDE",3914,3690,224,102,122
"SE",2018,"EWYKT",8659,7682,977,286,691
"SE",2018,"EYKT",2998,2663,335,134,201
"SE",2018,"IBS",5661,5019,642,152,490
"SC",2018,"MAINLAND",3,3,0,0,0
"SC",2018,"NG",50115,41846,8269,4260,4009
"SC",2018,"NORTHEAST",8479,8163,316,209,107
"SE",2018,"NSEI",34673,28268,6405,1370,5035
"SE",2018,"NSEO",11024,9189,1835,858,977
"SC",2018,"PWSI",12107,8741,3366,1314,2052
"SC",2018,"PWSO",27142,21809,5333,3304,2029
"SC",2018,"SAKPEN",100,65,35,34,1
"SC",2018,"SKMA",671,599,72,71,1
"SC",2018,"SOKO2SAP",781,674,107,105,2
"SC",2018,"SOUTHEAST",652,580,72,71,1
"SC",2018,"SOUTHWEST",19,19,0,0,0
"SE",2018,"SSEI",42049,25419,16630,3678,12952
"SE",2018,"SSEO",26949,22414,4535,1795,2740
"SC",2018,"WESTSIDE",4288,3580,708,540,168
"SC",2018,"WKMA",4291,3583,708,540,168
"SC",2019,"AFOGNAK",6782,5762,1020,719,301
"SC",2019,"ALEUTIAN",91,91,0,0,0
"SC",2019,"BERING",0,0,0,0,0
"SC",2019,"BSAI",91,91,0,0,0
"SC",2019,"CHIGNIK",8,6,0,2,0
"SC",2019,"CI",16061,15076,985,445,540
"SE",2019,"CSEO",59842,51062,8780,3968,4812
"SC",2019,"EASTSIDE",5680,5564,116,110,6
"SE",2019,"EWYKT",7908,7169,739,154,585
"SE",2019,"EYKT",1469,1376,93,23,70
"SE",2019,"IBS",6439,5793,646,131,515
"SC",2019,"MAINLAND",0,0,0,0,0
"SC",2019,"NG",64565,55039,9526,5735,3791
"SC",2019,"NORTHEAST",9881,9446,435,277,158
"SE",2019,"NSEI",36293,30096,6197,1413,4784
"SE",2019,"NSEO",11553,9925,1628,769,859
"SC",2019,"PWSI",15083,11420,3663,1633,2030
"SC",2019,"PWSO",33682,26059,7623,5092,2531
"SC",2019,"SAKPEN",38,34,4,4,0
"SC",2019,"SKMA",716,588,128,120,8
"SC",2019,"SOKO2SAP",762,628,132,126,8
"SC",2019,"SOUTHEAST",700,576,124,117,7
"SC",2019,"SOUTHWEST",16,12,4,3,1
"SE",2019,"SSEI",35867,21016,14851,3091,11760
"SE",2019,"SSEO",22912,19342,3570,1727,1843
"SC",2019,"WESTSIDE",6954,5644,1310,1037,273
"SC",2019,"WKMA",6954,5644,1310,1037,273
"SC",2020,"AFOGNAK",5835,5004,831,605,226
"SC",2020,"ALEUTIAN",16,14,2,0,2
"SC",2020,"BERING",0,0,0,0,0
"SC",2020,"BSAI",16,14,2,0,2
"SC",2020,"CHIGNIK",15,14,1,1,0
"SC",2020,"CI",9784,9134,650,250,400
"SE",2020,"CSEO",24728,23904,824,9,815
"SC",2020,"EASTSIDE",1507,1436,71,46,25
"SE",2020,"EWYKT",4059,3983,76,0,76
"SE",2020,"EYKT",924,851,73,0,73
"SE",2020,"IBS",3135,3132,3,0,3
"SC",2020,"MAINLAND",2,0,2,2,0
"SC",2020,"NG",43363,37152,6211,3649,2562
"SC",2020,"NORTHEAST",4479,4183,296,227,69
"SE",2020,"NSEI",17585,17302,283,21,262
"SE",2020,"NSEO",3314,3142,172,3,169
"SC",2020,"PWSI",9001,6714,2287,925,1362
"SC",2020,"PWSO",29279,23828,5450,3259,2191
"SC",2020,"SAKPEN",0,0,0,0,0
"SC",2020,"SKMA",302,255,47,46,1
"SC",2020,"SOKO2SAP",317,269,48,47,1
"SC",2020,"SOUTHEAST",290,243,47,46,1
"SC",2020,"SOUTHWEST",12,12,0,0,0
"SE",2020,"SSEI",11107,10782,325,8,317
"SE",2020,"SSEO",12619,12449,170,1,169
"SC",2020,"WESTSIDE",4033,3456,577,453,124
"SC",2020,"WKMA",4035,3456,579,455,124
"SC",2021,"AFOGNAK",9007,7930,1077,817,260
"SC",2021,"ALEUTIAN",98,63,35,0,35
"SC",2021,"BERING",0,0,0,0,0
"SC",2021,"BSAI",98,63,35,0,35
"SC",2021,"CHIGNIK",13,13,0,0,0
"SC",2021,"CI",14326,13225,1101,396,705
"SE",2021,"CSEO",56521,53700,2821,10,2811
"SC",2021,"EASTSIDE",2885,2698,187,165,22
"SE",2021,"EWYKT",7343,7225,118,0,118
"SE",2021,"EYKT",827,770,57,0,57
"SE",2021,"IBS",6516,6455,61,0,61
"SC",2021,"MAINLAND",119,102,17,17,0
"SC",2021,"NG",83097,73272,9825,5467,4358
"SC",2021,"NORTHEAST",9680,8979,701,421,280
"SE",2021,"NSEI",33151,31211,1940,4,1936
"SE",2021,"NSEO",9732,9094,638,0,638
"SC",2021,"PWSI",16848,13201,3647,1380,2267
"SC",2021,"PWSO",38638,32675,5963,3753,2210
"SC",2021,"SAKPEN",0,0,0,0,0
"SC",2021,"SKMA",1622,1428,194,162,32
"SC",2021,"SOKO2SAP",1635,1441,194,162,32
"SC",2021,"SOUTHEAST",1622,1428,194,162,32
"SC",2021,"SOUTHWEST",0,0,0,0,0
"SE",2021,"SSEI",28388,27134,1254,6,1248
"SE",2021,"SSEO",29399,29038,361,1,360
"SC",2021,"WESTSIDE",7805,6791,1014,737,277
"SC",2021,"WKMA",7924,6893,1031,754,277
"SC",2022,"AFOGNAK",9245,8314,931,672,259
"SC",2022,"ALEUTIAN",12,12,0,0,0
"SC",2022,"CHIGNIK",0,0,0,0,0
"SC",2022,"CI",13588,12464,1124,314,810
"SE",2022,"CSEO",67729,64331,3398,32,3366
"SC",2022,"EASTSIDE",1830,1703,127,99,28
"SE",2022,"EWYKT",6780,6589,191,5,186
"SE",2022,"EYKT",1169,1069,100,0,100
"SE",2022,"IBS",5611,5520,91,5,86
"SC",2022,"MAINLAND",164,135,29,27,2
"SC",2022,"NG",86557,76808,9749,4808,4941
"SC",2022,"NORTHEAST",10988,10366,623,362,261
"SE",2022,"NSEI",34168,31320,2848,3,2845
"SE",2022,"NSEO",10558,9674,884,0,884
"SC",2022,"PWSI",21689,17943,3746,1380,2366
"SC",2022,"PWSO",36677,31685,4992,2914,2078
"SC",2022,"SAKPEN",16,16,0,0,0
"SC",2022,"SKMA",1321,1112,209,190,19
"SC",2022,"SOUTHEAST",1321,1112,209,190,19
"SC",2022,"SOUTHWEST",0,0,0,0,0
"SE",2022,"SSEI",33837,29854,3983,34,3949
"SE",2022,"SSEO",38456,37538,918,1,917
"SC",2022,"WESTSIDE",10983,9590,1393,1044,349
"SC",2022,"WKMA",11147,9725,1422,1071,351
"SC",2023,"AFOGNAK",11425,10252,1172,800,372
"SC",2023,"ALEUTIAN",74,0,74,38,36
"SC",2023,"CHIGNIK",0,0,0,0,0
"SC",2023,"CI",11260,9879,1380,438,942
"SE",2023,"CSEO",51033,48472,2561,3,2558
"SC",2023,"EASTSIDE",2230,2147,83,74,9
"SE",2023,"EWYKT",6906,6785,121,1,120
"SE",2023,"EYKT",1546,1483,63,0,63
"SE",2023,"IBS",5360,5302,58,1,57
"SC",2023,"MAINLAND",222,177,45,24,21
"SC",2023,"NG",64944,56421,8524,4509,4015
"SC",2023,"NORTHEAST",10167,9726,441,255,186
"SE",2023,"NSEI",31783,29468,2315,0,2315
"SE",2023,"NSEO",14337,13719,618,5,613
"SC",2023,"PWSI",17019,13806,3213,839,2374
"SC",2023,"PWSO",25617,21740,3877,2160,1717
"SC",2023,"SKMA",1383,1251,132,122,10
"SC",2023,"SOUTHEAST",1383,1251,132,122,10
"SC",2023,"SOUTHWEST",0,0,0,0,0
"SE",2023,"SSEI",44574,40360,4214,8,4206
"SE",2023,"SSEO",41560,40948,612,4,608
"SC",2023,"WESTSIDE",9809,8461,1348,957,391
"SC",2023,"WKMA",10031,8638,1393,981,412
