"Region","year","RptArea","rfharv","pelagic_harv","nonpel_harv","ye_harv","not_ye_nonpel_harv"
"SE",2002,"EYKT",9,9,0,NA,NA
"SE",2002,"IBS",884,782,102,NA,NA
"SC",2002,"MAINLAND",15,15,0,0,0
"SC",2002,"NG",17318,15088,2230,NA,NA
"SC",2002,"NORTHEAST",2262,2052,210,NA,NA
"SE",2002,"NSEI",4958,3120,1838,NA,NA
"SE",2002,"NSEO",2029,687,1342,NA,NA
"SC",2002,"PWSI",7398,4880,2518,NA,NA
"SC",2002,"PWSO",9018,6632,2386,NA,NA
"SC",2002,"SAKPEN",105,105,0,0,0
"SC",2002,"SKMA",99,88,11,NA,NA
"SC",2002,"SOKO2SAP",204,193,11,NA,NA
"SC",2002,"SOUTHEAST",98,87,11,NA,NA
"SC",2002,"SOUTHWEST",1,1,0,0,0
"SE",2002,"SSEI",8033,3969,4064,NA,NA
"SE",2002,"SSEO",7617,3492,4125,NA,NA
"SC",2002,"WESTSIDE",865,796,69,NA,NA
"SC",2002,"WKMA",880,811,69,NA,NA
"SC",2003,"AFOGNAK",567,484,83,NA,NA
"SC",2003,"ALEUTIAN",178,178,0,0,0
"SC",2003,"BERING",0,0,0,0,0
"SC",2003,"BSAI",178,178,0,0,0
"SC",2003,"CHIGNIK",0,0,0,0,0
"SC",2003,"CI",4623,4247,376,NA,NA
"SE",2003,"CSEO",15272,6711,8561,NA,NA
"SC",2003,"EASTSIDE",1012,964,48,NA,NA
"SE",2003,"EWYKT",1627,1184,443,NA,NA
"SE",2003,"EYKT",169,84,85,NA,NA
"SE",2003,"IBS",1458,1100,358,NA,NA
"SC",2003,"MAINLAND",11,11,0,0,0
"SC",2003,"NG",17020,13573,3447,NA,NA
"SC",2003,"NORTHEAST",2743,2477,266,NA,NA
"SE",2003,"NSEI",6069,3551,2518,NA,NA
"SE",2003,"NSEO",3083,1424,1659,NA,NA
"SC",2003,"PWSI",11932,8745,3187,NA,NA
"SC",2003,"PWSO",9696,7248,2448,NA,NA
"SC",2003,"SAKPEN",0,0,0,0,0
"SC",2003,"SKMA",144,104,40,NA,NA
"SC",2003,"SOKO2SAP",144,104,40,NA,NA
"SC",2003,"SOUTHEAST",138,98,40,NA,NA
"SC",2003,"SOUTHWEST",6,6,0,0,0
"SE",2003,"SSEI",11263,5648,5615,NA,NA
"SE",2003,"SSEO",6896,2806,4090,NA,NA
"SC",2003,"WESTSIDE",1096,947,149,NA,NA
"SC",2003,"WKMA",1107,958,149,NA,NA
"SC",2004,"AFOGNAK",468,338,130,NA,NA
"SC",2004,"ALEUTIAN",51,40,11,NA,NA
"SC",2004,"BERING",0,0,0,0,0
"SC",2004,"BSAI",51,40,11,NA,NA
"SC",2004,"CHIGNIK",29,23,6,NA,NA
"SC",2004,"CI",4736,4470,266,NA,NA
"SE",2004,"CSEO",21796,9789,12007,NA,NA
"SC",2004,"EASTSIDE",730,672,58,NA,NA
"SE",2004,"EWYKT",1501,1123,378,NA,NA
"SE",2004,"EYKT",66,27,39,NA,NA
"SE",2004,"IBS",1435,1096,339,NA,NA
"SC",2004,"MAINLAND",8,5,3,NA,NA
"SC",2004,"NG",19434,15959,3475,NA,NA
"SC",2004,"NORTHEAST",3291,3068,223,NA,NA
"SE",2004,"NSEI",6052,3328,2724,NA,NA
"SE",2004,"NSEO",2923,999,1924,NA,NA
"SC",2004,"PWSI",10310,7438,2872,NA,NA
"SC",2004,"PWSO",12216,9240,2976,NA,NA
"SC",2004,"SAKPEN",0,0,0,0,0
"SC",2004,"SKMA",200,159,41,NA,NA
"SC",2004,"SOKO2SAP",229,182,47,NA,NA
"SC",2004,"SOUTHEAST",197,157,40,NA,NA
"SC",2004,"SOUTHWEST",3,2,1,NA,NA
"SE",2004,"SSEI",13195,5266,7929,NA,NA
"SE",2004,"SSEO",10061,4143,5918,NA,NA
"SC",2004,"WESTSIDE",802,711,91,NA,NA
"SC",2004,"WKMA",810,716,94,NA,NA
"SC",2005,"AFOGNAK",1385,1179,206,NA,NA
"SC",2005,"ALEUTIAN",34,32,2,NA,NA
"SC",2005,"BERING",0,0,0,0,0
"SC",2005,"BSAI",34,32,2,NA,NA
"SC",2005,"CHIGNIK",61,61,0,NA,NA
"SC",2005,"CI",3615,3460,155,NA,NA
"SE",2005,"CSEO",27304,12886,14418,NA,NA
"SC",2005,"EASTSIDE",1242,1074,168,NA,NA
"SE",2005,"EWYKT",1676,1392,284,NA,NA
"SE",2005,"EYKT",47,6,41,NA,NA
"SE",2005,"IBS",1629,1386,243,NA,NA
"SC",2005,"MAINLAND",31,31,0,0,0
"SC",2005,"NG",22792,18621,4171,NA,NA
"SC",2005,"NORTHEAST",4641,4325,316,NA,NA
"SE",2005,"NSEI",7678,4465,3213,NA,NA
"SE",2005,"NSEO",2796,1188,1608,NA,NA
"SC",2005,"PWSI",10930,8176,2754,NA,NA
"SC",2005,"PWSO",9664,7477,2177,NA,NA
"SC",2005,"SAKPEN",14,2,12,NA,NA
"SC",2005,"SKMA",287,128,159,NA,NA
"SC",2005,"SOKO2SAP",362,191,171,NA,NA
"SC",2005,"SOUTHEAST",287,128,159,NA,NA
"SC",2005,"SOUTHWEST",0,0,0,0,0
"SE",2005,"SSEI",15329,5745,9584,NA,NA
"SE",2005,"SSEO",12666,5423,7243,NA,NA
"SC",2005,"WESTSIDE",1235,1102,133,NA,NA
"SC",2005,"WKMA",1266,1133,133,NA,NA
"SC",2006,"AFOGNAK",925,766,159,133,26
"SC",2006,"ALEUTIAN",8,3,5,5,0
"SC",2006,"BERING",0,0,0,0,0
"SC",2006,"BSAI",8,3,5,5,0
"SC",2006,"CHIGNIK",68,66,2,0,2
"SC",2006,"CI",2463,2250,213,98,115
"SE",2006,"CSEO",33748,20139,13609,9779,3830
"SC",2006,"EASTSIDE",1516,1356,160,122,38
"SE",2006,"EWYKT",2529,2089,440,167,273
"SE",2006,"EYKT",272,182,90,42,48
"SE",2006,"IBS",2257,1907,350,125,225
"SC",2006,"MAINLAND",15,15,0,0,0
"SC",2006,"NG",19998,15867,4131,2876,1255
"SC",2006,"NORTHEAST",3693,3519,174,96,78
"SE",2006,"NSEI",6437,3476,2961,1422,1539
"SE",2006,"NSEO",3058,1407,1651,931,720
"SC",2006,"PWSI",7578,4593,2985,1907,1078
"SC",2006,"PWSO",9129,6195,2934,2437,497
"SC",2006,"SAKPEN",16,7,9,9,0
"SC",2006,"SKMA",303,191,112,69,43
"SC",2006,"SOKO2SAP",387,264,123,78,45
"SC",2006,"SOUTHEAST",303,191,112,69,43
"SC",2006,"SOUTHWEST",0,0,0,0,0
"SE",2006,"SSEI",17714,6326,11388,4211,7177
"SE",2006,"SSEO",12007,4774,7233,4257,2976
"SC",2006,"WESTSIDE",722,567,155,118,37
"SC",2006,"WKMA",737,582,155,118,37
"SC",2007,"AFOGNAK",2488,2184,304,217,87
"SC",2007,"ALEUTIAN",27,16,11,7,4
"SC",2007,"BERING",0,0,0,0,0
"SC",2007,"BSAI",27,16,11,7,4
"SC",2007,"CHIGNIK",154,154,0,0,0
"SC",2007,"CI",2559,2365,194,94,100
"SE",2007,"CSEO",38443,24055,14388,9950,4438
"SC",2007,"EASTSIDE",3481,3310,171,108,63
"SE",2007,"EWYKT",2290,1956,334,108,226
"SE",2007,"EYKT",242,146,96,51,45
"SE",2007,"IBS",2048,1810,238,57,181
"SC",2007,"MAINLAND",31,15,16,16,0
"SC",2007,"NG",23861,19743,4118,2978,1140
"SC",2007,"NORTHEAST",5080,4652,428,156,272
"SE",2007,"NSEI",7499,4164,3335,1191,2144
"SE",2007,"NSEO",4266,2518,1748,1014,734
"SC",2007,"PWSI",12404,9289,3115,1944,1171
"SC",2007,"PWSO",12198,8339,3859,3287,572
"SC",2007,"SAKPEN",0,0,0,0,0
"SC",2007,"SKMA",1148,969,179,157,22
"SC",2007,"SOKO2SAP",1302,1123,179,157,22
"SC",2007,"SOUTHEAST",1148,969,179,157,22
"SC",2007,"SOUTHWEST",0,0,0,0,0
"SE",2007,"SSEI",20368,8353,12015,3637,8378
"SE",2007,"SSEO",12018,5924,6094,3554,2540
"SC",2007,"WESTSIDE",1614,1293,321,226,95
"SC",2007,"WKMA",1645,1308,337,242,95
"SC",2008,"AFOGNAK",2670,2069,601,509,92
"SC",2008,"ALEUTIAN",25,17,8,8,0
"SC",2008,"BERING",0,0,0,0,0
"SC",2008,"BSAI",25,17,8,8,0
"SC",2008,"CHIGNIK",113,113,0,0,0
"SC",2008,"CI",2163,2006,157,96,61
"SE",2008,"CSEO",52901,37625,15276,8863,6413
"SC",2008,"EASTSIDE",2311,2098,213,140,73
"SE",2008,"EWYKT",2857,2456,401,161,240
"SE",2008,"EYKT",309,177,132,56,76
"SE",2008,"IBS",2548,2279,269,105,164
"SC",2008,"MAINLAND",10,1,9,7,2
"SC",2008,"NG",25596,20867,4729,3376,1353
"SC",2008,"NORTHEAST",6260,5853,407,268,139
"SE",2008,"NSEI",10923,6828,4095,1308,2787
"SE",2008,"NSEO",5010,3047,1963,1009,954
"SC",2008,"PWSI",9522,6899,2623,1495,1128
"SC",2008,"PWSO",13387,9818,3569,2906,663
"SC",2008,"SAKPEN",0,0,0,0,0
"SC",2008,"SKMA",1130,1042,88,59,29
"SC",2008,"SOKO2SAP",1243,1155,88,59,29
"SC",2008,"SOUTHEAST",1130,1042,88,59,29
"SC",2008,"SOUTHWEST",0,0,0,0,0
"SE",2008,"SSEI",18756,8206,10550,3569,6981
"SE",2008,"SSEO",17754,10801,6953,3418,3535
"SC",2008,"WESTSIDE",1186,899,287,204,83
"SC",2008,"WKMA",1196,900,296,211,85
"SC",2009,"AFOGNAK",3763,3206,557,466,91
"SC",2009,"ALEUTIAN",0,0,0,0,0
"SC",2009,"BERING",0,0,0,0,0
"SC",2009,"BSAI",0,0,0,0,0
"SC",2009,"CHIGNIK",4,4,0,0,0
"SC",2009,"CI",2918,2662,256,142,114
"SE",2009,"CSEO",31717,22290,9427,6423,3004
"SC",2009,"EASTSIDE",2296,2247,49,30,19
"SE",2009,"EWYKT",2494,2193,301,79,222
"SE",2009,"EYKT",476,377,99,39,60
"SE",2009,"IBS",2018,1816,202,40,162
"SC",2009,"MAINLAND",3,1,2,2,0
"SC",2009,"NG",21909,18588,3321,2548,773
"SC",2009,"NORTHEAST",6369,6087,282,190,92
"SE",2009,"NSEI",9325,5994,3331,955,2376
"SE",2009,"NSEO",2818,1954,864,580,284
"SC",2009,"PWSI",8197,5973,2224,1306,918
"SC",2009,"PWSO",13724,10348,3376,2889,487
"SC",2009,"SAKPEN",38,22,16,0,16
"SC",2009,"SKMA",810,721,89,76,13
"SC",2009,"SOKO2SAP",852,747,105,76,29
"SC",2009,"SOUTHEAST",775,686,89,76,13
"SC",2009,"SOUTHWEST",35,35,0,0,0
"SE",2009,"SSEI",14837,6518,8319,2902,5417
"SE",2009,"SSEO",9645,5953,3692,1788,1904
"SC",2009,"WESTSIDE",1846,1516,330,247,83
"SC",2009,"WKMA",1849,1517,332,249,83
"SC",2010,"AFOGNAK",3032,1971,1061,348,713
"SC",2010,"ALEUTIAN",54,54,0,0,0
"SC",2010,"BERING",0,0,0,0,0
"SC",2010,"BSAI",54,54,0,0,0
"SC",2010,"CHIGNIK",105,47,58,0,58
"SC",2010,"CI",4422,3249,1173,185,988
"SE",2010,"CSEO",43813,30785,13028,7150,5878
"SC",2010,"EASTSIDE",2555,1663,892,74,818
"SE",2010,"EWYKT",2435,1932,503,119,384
"SE",2010,"EYKT",133,48,85,23,62
"SE",2010,"IBS",2302,1884,418,96,322
"SC",2010,"MAINLAND",11,3,8,8,0
"SC",2010,"NG",27027,20838,6189,3449,2740
"SC",2010,"NORTHEAST",8141,6708,1433,288,1145
"SE",2010,"NSEI",11942,7473,4469,1377,3092
"SE",2010,"NSEO",4613,2971,1642,737,905
"SC",2010,"PWSI",11909,8081,3828,1880,1948
"SC",2010,"PWSO",13038,8515,4523,3537,986
"SC",2010,"SAKPEN",0,0,0,0,0
"SC",2010,"SKMA",644,400,244,80,164
"SC",2010,"SOKO2SAP",749,447,302,80,222
"SC",2010,"SOUTHEAST",644,400,244,80,164
"SC",2010,"SOUTHWEST",0,0,0,0,0
"SE",2010,"SSEI",20015,8957,11058,3159,7899
"SE",2010,"SSEO",12415,7422,4993,2393,2600
"SC",2010,"WESTSIDE",1255,790,465,309,156
"SC",2010,"WKMA",1266,793,473,317,156
"SC",2011,"AFOGNAK",3052,2565,487,385,102
"SC",2011,"ALEUTIAN",5,0,5,0,5
"SC",2011,"BERING",0,0,0,0,0
"SC",2011,"BSAI",5,0,5,0,5
"SC",2011,"CHIGNIK",60,60,0,0,0
"SC",2011,"CI",3046,2570,476,174,302
"SE",2011,"CSEO",58843,46504,12339,4215,8124
"SC",2011,"EASTSIDE",1928,1853,75,39,36
"SE",2011,"EWYKT",2848,2363,485,111,374
"SE",2011,"EYKT",283,165,118,36,82
"SE",2011,"IBS",2565,2198,367,75,292
"SC",2011,"MAINLAND",99,98,1,1,0
"SC",2011,"NG",30322,24713,5609,3576,2033
"SC",2011,"NORTHEAST",6904,6611,293,140,153
"SE",2011,"NSEI",13281,8325,4956,1146,3810
"SE",2011,"NSEO",8950,6832,2118,831,1287
"SC",2011,"PWSI",11367,8192,3175,1443,1732
"SC",2011,"PWSO",15590,11330,4260,3189,1071
"SC",2011,"SAKPEN",0,0,0,0,0
"SC",2011,"SKMA",689,552,137,77,60
"SC",2011,"SOKO2SAP",749,612,137,77,60
"SC",2011,"SOUTHEAST",689,552,137,77,60
"SC",2011,"SOUTHWEST",0,0,0,0,0
"SE",2011,"SSEI",17328,9231,8097,2407,5690
"SE",2011,"SSEO",11926,8143,3783,1424,2359
"SC",2011,"WESTSIDE",1267,1019,248,162,86
"SC",2011,"WKMA",1366,1117,249,163,86
"SC",2012,"AFOGNAK",3025,2461,564,411,153
"SC",2012,"ALEUTIAN",13,13,0,0,0
"SC",2012,"BERING",0,0,0,0,0
"SC",2012,"BSAI",13,13,0,0,0
"SC",2012,"CHIGNIK",121,99,22,0,22
"SC",2012,"CI",4677,4109,568,201,367
"SE",2012,"CSEO",57675,43380,14295,4550,9745
"SC",2012,"EASTSIDE",3433,3210,223,76,147
"SE",2012,"EWYKT",3241,2727,514,147,367
"SE",2012,"EYKT",541,418,123,38,85
"SE",2012,"IBS",2700,2309,391,109,282
"SC",2012,"MAINLAND",0,0,0,0,0
"SC",2012,"NG",27771,22056,5715,3368,2347
"SC",2012,"NORTHEAST",6813,6257,556,205,351
"SE",2012,"NSEI",15243,9183,6060,1252,4808
"SE",2012,"NSEO",8600,6467,2133,737,1396
"SC",2012,"PWSI",13580,9313,4267,1727,2540
"SC",2012,"PWSO",16566,11401,5165,3484,1681
"SC",2012,"SAKPEN",0,0,0,0,0
"SC",2012,"SKMA",918,568,350,107,243
"SC",2012,"SOKO2SAP",1039,667,372,107,265
"SC",2012,"SOUTHEAST",918,568,350,107,243
"SC",2012,"SOUTHWEST",0,0,0,0,0
"SE",2012,"SSEI",20908,9031,11877,3147,8730
"SE",2012,"SSEO",14290,9606,4684,1749,2935
"SC",2012,"WESTSIDE",1747,1322,425,335,90
"SC",2012,"WKMA",1747,1322,425,335,90
"SC",2013,"AFOGNAK",2487,2014,473,382,91
"SC",2013,"ALEUTIAN",0,0,0,0,0
"SC",2013,"BERING",0,0,0,0,0
"SC",2013,"BSAI",0,0,0,0,0
"SC",2013,"CHIGNIK",69,19,50,0,50
"SC",2013,"CI",4808,4380,428,162,266
"SE",2013,"CSEO",60735,48283,12452,4216,8236
"SC",2013,"EASTSIDE",2207,2081,126,54,72
"SE",2013,"EWYKT",3884,3432,452,56,396
"SE",2013,"EYKT",616,514,102,22,80
"SE",2013,"IBS",3268,2918,350,34,316
"SC",2013,"MAINLAND",4,3,1,0,1
"SC",2013,"NG",30558,25257,5301,3428,1873
"SC",2013,"NORTHEAST",9965,9327,638,361,277
"SE",2013,"NSEI",14770,9583,5187,1159,4028
"SE",2013,"NSEO",6970,5295,1675,713,962
"SC",2013,"PWSI",14209,10875,3334,1384,1950
"SC",2013,"PWSO",19818,14223,5595,3409,2186
"SC",2013,"SAKPEN",0,0,0,0,0
"SC",2013,"SKMA",1035,868,167,113,54
"SC",2013,"SOKO2SAP",1104,887,217,113,104
"SC",2013,"SOUTHEAST",1035,868,167,113,54
"SC",2013,"SOUTHWEST",0,0,0,0,0
"SE",2013,"SSEI",24779,11207,13572,3164,10408
"SE",2013,"SSEO",15619,11144,4475,1811,2664
"SC",2013,"WESTSIDE",1979,1623,356,279,77
"SC",2013,"WKMA",1983,1626,357,279,78
"SC",2014,"AFOGNAK",2843,2263,580,434,146
"SC",2014,"ALEUTIAN",44,44,0,0,0
"SC",2014,"BERING",0,0,0,0,0
"SC",2014,"BSAI",44,44,0,0,0
"SC",2014,"CHIGNIK",62,56,6,0,6
"SC",2014,"CI",4731,4369,362,94,268
"SE",2014,"CSEO",73709,60201,13508,4240,9268
"SC",2014,"EASTSIDE",3551,3385,166,131,35
"SE",2014,"EWYKT",4695,4020,675,125,550
"SE",2014,"EYKT",517,424,93,30,63
"SE",2014,"IBS",4178,3596,582,95,487
"SC",2014,"MAINLAND",0,0,0,0,0
"SC",2014,"NG",37025,31936,5089,2911,2178
"SC",2014,"NORTHEAST",11896,10360,1536,392,1144
"SE",2014,"NSEI",19857,13571,6286,1206,5080
"SE",2014,"NSEO",8688,6428,2260,820,1440
"SC",2014,"PWSI",14913,10729,4184,1470,2714
"SC",2014,"PWSO",21309,15752,5557,3473,2084
"SC",2014,"SAKPEN",0,0,0,0,0
"SC",2014,"SKMA",653,557,96,49,47
"SC",2014,"SOKO2SAP",715,613,102,49,53
"SC",2014,"SOUTHEAST",653,557,96,49,47
"SC",2014,"SOUTHWEST",0,0,0,0,0
"SE",2014,"SSEI",25686,10668,15018,2923,12095
"SE",2014,"SSEO",18453,13323,5130,1522,3608
"SC",2014,"WESTSIDE",2396,1757,639,404,235
"SC",2014,"WKMA",2396,1757,639,404,235
"SC",2015,"AFOGNAK",3919,3289,630,421,209
"SC",2015,"ALEUTIAN",21,1,20,2,18
"SC",2015,"BERING",0,0,0,0,0
"SC",2015,"BSAI",21,1,20,2,18
"SC",2015,"CHIGNIK",43,3,40,0,40
"SC",2015,"CI",6321,5864,457,134,323
"SE",2015,"CSEO",80105,63217,16888,5352,11536
"SC",2015,"EASTSIDE",2787,2635,152,149,3
"SE",2015,"EWYKT",5729,4715,1014,215,799
"SE",2015,"EYKT",1353,1021,332,81,251
"SE",2015,"IBS",4376,3694,682,134,548
"SC",2015,"MAINLAND",9,9,0,0,0
"SC",2015,"NG",45883,39744,6139,3283,2856
"SC",2015,"NORTHEAST",12377,11799,578,394,184
"SE",2015,"NSEI",22095,13976,8119,1555,6564
"SE",2015,"NSEO",9156,6577,2579,911,1668
"SC",2015,"PWSI",20073,14853,5220,1742,3478
"SC",2015,"PWSO",24516,18386,6130,4084,2046
"SC",2015,"SAKPEN",0,0,0,0,0
"SC",2015,"SKMA",619,547,72,68,4
"SC",2015,"SOKO2SAP",662,550,112,68,44
"SC",2015,"SOUTHEAST",619,547,72,68,4
"SC",2015,"SOUTHWEST",0,0,0,0,0
"SE",2015,"SSEI",29160,11218,17942,4271,13671
"SE",2015,"SSEO",17669,12749,4920,1419,3501
"SC",2015,"WESTSIDE",2022,1655,367,285,82
"SC",2015,"WKMA",2031,1664,367,285,82
"SC",2016,"AFOGNAK",5287,4527,760,544,216
"SC",2016,"ALEUTIAN",1,0,1,1,0
"SC",2016,"BERING",0,0,0,0,0
"SC",2016,"BSAI",1,0,1,1,0
"SC",2016,"CHIGNIK",7,0,7,0,7
"SC",2016,"CI",10123,9344,779,185,594
"SE",2016,"CSEO",54908,42288,12620,5433,7187
"SC",2016,"EASTSIDE",3561,3392,169,99,70
"SE",2016,"EWYKT",7499,6237,1262,314,948
"SE",2016,"EYKT",1761,1385,376,123,253
"SE",2016,"IBS",5738,4852,886,191,695
"SC",2016,"MAINLAND",1,0,1,0,1
"SC",2016,"NG",56991,49153,7838,4064,3774
"SC",2016,"NORTHEAST",13580,12861,719,425,294
"SE",2016,"NSEI",25877,16646,9231,1642,7589
"SE",2016,"NSEO",5839,4347,1492,698,794
"SC",2016,"PWSI",28893,22198,6695,2486,4209
"SC",2016,"PWSO",29349,21660,7689,5233,2456
"SC",2016,"SAKPEN",0,0,0,0,0
"SC",2016,"SKMA",804,713,91,88,3
"SC",2016,"SOKO2SAP",811,713,98,88,10
"SC",2016,"SOUTHEAST",774,684,90,87,3
"SC",2016,"SOUTHWEST",30,29,1,1,0
"SE",2016,"SSEI",32540,13373,19167,4529,14638
"SE",2016,"SSEO",17707,13558,4149,1399,2750
"SC",2016,"WESTSIDE",3336,2644,692,588,104
"SC",2016,"WKMA",3337,2644,693,588,105
"SC",2017,"AFOGNAK",4756,4217,539,416,123
"SC",2017,"ALEUTIAN",1,0,1,0,1
"SC",2017,"BERING",6,6,0,0,0
"SC",2017,"BSAI",7,6,1,0,1
"SC",2017,"CHIGNIK",0,0,0,0,0
"SC",2017,"CI",8376,7453,923,391,532
"SE",2017,"CSEO",57388,46059,11329,4871,6458
