"Region","year","RptArea","Log_rfharv","guiSWHS_rfharv","var_guiSWHS_rfharv","privSWHS_rfharv","var_privSWHS_rfharv","SWHS_gprop","var_SWHS_gprop"
"SC",2023,"AFOGNAK",NA,5347,1551582.2,777,200526.1,0.873122142390594,0.00474215652701719
"SC",2023,"BSAI",NA,116,13267.09,0,0,1,0
"SC",2023,"CI",NA,9623,1487280.4,4363,742654.3,0.688045188045188,0.00253728133536397
"SE",2023,"CSEO",NA,55531,16494045,10234,4023223,0.844385311335817,0.000755582878237495
"SC",2023,"EASTSIDE",NA,2654,849301.3171,4136,1161459,0.995125609298838,2.6601097384131e-05
"SE",2023,"EWYKT",NA,5921,1401486,3700,1802399,0.61542459203825,0.00961426425866779
"SC",2023,"NG",NA,47399,7952612,14128,3455772,0.770377232759601,0.000652543338570282
"SC",2023,"NORTHEAST",NA,9226,2230717,4136,1161459,0.69046549917677,0.00429837843966402
"SE",2023,"NSEI",NA,23213,10138732,11033,3823141,0.677830987560591,0.00239505140621673
"SE",2023,"NSEO",NA,9343,3392389,12232,14934442,0.433047508690614,0.00835929757748217
"SC",2023,"PWSI",NA,11631,2181980,14065,2752274,0.452638542963885,0.00184408654577555
"SC",2023,"PWSO",NA,7085,853804.6,1074,157175.3,0.868366221350656,0.00200263313749076
"SC",2023,"SOKO2SAP",NA,353,30902.07,242,26107.48,0.59327731092437,0.0403959651518508
"SE",2023,"SSEI",NA,34423,10805290,20688,10362911,0.624612146395456,0.00183247311170119
"SE",2023,"SSEO",NA,14709,5120146,4231,1827749,0.776610348468849,0.003785279078332
"SC",2023,"WKMA",NA,5931,2134170.91,257,24365.99,0.95846800258565,0.000680710724842109
"SC",2023,"SKMA",NA,5931,2134170.91,257,24365.99,0.95846800258565,0.000680710724842109
