"port_site","RptArea","region","N_obs","total_rfharv","total_prockkept","total_yrockkept","total_orockkept"
"CORDOVA","PWSI","SC",107,708,467,82,159
"CORDOVA","PWSO","SC",13,165,145,18,2
"HOMER","NG","SC",1938,23506,19453,2686,1367
"SEWARD","NG","SC",2190,36006,30396,2710,2900
"SEWARD","PWSI","SC",253,3980,3406,190,384
"SEWARD","PWSO","SC",1017,19856,16894,1606,1356
"VALDEZ","PWSI","SC",361,2042,1510,167,365
"VALDEZ","PWSO","SC",434,5432,4335,741,356
"WHITTIER","NG","SC",5,46,28,0,18
"WHITTIER","PWSI","SC",758,6294,4671,360,1263
"WHITTIER","PWSO","SC",133,1530,1344,75,111
