"YEAR","CFMU","Assemblage","USER","RelCat","avg_WtKg","SE_WtKg","var_WtKg","P_Rel","PcatSurface","PcatDRM","Mort_rate"
2009,"PWSO","Black","Charter",4,2.57178571428571,0.0398998854570233,0.445760240655402,0.0296052631578947,1,0,0.110773026315789
2009,"PWSO","Black","Charter",1,2.57178571428571,0.0398998854570233,0.445760240655402,0.424342105263158,1,0,0.110773026315789
2009,"PWSO","Black","Charter",3,2.57178571428571,0.0398998854570233,0.445760240655402,0.09375,1,0,0.110773026315789
2023,"PWSO","Black","Charter",2,2.32036199095023,0.0500633845546947,0.553901686548745,0.452302631578947,0.792727272727273,0.207272727272727,0.0464882743980611
2023,"PWSO","Black","Charter",4,2.32036199095023,0.0500633845546947,0.553901686548745,0.0296052631578947,0.166666666666667,0.833333333333333,0.0421436692857264
2023,"PWSO","Black","Charter",1,2.32036199095023,0.0500633845546947,0.553901686548745,0.424342105263158,0.996124031007752,0.00387596899224807,0
2023,"PWSO","Black","Charter",3,2.32036199095023,0.0500633845546947,0.553901686548745,0.09375,0.157894736842105,0.842105263157895,0.104579359117838
2011,"PWSO","Black","Charter",2,2.60043668122271,0.0390087170167377,0.34846472075385,0.452302631578947,1,0,0.110773026315789
2011,"PWSO","Black","Charter",4,2.60043668122271,0.0390087170167377,0.34846472075385,0.0296052631578947,1,0,0.110773026315789
2011,"PWSO","Black","Charter",1,2.60043668122271,0.0390087170167377,0.34846472075385,0.424342105263158,1,0,0.110773026315789
2011,"PWSO","Black","Charter",3,2.60043668122271,0.0390087170167377,0.34846472075385,0.09375,1,0,0.110773026315789
2019,"PWSO","Black","Charter",2,2.5753488372093,0.0487352201944199,0.510651162790698,0.452302631578947,0.792727272727273,0.207272727272727,0.0464882743980611
2019,"PWSO","Black","Charter",4,2.5753488372093,0.0487352201944199,0.510651162790698,0.0296052631578947,0.166666666666667,0.833333333333333,0.0421436692857264
2019,"PWSO","Black","Charter",1,2.5753488372093,0.0487352201944199,0.510651162790698,0.424342105263158,0.996124031007752,0.00387596899224807,0
2019,"PWSO","Black","Charter",3,2.5753488372093,0.0487352201944199,0.510651162790698,0.09375,0.157894736842105,0.842105263157895,0.104579359117838
2005,"PWSO","Black","Charter",2,2.3125,0.0437604991983942,0.352356557377049,0.452302631578947,1,0,0.110773026315789
2005,"PWSO","Black","Charter",4,2.3125,0.0437604991983942,0.352356557377049,0.0296052631578947,1,0,0.110773026315789
2005,"PWSO","Black","Charter",1,2.3125,0.0437604991983942,0.352356557377049,0.424342105263158,1,0,0.110773026315789
2005,"PWSO","Black","Charter",3,2.3125,0.0437604991983942,0.352356557377049,0.09375,1,0,0.110773026315789
2003,"PWSO","Black","Charter",2,2.37630662020906,0.0396124849133142,0.450345751809166,0.452302631578947,1,0,0.110773026315789
2003,"PWSO","Black","Charter",4,2.37630662020906,0.0396124849133142,0.450345751809166,0.0296052631578947,1,0,0.110773026315789
2003,"PWSO","Black","Charter",1,2.37630662020906,0.0396124849133142,0.450345751809166,0.424342105263158,1,0,0.110773026315789
2003,"PWSO","Black","Charter",3,2.37630662020906,0.0396124849133142,0.450345751809166,0.09375,1,0,0.110773026315789
2012,"PWSO","Black","Charter",2,2.53959390862944,0.0439229237874528,0.380056977105563,0.452302631578947,1,0,0.110773026315789
2012,"PWSO","Black","Charter",4,2.53959390862944,0.0439229237874528,0.380056977105563,0.0296052631578947,1,0,0.110773026315789
2012,"PWSO","Black","Charter",1,2.53959390862944,0.0439229237874528,0.380056977105563,0.424342105263158,1,0,0.110773026315789
2012,"PWSO","Black","Charter",3,2.53959390862944,0.0439229237874528,0.380056977105563,0.09375,1,0,0.110773026315789
2013,"PWSO","Black","Charter",2,2.76951219512195,0.046526658468154,0.355015711506808,0.452302631578947,0.792727272727273,0.207272727272727,0.0464882743980611
2013,"PWSO","Black","Charter",4,2.76951219512195,0.046526658468154,0.355015711506808,0.0296052631578947,0.166666666666667,0.833333333333333,0.0421436692857264
2013,"PWSO","Black","Charter",1,2.76951219512195,0.046526658468154,0.355015711506808,0.424342105263158,0.996124031007752,0.00387596899224807,0
2013,"PWSO","Black","Charter",3,2.76951219512195,0.046526658468154,0.355015711506808,0.09375,0.157894736842105,0.842105263157895,0.104579359117838
2014,"PWSO","Black","Charter",2,2.82751322751323,0.0459973137993627,0.399877293707081,0.452302631578947,0.792727272727273,0.207272727272727,0.0464882743980611
2014,"PWSO","Black","Charter",4,2.82751322751323,0.0459973137993627,0.399877293707081,0.0296052631578947,0.166666666666667,0.833333333333333,0.0421436692857264
2014,"PWSO","Black","Charter",1,2.82751322751323,0.0459973137993627,0.399877293707081,0.424342105263158,0.996124031007752,0.00387596899224807,0
2014,"PWSO","Black","Charter",3,2.82751322751323,0.0459973137993627,0.399877293707081,0.09375,0.157894736842105,0.842105263157895,0.104579359117838
