"USER","YEAR","PORT","CFMU","Pel","NP","BRF","YE"
"Private",1993,"Homer","CI",6,0,4,0
"Private",1993,"Seward","NG",71,38,61,17
"Private",1993,"Seward","PWSO",14,4,11,2
"Private",1993,"Valdez","PWSI",1,23,0,7
"Private",1993,"Valdez","PWSO",1,1,1,1
"Private",1994,"Seward","NG",59,9,58,2
"Private",1994,"Seward","PWSO",1,2,1,2
"Private",1994,"Valdez","PWSI",0,14,0,11
"Private",1995,"Homer","CI",7,0,3,0
"Private",1995,"Seward","NG",32,52,31,25
"Private",1995,"Seward","PWSO",6,1,6,1
"Private",1995,"Valdez","PWSI",0,9,0,3
"Private",1996,"Homer","CI",11,0,0,0
"Private",1996,"Homer","NG",1,1,1,1
"Private",1996,"Seward","NG",36,10,31,4
"Private",1996,"Seward","PWSI",7,0,7,0
"Private",1996,"Valdez","PWSI",4,33,0,3
"Private",1996,"Valdez","PWSO",0,3,0,3
"Private",1997,"Homer","CI",27,0,15,0
"Private",1997,"Seward","NG",114,18,112,17
"Private",1997,"Seward","PWSI",0,3,0,3
"Private",1997,"Seward","PWSO",5,4,5,3
"Private",1997,"Valdez","PWSI",14,62,3,32
"Private",1997,"Valdez","PWSO",0,9,0,9
"Private",1998,"Homer","CI",26,0,16,0
"Private",1998,"Homer","NG",2,0,2,0
"Private",1998,"Seward","NG",136,27,121,17
"Private",1998,"Seward","PWSI",1,1,1,1
"Private",1998,"Seward","PWSO",3,5,3,3
"Private",1998,"Valdez","PWSI",4,41,3,34
"Private",1998,"Valdez","PWSO",2,4,2,4
"Private",1998,"Whittier","PWSI",0,1,0,0
"Private",1999,"Cordova","PWSI",1,2,1,2
"Private",1999,"Homer","CI",59,1,39,0
"Private",1999,"Homer","NG",1,5,1,4
"Private",1999,"Kodiak","EASTSIDE",1,0,1,0
"Private",1999,"Seward","NG",104,41,98,16
"Private",1999,"Seward","PWSI",2,1,2,1
"Private",1999,"Seward","PWSO",4,8,4,6
"Private",1999,"Valdez","PWSI",8,75,1,38
"Private",1999,"Valdez","PWSO",13,4,13,4
"Private",1999,"Whittier","PWSI",11,94,0,82
"Private",1999,"Whittier","PWSO",0,3,0,1
"Private",2000,"Homer","CI",41,0,27,0
"Private",2000,"Kodiak","EASTSIDE",11,0,11,0
"Private",2000,"Seward","NG",112,24,101,10
"Private",2000,"Seward","PWSI",17,1,17,1
"Private",2000,"Seward","PWSO",18,10,18,6
"Private",2000,"Valdez","PWSI",7,110,0,52
"Private",2000,"Valdez","PWSO",0,8,0,8
"Private",2000,"Whittier","PWSI",14,28,2,20
"Private",2000,"Whittier","PWSO",0,2,0,2
"Private",2001,"Homer","CI",51,1,27,0
"Private",2001,"Kodiak","EASTSIDE",10,0,10,0
"Private",2001,"Seward","NG",130,36,122,32
"Private",2001,"Seward","PWSI",0,1,0,1
"Private",2001,"Seward","PWSO",25,14,25,14
"Private",2001,"Valdez","PWSI",30,96,28,40
"Private",2001,"Valdez","PWSO",9,4,9,4
"Private",2001,"Whittier","PWSI",24,92,18,65
"Private",2002,"Homer","CI",32,0,10,0
"Private",2002,"Homer","NG",10,2,5,2
"Private",2002,"Seward","NG",241,26,216,15
"Private",2002,"Seward","PWSI",1,2,1,2
"Private",2002,"Seward","PWSO",1,5,1,4
"Private",2002,"Valdez","PWSI",46,87,35,34
"Private",2002,"Valdez","PWSO",13,13,10,11
"Private",2002,"Whittier","PWSI",13,44,2,30
"Private",2003,"Homer","CI",35,1,21,0
"Private",2003,"Homer","NG",39,11,30,9
"Private",2003,"Kodiak","EASTSIDE",4,0,4,0
"Private",2003,"Seward","NG",230,27,215,26
"Private",2003,"Seward","PWSI",28,2,28,0
"Private",2003,"Seward","PWSO",40,4,40,4
"Private",2003,"Valdez","PWSI",27,129,13,66
"Private",2003,"Valdez","PWSO",16,1,14,0
"Private",2003,"Whittier","PWSI",31,163,0,89
"Private",2004,"Homer","CI",23,3,3,1
"Private",2004,"Homer","NG",2,0,2,0
"Private",2004,"Kodiak","EASTSIDE",1,0,1,0
"Private",2004,"Seward","NG",326,112,301,82
"Private",2004,"Seward","PWSI",3,1,3,1
"Private",2004,"Seward","PWSO",31,3,31,1
"Private",2004,"Valdez","PWSI",13,91,2,26
"Private",2004,"Valdez","PWSO",16,1,16,0
"Private",2004,"Whittier","PWSI",21,114,0,82
"Private",2004,"Whittier","PWSO",0,4,0,1
"Private",2005,"Homer","CI",17,0,7,0
"Private",2005,"Homer","NG",18,0,17,0
"Private",2005,"Seward","NG",155,71,131,37
"Private",2005,"Seward","PWSO",16,0,16,0
"Private",2005,"Valdez","PWSI",8,31,0,14
"Private",2005,"Valdez","PWSO",5,0,5,0
"Private",2005,"Whittier","PWSI",38,201,3,137
"Private",2005,"Whittier","PWSO",17,21,17,12
"Private",2006,"Homer","CI",7,0,1,0
"Private",2006,"Homer","NG",11,5,5,4
"Private",2006,"Seward","NG",206,90,193,52
"Private",2006,"Seward","PWSI",16,2,15,2
"Private",2006,"Seward","PWSO",19,2,17,1
"Private",2006,"Valdez","PWSI",2,50,1,20
