"YEAR","CFMU","SP","USER","unique_boats","sampled_fish"
2019,"PWSO",142,"Charter",34,801
2019,"PWSO",145,"Charter",26,214
2020,"CI",142,"Charter",13,123
2020,"CI",145,"Charter",1,3
2020,"NG",142,"Charter",24,399
2020,"NG",145,"Charter",15,85
2020,"NORTHEAST",142,"Charter",3,55
2020,"NORTHEAST",145,"Charter",1,3
2020,"PWSI",142,"Charter",12,174
2020,"PWSI",145,"Charter",12,67
2020,"PWSO",142,"Charter",30,935
2020,"PWSO",145,"Charter",20,131
2021,"AFOGNAK",142,"Charter",1,18
2021,"AFOGNAK",145,"Charter",1,8
2021,"CI",142,"Charter",6,83
2021,"CI",145,"Charter",1,2
2021,"EASTSIDE",142,"Charter",1,9
2021,"NG",142,"Charter",30,608
2021,"NG",145,"Charter",18,47
2021,"NORTHEAST",142,"Charter",9,299
2021,"NORTHEAST",145,"Charter",3,8
2021,"PWSI",142,"Charter",16,229
2021,"PWSI",145,"Charter",9,35
2021,"PWSO",142,"Charter",17,678
2021,"PWSO",145,"Charter",13,84
2022,"CI",142,"Charter",12,128
2022,"EASTSIDE",142,"Charter",1,31
2022,"NG",142,"Charter",28,664
2022,"NG",145,"Charter",19,49
2022,"NORTHEAST",142,"Charter",6,115
2022,"NORTHEAST",145,"Charter",2,2
2022,"PWSI",142,"Charter",17,616
2022,"PWSI",145,"Charter",10,45
2022,"PWSO",142,"Charter",19,519
2022,"PWSO",145,"Charter",19,134
2023,"AFOGNAK",142,"Charter",1,35
2023,"AFOGNAK",145,"Charter",1,5
2023,"CI",142,"Charter",9,78
2023,"CI",145,"Charter",1,1
2023,"EASTSIDE",142,"Charter",2,27
2023,"NG",142,"Charter",26,449
2023,"NG",145,"Charter",14,48
2023,"NORTHEAST",142,"Charter",6,198
2023,"NORTHEAST",145,"Charter",2,5
2023,"PWSI",142,"Charter",14,160
2023,"PWSI",145,"Charter",7,25
2023,"PWSO",142,"Charter",17,439
2023,"PWSO",145,"Charter",9,64
2024,"CI",142,"Charter",9,113
2024,"CI",145,"Charter",2,12
2024,"NG",142,"Charter",30,552
2024,"NG",145,"Charter",18,48
2024,"NORTHEAST",142,"Charter",5,71
