"YEAR","CFMU","Assemblage","USER","RelCat","avg_WtKg","SE_WtKg","var_WtKg","P_Rel","PcatSurface","PcatDRM","Mort_rate"
2019,"CI","Black","Charter",3,0.90952380952381,0.0385283164807693,0.0623461091753775,0.0336538461538462,0.571428571428571,0.428571428571429,0.0136028678782302
2019,"CI","Black","Charter",1,0.90952380952381,0.0385283164807693,0.0623461091753775,0.586538461538462,0.983606557377049,0.0163934426229508,0
2019,"CI","Black","Charter",2,0.90952380952381,0.0385283164807693,0.0623461091753775,0.379807692307692,0.481012658227848,0.518987341772152,0.0320426425324609
2025,"CI","Black","Charter",3,2.04166666666667,0.187268375452035,0.210416666666667,0.0336538461538462,0.571428571428571,0.428571428571429,0.0136028678782302
2025,"CI","Black","Charter",1,2.04166666666667,0.187268375452035,0.210416666666667,0.586538461538462,0.983606557377049,0.0163934426229508,0
2025,"CI","Black","Charter",2,2.04166666666667,0.187268375452035,0.210416666666667,0.379807692307692,0.481012658227848,0.518987341772152,0.0320426425324609
2024,"CI","Black","Charter",3,2.04782608695652,0.0754848502210639,0.262106280193237,0.0336538461538462,0.571428571428571,0.428571428571429,0.0136028678782302
2024,"CI","Black","Charter",1,2.04782608695652,0.0754848502210639,0.262106280193237,0.586538461538462,0.983606557377049,0.0163934426229508,0
2024,"CI","Black","Charter",2,2.04782608695652,0.0754848502210639,0.262106280193237,0.379807692307692,0.481012658227848,0.518987341772152,0.0320426425324609
2006,"CI","Black","Charter",3,2.38888888888889,0.206454490845134,0.383611111111111,0.0336538461538462,1,0,0.0573557692307692
2006,"CI","Black","Charter",1,2.38888888888889,0.206454490845134,0.383611111111111,0.586538461538462,1,0,0.0573557692307692
2006,"CI","Black","Charter",2,2.38888888888889,0.206454490845134,0.383611111111111,0.379807692307692,1,0,0.0573557692307692
2000,"CI","Black","Charter",3,2.175,0.0995525704626168,0.0792857142857143,0.0336538461538462,1,0,0.0573557692307692
2000,"CI","Black","Charter",1,2.175,0.0995525704626168,0.0792857142857143,0.586538461538462,1,0,0.0573557692307692
2000,"CI","Black","Charter",2,2.175,0.0995525704626168,0.0792857142857143,0.379807692307692,1,0,0.0573557692307692
2016,"CI","Black","Charter",3,1.65,0.0499999999999999,0.00499999999999999,0.0336538461538462,0.571428571428571,0.428571428571429,0.0136028678782302
2016,"CI","Black","Charter",1,1.65,0.0499999999999999,0.00499999999999999,0.586538461538462,0.983606557377049,0.0163934426229508,0
2016,"CI","Black","Charter",2,1.65,0.0499999999999999,0.00499999999999999,0.379807692307692,0.481012658227848,0.518987341772152,0.0320426425324609
2004,"CI","Black","Charter",3,2.05,0.272335577306137,0.296666666666667,0.0336538461538462,1,0,0.0573557692307692
2004,"CI","Black","Charter",1,2.05,0.272335577306137,0.296666666666667,0.586538461538462,1,0,0.0573557692307692
2004,"CI","Black","Charter",2,2.05,0.272335577306137,0.296666666666667,0.379807692307692,1,0,0.0573557692307692
2010,"CI","Black","Charter",3,2.02857142857143,0.19360525095482,0.262380952380952,0.0336538461538462,1,0,0.0573557692307692
2010,"CI","Black","Charter",1,2.02857142857143,0.19360525095482,0.262380952380952,0.586538461538462,1,0,0.0573557692307692
2010,"CI","Black","Charter",2,2.02857142857143,0.19360525095482,0.262380952380952,0.379807692307692,1,0,0.0573557692307692
2001,"CI","Black","Charter",3,1.95,0.0921954445729289,0.051,0.0336538461538462,1,0,0.0573557692307692
2001,"CI","Black","Charter",1,1.95,0.0921954445729289,0.051,0.586538461538462,1,0,0.0573557692307692
2001,"CI","Black","Charter",2,1.95,0.0921954445729289,0.051,0.379807692307692,1,0,0.0573557692307692
2015,"CI","Black","Charter",3,1.2,0,0,0.0336538461538462,0.571428571428571,0.428571428571429,0.0136028678782302
2015,"CI","Black","Charter",1,1.2,0,0,0.586538461538462,0.983606557377049,0.0163934426229508,0
2015,"CI","Black","Charter",2,1.2,0,0,0.379807692307692,0.481012658227848,0.518987341772152,0.0320426425324609
2005,"CI","Black","Charter",3,2.43809523809524,0.103619310223757,0.22547619047619,0.0336538461538462,1,0,0.0573557692307692
2005,"CI","Black","Charter",1,2.43809523809524,0.103619310223757,0.22547619047619,0.586538461538462,1,0,0.0573557692307692
2005,"CI","Black","Charter",2,2.43809523809524,0.103619310223757,0.22547619047619,0.379807692307692,1,0,0.0573557692307692
2008,"CI","Black","Charter",3,2.5,0.1,0.02,0.0336538461538462,1,0,0.0573557692307692
2008,"CI","Black","Charter",1,2.5,0.1,0.02,0.586538461538462,1,0,0.0573557692307692
2008,"CI","Black","Charter",2,2.5,0.1,0.02,0.379807692307692,1,0,0.0573557692307692
2003,"CI","Black","Charter",3,2.42,0.120922380981447,0.146222222222222,0.0336538461538462,1,0,0.0573557692307692
2003,"CI","Black","Charter",1,2.42,0.120922380981447,0.146222222222222,0.586538461538462,1,0,0.0573557692307692
2003,"CI","Black","Charter",2,2.42,0.120922380981447,0.146222222222222,0.379807692307692,1,0,0.0573557692307692
2012,"CI","Black","Charter",3,2.48571428571429,0.103114756757821,0.223285714285714,0.0336538461538462,1,0,0.0573557692307692
2012,"CI","Black","Charter",1,2.48571428571429,0.103114756757821,0.223285714285714,0.586538461538462,1,0,0.0573557692307692
2012,"CI","Black","Charter",2,2.48571428571429,0.103114756757821,0.223285714285714,0.379807692307692,1,0,0.0573557692307692
2007,"CI","Black","Charter",3,2.63333333333333,0.23392781412697,0.4925,0.0336538461538462,1,0,0.0573557692307692
2007,"CI","Black","Charter",1,2.63333333333333,0.23392781412697,0.4925,0.586538461538462,1,0,0.0573557692307692
2007,"CI","Black","Charter",2,2.63333333333333,0.23392781412697,0.4925,0.379807692307692,1,0,0.0573557692307692
2009,"CI","Black","Charter",3,1.725,0.239356776939084,0.229166666666667,0.0336538461538462,1,0,0.0573557692307692
2009,"CI","Black","Charter",1,1.725,0.239356776939084,0.229166666666667,0.586538461538462,1,0,0.0573557692307692
2009,"CI","Black","Charter",2,1.725,0.239356776939084,0.229166666666667,0.379807692307692,1,0,0.0573557692307692
2018,"CI","Black","Charter",3,1.40909090909091,0.192714612015737,0.817056277056277,0.0336538461538462,0.571428571428571,0.428571428571429,0.0136028678782302
2018,"CI","Black","Charter",1,1.40909090909091,0.192714612015737,0.817056277056277,0.586538461538462,0.983606557377049,0.0163934426229508,0
2018,"CI","Black","Charter",2,1.40909090909091,0.192714612015737,0.817056277056277,0.379807692307692,0.481012658227848,0.518987341772152,0.0320426425324609
2022,"CI","Black","Charter",3,1.80588235294118,0.0609185740506117,0.0630882352941177,0.0336538461538462,0.571428571428571,0.428571428571429,0.0136028678782302
2022,"CI","Black","Charter",1,1.80588235294118,0.0609185740506117,0.0630882352941177,0.586538461538462,0.983606557377049,0.0163934426229508,0
2022,"CI","Black","Charter",2,1.80588235294118,0.0609185740506117,0.0630882352941177,0.379807692307692,0.481012658227848,0.518987341772152,0.0320426425324609
2014,"CI","Black","Charter",3,2.425,0.252899848424892,0.255833333333333,0.0336538461538462,0.571428571428571,0.428571428571429,0.0136028678782302
2014,"CI","Black","Charter",1,2.425,0.252899848424892,0.255833333333333,0.586538461538462,0.983606557377049,0.0163934426229508,0
2014,"CI","Black","Charter",2,2.425,0.252899848424892,0.255833333333333,0.379807692307692,0.481012658227848,0.518987341772152,0.0320426425324609
2002,"CI","Black","Charter",3,2.125,0.278013788626871,0.309166666666667,0.0336538461538462,1,0,0.0573557692307692
2002,"CI","Black","Charter",1,2.125,0.278013788626871,0.309166666666667,0.586538461538462,1,0,0.0573557692307692
2002,"CI","Black","Charter",2,2.125,0.278013788626871,0.309166666666667,0.379807692307692,1,0,0.0573557692307692
2023,"CI","Black","Charter",3,2.11428571428571,0.0923981329139631,0.179285714285714,0.0336538461538462,0.571428571428571,0.428571428571429,0.0136028678782302
2023,"CI","Black","Charter",1,2.11428571428571,0.0923981329139631,0.179285714285714,0.586538461538462,0.983606557377049,0.0163934426229508,0
2023,"CI","Black","Charter",2,2.11428571428571,0.0923981329139631,0.179285714285714,0.379807692307692,0.481012658227848,0.518987341772152,0.0320426425324609
1999,"CI","Black","Charter",3,3.8,NA,NA,0.0336538461538462,1,0,0.0573557692307692
1999,"CI","Black","Charter",1,3.8,NA,NA,0.586538461538462,1,0,0.0573557692307692
1999,"CI","Black","Charter",2,3.8,NA,NA,0.379807692307692,1,0,0.0573557692307692
2024,"CI","Yelloweye","Charter",2,6.42857142857143,0.987954665846924,6.83238095238095,0.117694517863964,0.274910463222484,0.725089536777516,0.27233134854105
2024,"CI","Yelloweye","Charter",3,6.42857142857143,0.987954665846924,6.83238095238095,0.36822980993928,0.274910463222484,0.725089536777516,0.27233134854105
2003,"CI","Yelloweye","Charter",2,7.775,0.303795435559303,0.369166666666667,0.117694517863964,1,0,0.927756353809389
2003,"CI","Yelloweye","Charter",3,7.775,0.303795435559303,0.369166666666667,0.36822980993928,1,0,0.927756353809389
2009,"CI","Yelloweye","Charter",2,5.29166666666667,0.537172498299469,3.46265151515152,0.117694517863964,1,0,0.927756353809389
