"USER","YEAR","PORT","CFMU","Pel","NP","BRF","YE"
"Charter",1998,"Homer","NG",56,33,49,30
"Charter",1998,"Kodiak","EASTSIDE",9,0,8,0
"Charter",1998,"Kodiak","NORTHEAST",97,22,78,22
"Charter",1998,"Seward","NG",129,20,118,12
"Charter",1998,"Seward","PWSI",67,8,67,7
"Charter",1998,"Seward","PWSO",41,34,39,25
"Charter",1998,"Valdez","PWSI",6,53,6,40
"Charter",1998,"Valdez","PWSO",45,78,43,70
"Charter",1998,"Whittier","PWSI",3,44,0,42
"Charter",1999,"Cordova","PWSI",2,28,0,18
"Charter",1999,"Homer","CI",36,4,31,3
"Charter",1999,"Homer","NG",129,60,87,58
"Charter",1999,"Kodiak","AFOGNAK",10,0,10,0
"Charter",1999,"Kodiak","EASTSIDE",4,0,4,0
"Charter",1999,"Kodiak","NORTHEAST",105,5,93,5
"Charter",1999,"Seward","NG",196,113,192,78
"Charter",1999,"Seward","PWSI",57,26,57,11
"Charter",1999,"Seward","PWSO",12,25,12,21
"Charter",1999,"Valdez","PWSI",25,47,21,26
"Charter",1999,"Valdez","PWSO",90,143,87,134
"Charter",1999,"Whittier","PWSI",46,156,26,114
"Charter",1999,"Whittier","PWSO",55,12,50,9
"Charter",2000,"Homer","CI",30,10,12,2
"Charter",2000,"Homer","NG",46,112,34,106
"Charter",2000,"Kodiak","EASTSIDE",22,0,21,0
"Charter",2000,"Kodiak","NORTHEAST",102,10,94,10
"Charter",2000,"Seward","NG",166,83,144,49
"Charter",2000,"Seward","PWSI",20,21,16,6
"Charter",2000,"Seward","PWSO",17,37,17,30
"Charter",2000,"Valdez","PWSI",17,60,17,48
"Charter",2000,"Valdez","PWSO",39,213,38,206
"Charter",2000,"Whittier","PWSI",91,195,20,63
"Charter",2000,"Whittier","PWSO",28,43,19,35
"Charter",2001,"Homer","CI",9,0,9,0
"Charter",2001,"Homer","NG",49,73,25,67
"Charter",2001,"Kodiak","EASTSIDE",2,0,2,0
"Charter",2001,"Kodiak","NORTHEAST",61,5,58,5
"Charter",2001,"Seward","NG",114,36,106,22
"Charter",2001,"Seward","PWSI",54,11,49,3
"Charter",2001,"Seward","PWSO",87,31,79,22
"Charter",2001,"Valdez","PWSI",13,37,12,27
"Charter",2001,"Valdez","PWSO",46,199,44,195
"Charter",2001,"Whittier","PWSI",31,159,13,63
"Charter",2001,"Whittier","PWSO",76,46,71,22
"Charter",2002,"Homer","CI",31,4,11,3
"Charter",2002,"Homer","NG",86,48,80,43
"Charter",2002,"Kodiak","AFOGNAK",3,0,0,0
"Charter",2002,"Kodiak","NORTHEAST",57,3,50,2
"Charter",2002,"Seward","NG",125,27,110,19
"Charter",2002,"Seward","PWSI",43,19,37,17
"Charter",2002,"Seward","PWSO",66,22,61,19
"Charter",2002,"Valdez","PWSI",1,33,0,21
"Charter",2002,"Valdez","PWSO",76,225,72,204
"Charter",2002,"Whittier","PWSI",38,123,26,69
"Charter",2002,"Whittier","PWSO",54,37,45,32
"Charter",2003,"CCI","CI",2,0,2,0
"Charter",2003,"Homer","CI",50,9,29,4
"Charter",2003,"Homer","NG",222,114,130,109
"Charter",2003,"Kodiak","AFOGNAK",9,0,9,0
"Charter",2003,"Kodiak","EASTSIDE",13,0,12,0
"Charter",2003,"Kodiak","NORTHEAST",92,8,79,8
"Charter",2003,"Seward","NG",282,21,272,12
"Charter",2003,"Seward","PWSI",62,29,59,22
"Charter",2003,"Seward","PWSO",192,38,186,26
"Charter",2003,"Valdez","PWSI",49,29,39,11
"Charter",2003,"Valdez","PWSO",114,222,103,214
"Charter",2003,"Whittier","PWSI",61,240,3,166
"Charter",2003,"Whittier","PWSO",6,28,6,21
"Charter",2004,"Homer","CI",12,0,6,0
"Charter",2004,"Homer","NG",122,70,91,62
"Charter",2004,"Kodiak","EASTSIDE",2,0,2,0
"Charter",2004,"Kodiak","NORTHEAST",156,19,121,17
"Charter",2004,"Seward","NG",514,119,481,98
"Charter",2004,"Seward","PWSI",171,46,150,32
"Charter",2004,"Seward","PWSO",222,82,204,64
"Charter",2004,"Valdez","PWSI",16,60,14,41
"Charter",2004,"Valdez","PWSO",86,207,82,202
"Charter",2004,"Whittier","PWSI",22,191,9,129
"Charter",2004,"Whittier","PWSO",68,19,63,9
"Charter",2005,"Homer","CI",62,2,29,0
"Charter",2005,"Homer","NG",61,64,50,57
"Charter",2005,"Kodiak","NORTHEAST",119,36,111,34
"Charter",2005,"Seward","NG",304,120,283,75
"Charter",2005,"Seward","PWSI",35,10,35,6
"Charter",2005,"Seward","PWSO",137,27,125,15
"Charter",2005,"Valdez","PWSI",34,9,34,9
"Charter",2005,"Valdez","PWSO",94,71,94,62
"Charter",2005,"Whittier","PWSI",73,155,42,102
"Charter",2005,"Whittier","PWSO",4,6,4,4
"Charter",2006,"CCI","CI",1,0,0,0
"Charter",2006,"Homer","CI",19,5,10,2
"Charter",2006,"Homer","NG",109,63,80,61
"Charter",2006,"Kodiak","EASTSIDE",17,3,13,3
"Charter",2006,"Kodiak","NORTHEAST",112,30,97,29
"Charter",2006,"Seward","NG",463,109,436,59
"Charter",2006,"Seward","PWSI",57,50,54,34
"Charter",2006,"Seward","PWSO",207,63,197,46
"Charter",2006,"Valdez","PWSI",11,52,10,32
"Charter",2006,"Valdez","PWSO",101,99,101,97
"Charter",2006,"Whittier","PWSI",36,182,16,107
"Charter",2006,"Whittier","PWSO",9,4,9,4
"Charter",2007,"Homer","CI",30,5,10,0
"Charter",2007,"Homer","NG",203,33,186,32
"Charter",2007,"Kodiak","AFOGNAK",13,0,13,0
"Charter",2007,"Kodiak","EASTSIDE",26,0,26,0
"Charter",2007,"Kodiak","NORTHEAST",79,1,49,0
"Charter",2007,"Seward","NG",329,50,322,22
"Charter",2007,"Seward","PWSI",163,27,153,11
"Charter",2007,"Seward","PWSO",209,79,203,70
"Charter",2007,"Valdez","PWSI",29,23,27,6
"Charter",2007,"Valdez","PWSO",230,100,228,97
"Charter",2007,"Whittier","PWSI",35,97,19,59
"Charter",2008,"Homer","CI",4,2,2,2
"Charter",2008,"Homer","NG",144,49,141,40
"Charter",2008,"Kodiak","EASTSIDE",0,1,0,1
"Charter",2008,"Kodiak","NORTHEAST",127,17,107,16
"Charter",2008,"Seward","NG",430,89,408,62
"Charter",2008,"Seward","PWSI",64,26,54,13
"Charter",2008,"Seward","PWSO",206,56,188,37
"Charter",2008,"Valdez","PWSI",40,33,38,7
"Charter",2008,"Valdez","PWSO",152,151,152,143
"Charter",2008,"Whittier","PWSI",39,125,22,79
