YEAR,CFMU,Assemblage,USER,RelCat,avg_WtKg,SE_WtKg,var_WtKg,P_Rel,PcatSurface,PcatDRM,Mort_rate
2009,CI,Yelloweye,Charter,3,5.291666667,0.537172498,3.462651515,0.362045088,1,0,0.912481168
2018,CI,Yelloweye,Charter,2,4.327272727,0.256228204,0.722181818,0.14269664,0.291083011,0.708916989,0.2799022
2018,CI,Yelloweye,Charter,3,4.327272727,0.256228204,0.722181818,0.362045088,0.291083011,0.708916989,0.2799022
2002,CI,Yelloweye,Charter,2,3.866666667,0.617341973,1.143333333,0.14269664,1,0,0.912481168
2002,CI,Yelloweye,Charter,3,3.866666667,0.617341973,1.143333333,0.362045088,1,0,0.912481168
2016,CI,Black,Private,1,1.8,0.165327957,0.164,0.81779661,0.992227979,0.007772021,0
2016,CI,Black,Private,3,1.8,0.165327957,0.164,0.025423729,0.666666667,0.333333333,0.063061956
2016,CI,Black,Private,4,1.8,0.165327957,0.164,0.01059322,1,0,0.008602151
2016,CI,Black,Private,2,1.8,0.165327957,0.164,0.146186441,1,0,0.017806452
2009,CI,Black,Private,1,2.06,0.193907194,0.188,0.81779661,1,0,0.034915254
2009,CI,Black,Private,3,2.06,0.193907194,0.188,0.025423729,1,0,0.034915254
2009,CI,Black,Private,4,2.06,0.193907194,0.188,0.01059322,1,0,0.034915254
2009,CI,Black,Private,2,2.06,0.193907194,0.188,0.146186441,1,0,0.034915254
1998,CI,Black,Private,1,2,NA,NA,0.81779661,1,0,0.034915254
1998,CI,Black,Private,3,2,NA,NA,0.025423729,1,0,0.034915254
1998,CI,Black,Private,4,2,NA,NA,0.01059322,1,0,0.034915254
1998,CI,Black,Private,2,2,NA,NA,0.146186441,1,0,0.034915254
2023,CI,Black,Private,1,2.166666667,0.218581284,0.143333333,0.81779661,0.992227979,0.007772021,0
2023,CI,Black,Private,3,2.166666667,0.218581284,0.143333333,0.025423729,0.666666667,0.333333333,0.063061956
2023,CI,Black,Private,4,2.166666667,0.218581284,0.143333333,0.01059322,1,0,0.008602151
2023,CI,Black,Private,2,2.166666667,0.218581284,0.143333333,0.146186441,1,0,0.017806452
2019,CI,Black,Private,1,1.044827586,0.043624141,0.220755622,0.81779661,0.992227979,0.007772021,0
2019,CI,Black,Private,3,1.044827586,0.043624141,0.220755622,0.025423729,0.666666667,0.333333333,0.063061956
2019,CI,Black,Private,4,1.044827586,0.043624141,0.220755622,0.01059322,1,0,0.008602151
2019,CI,Black,Private,2,1.044827586,0.043624141,0.220755622,0.146186441,1,0,0.017806452
2020,CI,Black,Private,1,1,0.070064905,0.054,0.81779661,0.992227979,0.007772021,0
2020,CI,Black,Private,3,1,0.070064905,0.054,0.025423729,0.666666667,0.333333333,0.063061956
2020,CI,Black,Private,4,1,0.070064905,0.054,0.01059322,1,0,0.008602151
2020,CI,Black,Private,2,1,0.070064905,0.054,0.146186441,1,0,0.017806452
2015,CI,Black,Private,1,1.709090909,0.225410553,0.558909091,0.81779661,0.992227979,0.007772021,0
2015,CI,Black,Private,3,1.709090909,0.225410553,0.558909091,0.025423729,0.666666667,0.333333333,0.063061956
2015,CI,Black,Private,4,1.709090909,0.225410553,0.558909091,0.01059322,1,0,0.008602151
2015,CI,Black,Private,2,1.709090909,0.225410553,0.558909091,0.146186441,1,0,0.017806452
2012,CI,Black,Private,1,2.472727273,0.148991097,0.244181818,0.81779661,1,0,0.034915254
2012,CI,Black,Private,3,2.472727273,0.148991097,0.244181818,0.025423729,1,0,0.034915254
2012,CI,Black,Private,4,2.472727273,0.148991097,0.244181818,0.01059322,1,0,0.034915254
2012,CI,Black,Private,2,2.472727273,0.148991097,0.244181818,0.146186441,1,0,0.034915254
2005,CI,Black,Private,1,2.55,0.119489656,0.142777778,0.81779661,1,0,0.034915254
2005,CI,Black,Private,3,2.55,0.119489656,0.142777778,0.025423729,1,0,0.034915254
2005,CI,Black,Private,4,2.55,0.119489656,0.142777778,0.01059322,1,0,0.034915254
2005,CI,Black,Private,2,2.55,0.119489656,0.142777778,0.146186441,1,0,0.034915254
2008,CI,Black,Private,1,1.745454545,0.210783662,0.488727273,0.81779661,1,0,0.034915254
2008,CI,Black,Private,3,1.745454545,0.210783662,0.488727273,0.025423729,1,0,0.034915254
2008,CI,Black,Private,4,1.745454545,0.210783662,0.488727273,0.01059322,1,0,0.034915254
2008,CI,Black,Private,2,1.745454545,0.210783662,0.488727273,0.146186441,1,0,0.034915254
2003,CI,Black,Private,1,1.9,NA,NA,0.81779661,1,0,0.034915254
2003,CI,Black,Private,3,1.9,NA,NA,0.025423729,1,0,0.034915254
2003,CI,Black,Private,4,1.9,NA,NA,0.01059322,1,0,0.034915254
2003,CI,Black,Private,2,1.9,NA,NA,0.146186441,1,0,0.034915254
1995,CI,Black,Private,1,2.25,0.25,0.125,0.81779661,1,0,0.034915254
1995,CI,Black,Private,3,2.25,0.25,0.125,0.025423729,1,0,0.034915254
1995,CI,Black,Private,4,2.25,0.25,0.125,0.01059322,1,0,0.034915254
1995,CI,Black,Private,2,2.25,0.25,0.125,0.146186441,1,0,0.034915254
2011,CI,Black,Private,1,2.2,0.182574186,0.133333333,0.81779661,1,0,0.034915254
2011,CI,Black,Private,3,2.2,0.182574186,0.133333333,0.025423729,1,0,0.034915254
2011,CI,Black,Private,4,2.2,0.182574186,0.133333333,0.01059322,1,0,0.034915254
2011,CI,Black,Private,2,2.2,0.182574186,0.133333333,0.146186441,1,0,0.034915254
2013,CI,Black,Private,1,2.233333333,0.145296631,0.063333333,0.81779661,0.992227979,0.007772021,0
2013,CI,Black,Private,3,2.233333333,0.145296631,0.063333333,0.025423729,0.666666667,0.333333333,0.063061956
2013,CI,Black,Private,4,2.233333333,0.145296631,0.063333333,0.01059322,1,0,0.008602151
2013,CI,Black,Private,2,2.233333333,0.145296631,0.063333333,0.146186441,1,0,0.017806452
2022,CI,Black,Private,1,1.68,0.146287388,0.107,0.81779661,0.992227979,0.007772021,0
2022,CI,Black,Private,3,1.68,0.146287388,0.107,0.025423729,0.666666667,0.333333333,0.063061956
2022,CI,Black,Private,4,1.68,0.146287388,0.107,0.01059322,1,0,0.008602151
2022,CI,Black,Private,2,1.68,0.146287388,0.107,0.146186441,1,0,0.017806452
1999,CI,Black,Private,1,2.5,0.5,0.5,0.81779661,1,0,0.034915254
1999,CI,Black,Private,3,2.5,0.5,0.5,0.025423729,1,0,0.034915254
1999,CI,Black,Private,4,2.5,0.5,0.5,0.01059322,1,0,0.034915254
1999,CI,Black,Private,2,2.5,0.5,0.5,0.146186441,1,0,0.034915254
2000,CI,Black,Private,1,2.2,NA,NA,0.81779661,1,0,0.034915254
