"","port_site","RptArea","Freq"
"128","COFFMAN COVE","BERING",0
"129","CORDOVA","BERING",0
"130","CRAIG","BERING",0
"131","DEEP CREEK","BERING",0
"132","DOUGLAS","BERING",0
"133","DOVE ISLAND LODGE","BERING",0
"134","EL CAPITAN LODGE","BERING",0
"135","ELFIN COVE","BERING",0
"136","FIREWEED LODGE","BERING",0
"137","FISHERMANS BEND","BERING",0
"138","GULL COVE","BERING",0
"139","GUSTAVUS","BERING",0
"140","HAINES","BERING",0
"141","HALIBUT COVE","BERING",0
"142","HAPPY VALLEY","BERING",0
"143","HOMER","BERING",0
"144","HOONAH","BERING",0
"145","ICY BAY LODGE","BERING",0
"146","IRON CREEK","BERING",0
"147","JUNEAU","BERING",0
"148","KAKE","BERING",0
"149","KELP BAY","BERING",0
"150","KETCHIKAN","BERING",0
"151","KHAZ BAY","BERING",0
"152","KILIUDA BAY","BERING",0
"153","KILLISNOO","BERING",0
"154","KLAWOCK","BERING",0
"155","KNUDSON COVE","BERING",0
"156","KODIAK","BERING",1
"157","LARSEN BAY","BERING",0
"158","LOWELL POINT","BERING",0
"159","MEYERS CHUCK","BERING",0
"160","MORNE ISLAND","BERING",0
"161","MOTHER SHIP","BERING",0
"162","MOTHERSHIP","BERING",0
"163","MOTHERSHIP- LISERON","BERING",0
"164","MOTHERSHIP-LISERON","BERING",0
"165","NAKALILOK BAY","BERING",0
"166","NARROWS INN","BERING",0
"167","NAUKATI","BERING",0
"168","NINILCHIK","BERING",0
"169","NORTH DOUGLAS","BERING",0
"170","OLD HARBOR","BERING",0
"171","ORCA POINT LODGE","BERING",0
"172","ORR ISLAND","BERING",0
"173","OTTER COVE","BERING",0
"174","PARKS CANNERY","BERING",0
"175","PELICAN","BERING",0
"176","PETERSBURG","BERING",0
"177","POINT BAKER","BERING",0
"178","PORT ALEXANDER","BERING",0
"179","PORT ASHTON","BERING",0
"180","PORT LIONS","BERING",0
"181","PORT PROTECTION","BERING",0
"182","PORT ST NICHOLAS","BERING",0
"183","PORT WAKEFIELD","BERING",1
"184","PYBUS BAY","BERING",0
"185","PYBUS POINT LODGE","BERING",0
"186","RASPBERRY ISLAND","BERING",0
"187","REFUGE COVE","BERING",0
"188","SALMON FALLS","BERING",0
"189","SALMON FALLS RESORT","BERING",0
"190","SALTERY COVE (SC)","BERING",0
"191","SEA OTTER SOUND","BERING",0
"192","SEAL BAY (SC)","BERING",0
"193","SEALING COVE","BERING",0
"194","SELDOVIA","BERING",0
"195","SEWARD","BERING",0
"196","SILVER KING LODGE","BERING",0
"197","SILVER SALMON","BERING",0
"198","SILVER SALMON CREEK","BERING",0
"199","SITKA","BERING",0
"200","SITKOH BAY","BERING",0
"201","SKAGWAY","BERING",0
"202","SPORTSMAN COVE","BERING",0
"203","ST HERMAN HARBOR","BERING",0
"204","STEAMBOAT BAY","BERING",0
"205","SUNNYSIDE","BERING",0
"206","TENAKEE","BERING",0
"207","THORNE BAY","BERING",0
"208","TUTKA BAY","BERING",0
"209","UGAK BAY","BERING",0
"210","UGANIK BAY","BERING",0
"211","UYAK BAY","BERING",0
"212","VALDEZ","BERING",0
"213","WADLEIGH ISLAND","BERING",0
"214","WARD COVE","BERING",0
"215","WARM SPRINGS BAY","BERING",0
"216","WATERFALL","BERING",0
"217","WATERFALL RESORT","BERING",0
"218","WHALE PASS (POW - SE)","BERING",0
"219","WHITTIER","BERING",0
"220","WRANGELL","BERING",0
"221","YAKUTAT","BERING",0
"222","ZACHAR BAY","BERING",0
"223","ADAK","CHIGNIK",0
"224","AFOGNAK","CHIGNIK",0
"225","AMOOK PASS","CHIGNIK",0
"226","ANCHOR POINT","CHIGNIK",0
"227","ANCHOR RIVER","CHIGNIK",0
"228","ANGOON","CHIGNIK",0
"229","ANTON LARSEN BAY","CHIGNIK",0
"230","APPLE ISLAND","CHIGNIK",0
"231","AUKE BAY","CHIGNIK",0
"232","BABE ISLANDS LODGE","CHIGNIK",0
"233","BARANOF","CHIGNIK",0
"234","BARTLETT COVE","CHIGNIK",0
"235","CANNERY COVE","CHIGNIK",0
"236","CEDARS LODGE","CHIGNIK",0
"237","CLOVER BAY","CHIGNIK",0
"238","CLOVER PASS","CHIGNIK",0
"239","COFFMAN COVE","CHIGNIK",0
"240","CORDOVA","CHIGNIK",0
"241","CRAIG","CHIGNIK",0
"242","DEEP CREEK","CHIGNIK",0
"243","DOUGLAS","CHIGNIK",0
"244","DOVE ISLAND LODGE","CHIGNIK",0
"245","EL CAPITAN LODGE","CHIGNIK",0
"246","ELFIN COVE","CHIGNIK",0
"247","FIREWEED LODGE","CHIGNIK",0
"248","FISHERMANS BEND","CHIGNIK",0
"249","GULL COVE","CHIGNIK",0
"250","GUSTAVUS","CHIGNIK",0
"251","HAINES","CHIGNIK",0
"252","HALIBUT COVE","CHIGNIK",0
"253","HAPPY VALLEY","CHIGNIK",0
"254","HOMER","CHIGNIK",0
"255","HOONAH","CHIGNIK",0
"256","ICY BAY LODGE","CHIGNIK",0
"257","IRON CREEK","CHIGNIK",0
"258","JUNEAU","CHIGNIK",0
"259","KAKE","CHIGNIK",0
"260","KELP BAY","CHIGNIK",0
"261","KETCHIKAN","CHIGNIK",0
"262","KHAZ BAY","CHIGNIK",0
"263","KILIUDA BAY","CHIGNIK",0
"264","KILLISNOO","CHIGNIK",0
"265","KLAWOCK","CHIGNIK",0
"266","KNUDSON COVE","CHIGNIK",0
"267","KODIAK","CHIGNIK",0
"268","LARSEN BAY","CHIGNIK",0
"269","LOWELL POINT","CHIGNIK",0
"270","MEYERS CHUCK","CHIGNIK",0
"271","MORNE ISLAND","CHIGNIK",0
"272","MOTHER SHIP","CHIGNIK",0
"273","MOTHERSHIP","CHIGNIK",0
"274","MOTHERSHIP- LISERON","CHIGNIK",0
"275","MOTHERSHIP-LISERON","CHIGNIK",0
"276","NAKALILOK BAY","CHIGNIK",2
"277","NARROWS INN","CHIGNIK",0
"278","NAUKATI","CHIGNIK",0
"279","NINILCHIK","CHIGNIK",0
"280","NORTH DOUGLAS","CHIGNIK",0
"281","OLD HARBOR","CHIGNIK",0
"282","ORCA POINT LODGE","CHIGNIK",0
"283","ORR ISLAND","CHIGNIK",0
"284","OTTER COVE","CHIGNIK",0
"285","PARKS CANNERY","CHIGNIK",0
"286","PELICAN","CHIGNIK",0
"287","PETERSBURG","CHIGNIK",0
"288","POINT BAKER","CHIGNIK",0
"289","PORT ALEXANDER","CHIGNIK",0
"290","PORT ASHTON","CHIGNIK",0
"291","PORT LIONS","CHIGNIK",0
"292","PORT PROTECTION","CHIGNIK",0
"293","PORT ST NICHOLAS","CHIGNIK",0
"294","PORT WAKEFIELD","CHIGNIK",0
"295","PYBUS BAY","CHIGNIK",0
"296","PYBUS POINT LODGE","CHIGNIK",0
"297","RASPBERRY ISLAND","CHIGNIK",0
"298","REFUGE COVE","CHIGNIK",0
"299","SALMON FALLS","CHIGNIK",0
"300","SALMON FALLS RESORT","CHIGNIK",0
"301","SALTERY COVE (SC)","CHIGNIK",0
"302","SEA OTTER SOUND","CHIGNIK",0
"303","SEAL BAY (SC)","CHIGNIK",0
"304","SEALING COVE","CHIGNIK",0
"305","SELDOVIA","CHIGNIK",0
"306","SEWARD","CHIGNIK",0
"307","SILVER KING LODGE","CHIGNIK",0
"308","SILVER SALMON","CHIGNIK",0
"309","SILVER SALMON CREEK","CHIGNIK",0
"310","SITKA","CHIGNIK",0
"311","SITKOH BAY","CHIGNIK",0
"312","SKAGWAY","CHIGNIK",0
"313","SPORTSMAN COVE","CHIGNIK",0
"314","ST HERMAN HARBOR","CHIGNIK",0
"315","STEAMBOAT BAY","CHIGNIK",0
"316","SUNNYSIDE","CHIGNIK",0
"317","TENAKEE","CHIGNIK",0
"318","THORNE BAY","CHIGNIK",0
"319","TUTKA BAY","CHIGNIK",0
"320","UGAK BAY","CHIGNIK",0
"321","UGANIK BAY","CHIGNIK",0
"322","UYAK BAY","CHIGNIK",0
"323","VALDEZ","CHIGNIK",0
"324","WADLEIGH ISLAND","CHIGNIK",0
"325","WARD COVE","CHIGNIK",0
"326","WARM SPRINGS BAY","CHIGNIK",0
"327","WATERFALL","CHIGNIK",0
"328","WATERFALL RESORT","CHIGNIK",0
"329","WHALE PASS (POW - SE)","CHIGNIK",0
"330","WHITTIER","CHIGNIK",0
"331","WRANGELL","CHIGNIK",0
"332","YAKUTAT","CHIGNIK",0
"333","ZACHAR BAY","CHIGNIK",0
"334","ADAK","CI",0
"335","AFOGNAK","CI",0
"336","AMOOK PASS","CI",0
"337","ANCHOR POINT","CI",415
"338","ANCHOR RIVER","CI",25
"339","ANGOON","CI",0
"340","ANTON LARSEN BAY","CI",0
"341","APPLE ISLAND","CI",0
"342","AUKE BAY","CI",0
"343","BABE ISLANDS LODGE","CI",0
"344","BARANOF","CI",0
"345","BARTLETT COVE","CI",0
"346","CANNERY COVE","CI",0
"347","CEDARS LODGE","CI",0
"348","CLOVER BAY","CI",0
"349","CLOVER PASS","CI",0
"350","COFFMAN COVE","CI",0
"351","CORDOVA","CI",0
"352","CRAIG","CI",0
"353","DEEP CREEK","CI",1546
"354","DOUGLAS","CI",0
"355","DOVE ISLAND LODGE","CI",0
"356","EL CAPITAN LODGE","CI",0
"357","ELFIN COVE","CI",0
"358","FIREWEED LODGE","CI",0
"359","FISHERMANS BEND","CI",0
"360","GULL COVE","CI",0
"361","GUSTAVUS","CI",0
"362","HAINES","CI",0
"363","HALIBUT COVE","CI",5
"364","HAPPY VALLEY","CI",85
"365","HOMER","CI",4627
"366","HOONAH","CI",0
"367","ICY BAY LODGE","CI",0
"368","IRON CREEK","CI",0
"369","JUNEAU","CI",0
"370","KAKE","CI",0
"371","KELP BAY","CI",0
"372","KETCHIKAN","CI",0
"373","KHAZ BAY","CI",0
"374","KILIUDA BAY","CI",0
"375","KILLISNOO","CI",0
"376","KLAWOCK","CI",0
"377","KNUDSON COVE","CI",0
"378","KODIAK","CI",4
"379","LARSEN BAY","CI",0
"380","LOWELL POINT","CI",0
"381","MEYERS CHUCK","CI",0
"382","MORNE ISLAND","CI",0
"383","MOTHER SHIP","CI",0
"384","MOTHERSHIP","CI",0
"385","MOTHERSHIP- LISERON","CI",0
"386","MOTHERSHIP-LISERON","CI",0
"387","NAKALILOK BAY","CI",0
"388","NARROWS INN","CI",0
"389","NAUKATI","CI",0
"390","NINILCHIK","CI",109
"391","NORTH DOUGLAS","CI",0
"392","OLD HARBOR","CI",0
"393","ORCA POINT LODGE","CI",0
"394","ORR ISLAND","CI",0
"395","OTTER COVE","CI",12
"396","PARKS CANNERY","CI",0
"397","PELICAN","CI",0
"398","PETERSBURG","CI",0
"399","POINT BAKER","CI",0
"400","PORT ALEXANDER","CI",0
"401","PORT ASHTON","CI",0
"402","PORT LIONS","CI",0
"403","PORT PROTECTION","CI",0
"404","PORT ST NICHOLAS","CI",0
"405","PORT WAKEFIELD","CI",1
"406","PYBUS BAY","CI",0
"407","PYBUS POINT LODGE","CI",0
"408","RASPBERRY ISLAND","CI",0
"409","REFUGE COVE","CI",0
"410","SALMON FALLS","CI",0
"411","SALMON FALLS RESORT","CI",0
"412","SALTERY COVE (SC)","CI",0
"413","SEA OTTER SOUND","CI",0
"414","SEAL BAY (SC)","CI",0
"415","SEALING COVE","CI",0
"416","SELDOVIA","CI",86
"417","SEWARD","CI",1
"418","SILVER KING LODGE","CI",0
"419","SILVER SALMON","CI",3
"420","SILVER SALMON CREEK","CI",2
"421","SITKA","CI",0
"422","SITKOH BAY","CI",0
"423","SKAGWAY","CI",0
"424","SPORTSMAN COVE","CI",0
"425","ST HERMAN HARBOR","CI",0
"426","STEAMBOAT BAY","CI",0
"427","SUNNYSIDE","CI",0
"428","TENAKEE","CI",0
"429","THORNE BAY","CI",0
"430","TUTKA BAY","CI",20
"431","UGAK BAY","CI",0
"432","UGANIK BAY","CI",0
"433","UYAK BAY","CI",0
"434","VALDEZ","CI",0
"435","WADLEIGH ISLAND","CI",0
"436","WARD COVE","CI",0
"437","WARM SPRINGS BAY","CI",0
"438","WATERFALL","CI",0
"439","WATERFALL RESORT","CI",0
"440","WHALE PASS (POW - SE)","CI",0
"441","WHITTIER","CI",0
"442","WRANGELL","CI",0
"443","YAKUTAT","CI",0
"444","ZACHAR BAY","CI",0
"445","ADAK","CSEO",0
"446","AFOGNAK","CSEO",0
"447","AMOOK PASS","CSEO",0
"448","ANCHOR POINT","CSEO",0
"449","ANCHOR RIVER","CSEO",0
"450","ANGOON","CSEO",0
"451","ANTON LARSEN BAY","CSEO",0
"452","APPLE ISLAND","CSEO",61
"453","AUKE BAY","CSEO",0
"454","BABE ISLANDS LODGE","CSEO",0
"455","BARANOF","CSEO",0
"456","BARTLETT COVE","CSEO",0
"457","CANNERY COVE","CSEO",0
"458","CEDARS LODGE","CSEO",0
"459","CLOVER BAY","CSEO",0
"460","CLOVER PASS","CSEO",0
"461","COFFMAN COVE","CSEO",0
"462","CORDOVA","CSEO",0
"463","CRAIG","CSEO",0
"464","DEEP CREEK","CSEO",0
"465","DOUGLAS","CSEO",0
"466","DOVE ISLAND LODGE","CSEO",74
"467","EL CAPITAN LODGE","CSEO",0
"468","ELFIN COVE","CSEO",37
"469","FIREWEED LODGE","CSEO",0
"470","FISHERMANS BEND","CSEO",0
"471","GULL COVE","CSEO",0
"472","GUSTAVUS","CSEO",1
"473","HAINES","CSEO",0
"474","HALIBUT COVE","CSEO",0
"475","HAPPY VALLEY","CSEO",0
"476","HOMER","CSEO",0
"477","HOONAH","CSEO",0
"478","ICY BAY LODGE","CSEO",0
"479","IRON CREEK","CSEO",0
"480","JUNEAU","CSEO",8
"481","KAKE","CSEO",0
"482","KELP BAY","CSEO",0
"483","KETCHIKAN","CSEO",0
"484","KHAZ BAY","CSEO",0
"485","KILIUDA BAY","CSEO",0
"486","KILLISNOO","CSEO",0
"487","KLAWOCK","CSEO",0
"488","KNUDSON COVE","CSEO",0
"489","KODIAK","CSEO",0
"490","LARSEN BAY","CSEO",0
"491","LOWELL POINT","CSEO",0
"492","MEYERS CHUCK","CSEO",0
"493","MORNE ISLAND","CSEO",16
"494","MOTHER SHIP","CSEO",4
"495","MOTHERSHIP","CSEO",4
