"","port_site","RptArea","Freq"
"125","WATERFALL","AFOGNAK",0
"126","WHALE PASS (POW - SE)","AFOGNAK",0
"127","WHALE PASS (SC)","AFOGNAK",0
"128","WHALERS COVE","AFOGNAK",0
"129","WHITTIER","AFOGNAK",0
"130","WILLIAMSPORT","AFOGNAK",0
"131","WINTER HARBOR","AFOGNAK",0
"132","WRANGELL","AFOGNAK",0
"133","YAKUTAT","AFOGNAK",0
"134","YES BAY","AFOGNAK",0
"135","YOUNG BAY","AFOGNAK",0
"136","YOUNGS BAY","AFOGNAK",0
"137","ZACHAR BAY","AFOGNAK",0
"138","ADAK","ALEUTIAN",0
"139","AFOGNAK","ALEUTIAN",0
"140","AFOGNAK BAY","ALEUTIAN",0
"141","ALIKULA BAY","ALEUTIAN",0
"142","AMOOK PASS","ALEUTIAN",0
"143","ANCHOR POINT","ALEUTIAN",0
"144","ANGOON","ALEUTIAN",0
"145","ANTON LARSEN BAY","ALEUTIAN",0
"146","APPLE ISLAND","ALEUTIAN",0
"147","AUKE BAY","ALEUTIAN",0
"148","BARANOF WILDERNESS LODGE","ALEUTIAN",0
"149","BARTLETT COVE","ALEUTIAN",0
"150","BAY OF PILLARS","ALEUTIAN",0
"151","BLANK","ALEUTIAN",0
"152","BROTHERS ISLANDS","ALEUTIAN",0
"153","CANNERY COVE","ALEUTIAN",0
"154","CEDARS LODGE","ALEUTIAN",0
"155","CHAPIN BAY","ALEUTIAN",0
"156","CHIGNIK BAY","ALEUTIAN",0
"157","CHUM CHANNEL","ALEUTIAN",0
"158","CHUM COVE","ALEUTIAN",0
"159","CITY FLOAT","ALEUTIAN",0
"160","CLOVER PASS","ALEUTIAN",0
"161","COFFMAN COVE","ALEUTIAN",0
"162","CORDOVA","ALEUTIAN",0
"163","CRAIG","ALEUTIAN",0
"164","CUBE COVE","ALEUTIAN",0
"165","DEEP COVE","ALEUTIAN",0
"166","DEEP CREEK","ALEUTIAN",0
"167","DOVE ISLAND LODGE","ALEUTIAN",0
"168","DUTCH HARBOR","ALEUTIAN",3
"169","EGG HARBOR","ALEUTIAN",0
"170","EL CAPITAN LODGE","ALEUTIAN",0
"171","ELFIN COVE","ALEUTIAN",0
"172","ELIZA HARBOR","ALEUTIAN",0
"173","ELL COVE","ALEUTIAN",0
"174","EXCURSION INLET","ALEUTIAN",0
"175","EXPLORER BASIN","ALEUTIAN",0
"176","FARRAGUT BAY","ALEUTIAN",0
"177","FISHERMANS BEND","ALEUTIAN",0
"178","FREDRICK SOUND","ALEUTIAN",0
"179","GEDNEY HARBOR","ALEUTIAN",0
"180","GEDNEYHARBOR","ALEUTIAN",0
"181","GULL COVE","ALEUTIAN",0
"182","GUSTAVUS","ALEUTIAN",0
"183","GUT BAY","ALEUTIAN",0
"184","HAINES","ALEUTIAN",0
"185","HALIBUT COVE","ALEUTIAN",0
"186","HAPPY VALLEY","ALEUTIAN",0
"187","HOLKAM BAY","ALEUTIAN",0
"188","HOMER","ALEUTIAN",0
"189","HOONAH","ALEUTIAN",0
"190","IRON CREEK","ALEUTIAN",0
"191","JUNEAU","ALEUTIAN",0
"192","KAKE","ALEUTIAN",0
"193","KELP BAY","ALEUTIAN",0
"194","KETCHIKAN","ALEUTIAN",0
"195","KHAZ BAY","ALEUTIAN",0
"196","KILIUDA BAY","ALEUTIAN",0
"197","KILLISNOO","ALEUTIAN",0
"198","KLAWOCK","ALEUTIAN",0
"199","KNUDSON COVE","ALEUTIAN",0
"200","Kodiak","ALEUTIAN",0
"201","KODIAK","ALEUTIAN",0
"202","LARSEN BAY","ALEUTIAN",0
"203","LOUIS COVE","ALEUTIAN",0
"204","LOUISE COVE","ALEUTIAN",0
"205","LOWELL POINT","ALEUTIAN",0
"206","METLAKATLA","ALEUTIAN",0
"207","NAKALILOK BAY","ALEUTIAN",0
"208","NARROWS INN","ALEUTIAN",0
"209","NAUKATI","ALEUTIAN",0
"210","NINILCHIK","ALEUTIAN",0
