"Region","year","RptArea","Log_rfharv","guiSWHS_rfharv","var_guiSWHS_rfharv","privSWHS_rfharv","var_privSWHS_rfharv","SWHS_gprop","var_SWHS_gprop","TOTAL_rfharv","var_TOTAL_rfharv","sd_Rfharv","RFharv_UPRLWR95","PRIV_rfharv","var_PRIV_rfharv","sd_PRIV_rfharv","privrfharv_UPERLWR95"
"SC",2022,"AFOGNAK",9245,6339,1466521,2420,740898.1,0.723712752597328,0.00651718884148305,12774.4052689699,2030529.17798386,1424.9663778433,2792.93410057287,3529.40526896988,2030529.17798386,1424.9663778433,2792.93410057287
"SC",2022,"BSAI",NA,0,0,144,14759.66,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"SC",2022,"CI",13588,11657,2169238,7798,1948604,0.599177589308661,0.00276906389275895,22677.7507077293,3966631.05564456,1991.64029273475,3903.61497376011,9089.75070772926,3966631.05564456,1991.64029273475,3903.61497376011
"SE",2022,"CSEO",67729,62221,17594934,10313,3996716,0.85781840240439,0.000626605561471902,78954.9394255958,5308381.62346721,2303.99253980286,4515.8253780136,11225.9394255958,5308381.62346721,2303.99253980286,4515.8253780136
"SC",2022,"EASTSIDE",1830,2908,636390.6,2420,740898.1,0.945076373090673,0.00169496909718517,1936.35144429161,7115.35118910381,84.3525410945267,165.330980545272,106.351444291609,7115.35118910381,84.3525410945267,165.330980545272
"SE",2022,"EWYKT",6780,7254,1883474,2824,820650,0.71978567176027,0.00564225975430007,9419.47063688999,966272.62260717,982.991669652989,1926.66367251986,2639.47063688999,966272.62260717,982.991669652989,1926.66367251986
"SC",2022,"NG",86557,64214,13118094,17445,5903367,0.786367699824882,0.000637231646339474,110071.9167627,12485302.2723902,3533.45472199521,6925.57125511061,23514.9167626997,12485302.2723902,3533.45472199521,6925.57125511061
"SC",2022,"NORTHEAST",10988,9783,1919591.7,3133,641260.2,0.757432641684732,0.00288233769776198,14506.9005417561,1057319.14144724,1028.26024986247,2015.39008973045,3518.90054175611,1057319.14144724,1028.26024986247,2015.39008973045
"SE",2022,"NSEI",34168,20926,7794754,14674,17289759,0.587808988764045,0.00575865352437587,58127.7262735353,56313844.1152217,7504.25506730826,14708.3399319242,23959.7262735353,56313844.1152217,7504.25506730826,14708.3399319242
"SE",2022,"NSEO",10558,9109,2838166,4300,1686901,0.67931985979566,0.00595284063003087,15542.015808541,3115948.89301432,1765.20505693087,3459.80191158451,4984.01580854099,3115948.89301432,1765.20505693087,3459.80191158451
"SC",2022,"PWSI",21689,14868,2214874,17221,4197757,0.463336345788276,0.00149468016145413,46810.4870191015,15256041.1361784,3905.89824959361,7655.56056920348,25121.4870191015,15256041.1361784,3905.89824959361,7655.56056920348
"SC",2022,"PWSO",36677,11206,1947733,4076,1943943,0.733280984164376,0.00506903465889256,50017.6614313761,23584744.7339776,4856.41274337114,9518.56897700744,13340.6614313761,23584744.7339776,4856.41274337114,9518.56897700744
"SC",2022,"SOKO2SAP",NA,168,20472.54,288,70081.1,0.368421052631579,0.0850200293356831,NA,NA,NA,NA,NA,NA,NA,NA
"SE",2022,"SSEI",33837,28204,6818761,21093,8339570,0.572124064344686,0.00163695621126481,59142.766593391,17492823.095339,4182.44224052634,8197.58679143162,25305.766593391,17492823.095339,4182.44224052634,8197.58679143162
"SE",2022,"SSEO",38456,16856,5440976,2656,1213937,0.863878638786388,0.00264437235613489,44515.5121025154,7021661.44093189,2649.84177658438,5193.68988210539,6059.51210251541,7021661.44093189,2649.84177658438,5193.68988210539
"SC",2022,"WKMA",11147,5860,2689475.5,2420,740898.1,0.873844318520728,0.00499475537850488,12756.2767918089,1064373.26597219,1031.68467371198,2022.10196047548,1609.27679180887,1064373.26597219,1031.68467371198,2022.10196047548
"SC",2022,"SKMA",1321,5860,2689475.5,2420,740898.1,0.707729468599034,0.00876394911160607,1866.53242320819,60958.7938650122,246.898347230216,483.920760571223,545.532423208191,60958.7938650122,246.898347230216,483.920760571223
