"Region","year","RptArea","Log_rfharv","guiSWHS_rfharv","var_guiSWHS_rfharv","privSWHS_rfharv","var_privSWHS_rfharv","SWHS_gprop","var_SWHS_gprop"
"SC",2022,"AFOGNAK",NA,6339,1466521,2420,740898.1,0.723712752597328,0.00651718884148305
"SC",2022,"BSAI",NA,0,0,144,14759.66,0,0
"SC",2022,"CI",NA,11657,2169238,7798,1948604,0.599177589308661,0.00276906389275895
"SE",2022,"CSEO",NA,62221,17594934,10313,3996716,0.85781840240439,0.000626605561471902
"SC",2022,"EASTSIDE",NA,2908,636390.6,2420,740898.1,0.945076373090673,0.00169496909718517
"SE",2022,"EWYKT",NA,7254,1883474,2824,820650,0.71978567176027,0.00564225975430007
"SC",2022,"NG",NA,64214,13118094,17445,5903367,0.786367699824882,0.000637231646339474
"SC",2022,"NORTHEAST",NA,9783,1919591.7,3133,641260.2,0.757432641684732,0.00288233769776198
"SE",2022,"NSEI",NA,20926,7794754,14674,17289759,0.587808988764045,0.00575865352437587
"SE",2022,"NSEO",NA,9109,2838166,4300,1686901,0.67931985979566,0.00595284063003087
"SC",2022,"PWSI",NA,14868,2214874,17221,4197757,0.463336345788276,0.00149468016145413
"SC",2022,"PWSO",NA,11206,1947733,4076,1943943,0.733280984164376,0.00506903465889256
"SC",2022,"SOKO2SAP",NA,168,20472.54,288,70081.1,0.368421052631579,0.0850200293356831
"SE",2022,"SSEI",NA,28204,6818761,21093,8339570,0.572124064344686,0.00163695621126481
"SE",2022,"SSEO",NA,16856,5440976,2656,1213937,0.863878638786388,0.00264437235613489
"SC",2022,"WKMA",NA,5860,2689475.5,2420,740898.1,0.873844318520728,0.00499475537850488
"SC",2022,"SKMA",NA,5860,2689475.5,2420,740898.1,0.707729468599034,0.00876394911160607
