"port_site","RptArea","region","N_obs","total_rfharv","total_prockkept","total_yrockkept","total_orockkept"
"CORDOVA","PWSI","SC",179,1322,941,164,217
"HOMER","NG","SC",2066,33340,29264,2284,1792
"HOMER","PWSI","SC",1,4,3,0,1
"SEWARD","NG","SC",2348,43879,39036,1978,2865
"SEWARD","PWSI","SC",584,11379,9888,548,943
"SEWARD","PWSO","SC",1295,25182,21566,2145,1471
"VALDEZ","NG","SC",2,32,32,0,0
"VALDEZ","PWSI","SC",457,1804,1435,120,249
"VALDEZ","PWSO","SC",553,9006,7832,659,515
"WHITTIER","NG","SC",3,64,60,0,4
"WHITTIER","PWSI","SC",681,6469,5042,493,934
"WHITTIER","PWSO","SC",103,1777,1642,62,73
